,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Matt Ryan,ATL,QB,356,4,0,36,30,2,7,0,0,0,0,nfl_hist,mattryan
1,Kirk Cousins,MIN,QB,333,4,1,29,22,2,0,0,0,0,0,nfl_hist,kirkcousins
2,Kyler Murray,ARI,QB,340,3,0,37,27,11,32,0,0,0,0,nfl_hist,kylermurray
3,Russell Wilson,SEA,QB,295,2,0,33,23,9,31,1,0,0,0,nfl_hist,russellwilson
4,Sam Darnold,NYJ,QB,338,2,1,32,23,5,1,0,0,0,0,nfl_hist,samdarnold
5,Ryan Fitzpatrick,MIA,QB,132,1,0,18,12,2,5,0,0,0,0,nfl_hist,ryanfitzpatrick
6,Kyle Allen,CAR,QB,227,2,0,32,20,3,3,0,0,0,0,nfl_hist,kyleallen
7,Case Keenum,WAS,QB,166,2,0,25,13,4,10,0,0,0,0,nfl_hist,casekeenum
8,Patrick Mahomes,KAN,QB,273,3,1,35,19,1,-1,0,0,0,0,nfl_hist,patrickmahomes
9,Teddy Bridgewate,NOR,QB,240,1,0,36,24,3,0,0,0,0,0,nfl_hist,teddybridgewate
10,Carson Wentz,PHI,QB,306,2,1,40,26,2,23,0,0,0,0,nfl_hist,carsonwentz
11,Aaron Rodgers,GNB,QB,283,2,1,39,24,3,10,0,0,0,0,nfl_hist,aaronrodgers
12,Dak Prescott,DAL,QB,278,0,0,40,28,3,11,1,0,0,0,nfl_hist,dakprescott
13,Tom Brady,NWE,QB,334,0,1,41,31,7,6,2,0,0,0,nfl_hist,tombrady
14,Devlin Hodges,PIT,QB,132,1,1,20,15,3,8,0,0,0,0,nfl_hist,devlinhodges
15,Lamar Jackson,BAL,QB,236,0,0,33,21,19,152,1,0,0,0,nfl_hist,lamarjackson
16,Matthew Stafford,DET,QB,265,0,0,32,18,3,9,0,0,0,0,nfl_hist,matthewstafford
17,Jimmy Garoppolo,SFO,QB,243,0,1,33,24,5,4,1,0,0,0,nfl_hist,jimmygaroppolo
18,Ryan Tannehill,TEN,QB,144,0,1,16,13,1,6,0,0,0,0,nfl_hist,ryantannehill
19,Philip Rivers,LAC,QB,320,2,2,44,26,1,0,0,0,0,0,nfl_hist,philiprivers
20,Deshaun Watson,HOU,QB,280,1,2,42,30,10,42,2,0,0,0,nfl_hist,deshaunwatson
21,Joe Flacco,DEN,QB,177,0,1,28,18,4,-1,0,0,0,0,nfl_hist,joeflacco
22,Andy Dalton,CIN,QB,235,0,1,39,21,1,2,1,0,0,0,nfl_hist,andydalton
23,Jared Goff,LAR,QB,78,0,0,24,13,1,0,0,0,0,0,nfl_hist,jaredgoff
24,Baker Mayfield,CLE,QB,249,1,3,37,22,4,35,1,0,0,0,nfl_hist,bakermayfield
25,Gardner Minshew,JAX,QB,163,0,1,29,14,2,1,0,0,0,0,nfl_hist,gardnerminshew
26,Jameis Winston,TAM,QB,400,1,5,54,30,1,1,0,0,0,0,nfl_hist,jameiswinston
27,Daniel Jones,NYG,QB,161,1,3,31,15,2,8,0,0,0,0,nfl_hist,danieljones
28,Josh Rosen,MIA,QB,85,0,2,25,15,0,0,0,0,0,0,nfl_hist,joshrosen
29,Marcus Mariota,TEN,QB,63,0,2,18,7,2,4,0,0,0,0,nfl_hist,marcusmariota
30,Jake Elliott,PHI,K,0,0,1,1,0,0,0,0,0,0,0,nfl_hist,jakeelliott
31,Chris Carson,SEA,RB,0,0,0,0,0,24,124,1,4,35,0,nfl_hist,chriscarson
32,Nick Chubb,CLE,RB,0,0,0,0,0,20,122,2,5,17,0,nfl_hist,nickchubb
33,Adrian Peterson,WAS,RB,0,0,0,0,0,23,118,0,2,18,0,nfl_hist,adrianpeterson
34,Carlos Hyde,HOU,RB,0,0,0,0,0,26,116,1,1,14,0,nfl_hist,carloshyde
35,Ezekiel Elliott,DAL,RB,0,0,0,0,0,28,105,1,5,48,0,nfl_hist,ezekielelliott
36,Jamaal Williams,GNB,RB,0,0,0,0,0,14,104,0,4,32,1,nfl_hist,jamaalwilliams
37,Devonta Freeman,ATL,RB,0,0,0,0,0,19,88,0,3,30,2,nfl_hist,devontafreeman
38,Sony Michel,NWE,RB,0,0,0,0,0,22,86,0,2,27,0,nfl_hist,sonymichel
39,Benny Snell,PIT,RB,0,0,0,0,0,17,75,0,1,14,0,nfl_hist,bennysnell
40,Leonard Fournette,JAX,RB,0,0,0,0,0,20,72,0,6,46,0,nfl_hist,leonardfournette
41,Phillip Lindsay,DEN,RB,0,0,0,0,0,15,70,1,2,5,0,nfl_hist,philliplindsay
42,Alexander Mattison,MIN,RB,0,0,0,0,0,14,63,0,0,0,0,nfl_hist,alexandermattison
43,Mark Ingram,BAL,RB,0,0,0,0,0,13,52,1,2,22,0,nfl_hist,markingram
44,Le'Veon Bell,NYJ,RB,0,0,0,0,0,14,50,1,1,3,0,nfl_hist,leveonbell
45,Jordan Howard,PHI,RB,0,0,0,0,0,13,49,0,0,0,0,nfl_hist,jordanhoward
46,Aaron Jones,GNB,RB,0,0,0,0,0,11,47,0,4,13,0,nfl_hist,aaronjones
47,Tevin Coleman,SFO,RB,0,0,0,0,0,18,45,1,2,16,0,nfl_hist,tevincoleman
48,LeSean McCoy,KAN,RB,0,0,0,0,0,8,44,0,2,0,0,nfl_hist,leseanmccoy
49,Latavius Murray,NOR,RB,0,0,0,0,0,8,44,0,3,35,0,nfl_hist,lataviusmurray
50,James Conne,PIT,RB,0,0,0,0,0,16,41,1,7,78,1,nfl_hist,jamesconne
51,Dalvin Cook,MIN,RB,0,0,0,0,0,16,41,1,2,13,0,nfl_hist,dalvincook
52,Malcolm Brown,LAR,RB,0,0,0,0,0,11,40,0,0,0,0,nfl_hist,malcolmbrown
53,Kenyan Drake,MIA,RB,0,0,0,0,0,10,40,0,6,30,0,nfl_hist,kenyandrake
54,Darrell Henderson,LAR,RB,0,0,0,0,0,6,39,0,1,9,0,nfl_hist,darrellhenderson
55,Jon Hilliman,NYG,RB,0,0,0,0,0,11,38,0,2,-3,0,nfl_hist,jonhilliman
56,Matt Breida,SFO,RB,0,0,0,0,0,13,36,0,4,27,0,nfl_hist,mattbreida
57,Chase Edmonds,ARI,RB,0,0,0,0,0,5,34,0,2,33,1,nfl_hist,chaseedmonds
58,Gus Edwards,BAL,RB,0,0,0,0,0,6,34,0,0,0,0,nfl_hist,gusedwards
59,Royce Freeman,DEN,RB,0,0,0,0,0,11,34,0,5,42,0,nfl_hist,roycefreeman
60,David Johnson,ARI,RB,0,0,0,0,0,12,34,1,6,68,1,nfl_hist,davidjohnson
61,Duke Johnson,HOU,RB,0,0,0,0,0,5,34,0,2,20,1,nfl_hist,dukejohnson
62,Kerryon Johnson,DET,RB,0,0,0,0,0,13,34,1,2,27,0,nfl_hist,kerryonjohnson
63,Mark Walton,MIA,RB,0,0,0,0,0,6,32,0,5,43,0,nfl_hist,markwalton
64,Justice Hill,BAL,RB,0,0,0,0,0,5,31,0,0,0,0,nfl_hist,justicehill
65,Alvin Kamara,NOR,RB,0,0,0,0,0,11,31,0,7,35,0,nfl_hist,alvinkamara
66,Christian McCaffrey,CAR,RB,0,0,0,0,0,22,31,1,4,26,1,nfl_hist,christianmccaffrey
67,Boston Scott,PHI,RB,0,0,0,0,0,4,30,0,0,0,0,nfl_hist,bostonscott
68,Peyton Barbe,TAM,RB,0,0,0,0,0,8,28,0,0,0,0,nfl_hist,peytonbarbe
69,Derrick Henry,TEN,RB,0,0,0,0,0,15,28,0,1,5,0,nfl_hist,derrickhenry
70,Brandon Bolden,NWE,RB,0,0,0,0,0,3,23,1,2,22,0,nfl_hist,brandonbolden
71,Stefon Diggs,MIN,WR,0,0,0,0,0,2,18,0,7,167,3,nfl_hist,stefondiggs
72,Melvin Gordon,LAC,RB,0,0,0,0,0,8,18,0,3,30,0,nfl_hist,melvingordon
73,Alex Erickson,CIN,WR,0,0,0,0,0,1,17,0,4,47,0,nfl_hist,alexerickson
74,Taysom Hill,NOR,QB,0,0,0,0,0,3,17,0,0,0,0,nfl_hist,taysomhill
75,Robert Woods,LAR,WR,0,0,0,0,0,2,16,1,0,0,0,nfl_hist,robertwoods
76,Brandin Cooks,LAR,WR,0,0,0,0,0,2,14,0,3,18,0,nfl_hist,brandincooks
77,Austin Ekele,LAC,RB,0,0,0,0,0,5,14,0,3,14,0,nfl_hist,austinekele
78,D.J. Moore,CAR,WR,0,0,0,0,0,1,13,0,7,73,0,nfl_hist,djmoore
79,Raheem Mostert,SFO,RB,0,0,0,0,0,4,13,0,0,0,0,nfl_hist,raheemmostert
80,Tony Pollard,DAL,RB,0,0,0,0,0,3,13,0,0,0,0,nfl_hist,tonypollard
81,Ted Ginn,NOR,WR,0,0,0,0,0,1,12,0,2,36,0,nfl_hist,tedginn
82,Chris Thompson,WAS,RB,0,0,0,0,0,3,12,0,2,8,0,nfl_hist,christhompson
83,Ronald Jones,TAM,RB,0,0,0,0,0,4,10,1,0,0,0,nfl_hist,ronaldjones
84,Joe Mixon,CIN,RB,0,0,0,0,0,8,10,0,2,29,0,nfl_hist,joemixon
85,Jamal Agnew,DET,CB,0,0,0,0,0,1,9,0,0,0,0,nfl_hist,jamalagnew
86,Marquez Valdes-Scantling,GNB,WR,0,0,0,0,0,1,9,0,2,48,0,nfl_hist,marquezvaldesscantling
87,C.J. Prosise,SEA,RB,0,0,0,0,0,3,8,0,1,15,0,nfl_hist,cjprosise
88,Curtis Samuel,CAR,WR,0,0,0,0,0,1,8,1,4,70,1,nfl_hist,curtissamuel
89,Kalen Ballage,MIA,RB,0,0,0,0,0,3,7,1,0,0,0,nfl_hist,kalenballage
90,Elijhaa Penny,NYG,RB,0,0,0,0,0,3,6,0,1,0,0,nfl_hist,elijhaapenny
91,Miles Sanders,PHI,RB,0,0,0,0,0,3,6,0,3,86,1,nfl_hist,milessanders
92,Ito Smith,ATL,RB,0,0,0,0,0,3,6,0,0,0,0,nfl_hist,itosmith
93,Damien Williams,KAN,RB,0,0,0,0,0,1,6,0,1,14,1,nfl_hist,damienwilliams
94,Bilal Powell,NYJ,RB,0,0,0,0,0,1,5,0,0,0,0,nfl_hist,bilalpowell
95,Alex Armah,CAR,FB,0,0,0,0,0,2,4,0,0,0,0,nfl_hist,alexarmah
96,Giovani Bernard,CIN,RB,0,0,0,0,0,4,4,0,2,20,0,nfl_hist,giovanibernard
97,J.D. McKissic,DET,RB,0,0,0,0,0,3,4,0,2,7,0,nfl_hist,jdmckissic
