,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Julian Edelman,NWE,WR,15,1,0,1,1,0,0,0,5,53,0,nfl_hist,julianedelman
1,Lamar Jackson,BAL,QB,222,4,0,24,17,10,79,0,0,0,0,nfl_hist,lamarjackson
2,Kirk Cousins,MIN,QB,319,3,0,35,29,2,1,0,0,0,0,nfl_hist,kirkcousins
3,Drew Brees,NOR,QB,228,3,0,35,28,3,0,0,0,0,0,nfl_hist,drewbrees
4,Sam Darnold,NYJ,QB,293,4,1,30,19,2,-3,0,0,0,0,nfl_hist,samdarnold
5,Courtland Sutton,DEN,WR,38,0,0,1,1,2,10,0,5,113,0,nfl_hist,courtlandsutton
6,Josh Allen,BUF,QB,256,3,0,33,21,7,56,1,0,0,0,nfl_hist,joshallen
7,Dak Prescott,DAL,QB,444,3,0,46,29,6,18,0,0,0,0,nfl_hist,dakprescott
8,Jimmy Garoppolo,SFO,QB,424,4,2,45,34,1,7,0,0,0,0,nfl_hist,jimmygaroppolo
9,Matt Ryan,ATL,QB,311,1,0,31,21,2,0,0,0,0,0,nfl_hist,mattryan
10,Jeff Driskel,DET,QB,209,2,0,26,15,8,51,1,0,0,0,nfl_hist,jeffdriskel
11,Derek Ca,OAK,QB,292,1,1,29,25,5,1,1,0,0,0,nfl_hist,derekca
12,Kyler Murray,ARI,QB,150,2,0,33,24,8,67,1,0,0,0,nfl_hist,kylermurray
13,Robert Griffin,BAL,QB,15,0,0,2,2,1,-1,0,0,0,0,nfl_hist,robertgriffin
14,Baker Mayfield,CLE,QB,193,2,0,32,17,1,1,1,0,0,0,nfl_hist,bakermayfield
15,Nick Foles,JAX,QB,296,2,1,47,33,0,0,0,0,0,0,nfl_hist,nickfoles
16,Ryan Fitzpatrick,MIA,QB,323,0,0,45,32,1,0,0,0,0,0,nfl_hist,ryanfitzpatrick
17,Dwayne Haskins,WAS,QB,214,2,1,35,19,4,5,0,0,0,0,nfl_hist,dwaynehaskins
18,Kenjon Barne,ATL,RB,3,0,0,1,1,2,15,0,0,0,0,nfl_hist,kenjonbarne
19,Sam Koch,BAL,P,-2,0,0,1,1,0,0,0,0,0,0,nfl_hist,samkoch
20,Jacoby Brissett,IND,QB,148,1,1,24,15,2,12,1,0,0,0,nfl_hist,jacobybrissett
21,Carson Wentz,PHI,QB,214,1,0,40,20,3,17,0,0,0,0,nfl_hist,carsonwentz
22,Patrick Mahomes,KAN,QB,182,1,1,32,19,5,59,0,0,0,0,nfl_hist,patrickmahomes
23,Jared Goff,LAR,QB,173,0,1,18,11,3,3,0,0,0,0,nfl_hist,jaredgoff
24,Tom Brady,NWE,QB,216,0,0,47,26,1,-1,0,0,0,0,nfl_hist,tombrady
25,Mitchell Trubisky,CHI,QB,190,1,1,43,24,1,4,0,0,0,0,nfl_hist,mitchelltrubisky
26,Deshaun Watson,HOU,QB,169,0,1,29,18,3,12,0,0,0,0,nfl_hist,deshaunwatson
27,Brandon Allen,DEN,QB,240,1,1,39,17,3,18,0,0,0,0,nfl_hist,brandonallen
28,Jameis Winston,TAM,QB,313,2,4,51,30,2,23,0,0,0,0,nfl_hist,jameiswinston
29,Philip Rivers,LAC,QB,353,1,4,52,28,0,0,0,0,0,0,nfl_hist,philiprivers
30,Kyle Allen,CAR,QB,325,0,4,50,31,1,7,0,0,0,0,nfl_hist,kyleallen
31,Chase Daniel,CHI,QB,9,0,0,4,1,0,0,0,0,0,0,nfl_hist,chasedaniel
32,A.J. McCarron,HOU,QB,0,0,0,1,0,0,0,0,0,0,0,nfl_hist,ajmccarron
33,Bilal Powell,NYJ,RB,0,0,0,1,0,7,42,0,1,5,0,nfl_hist,bilalpowell
34,Ryan Finley,CIN,QB,115,0,1,31,13,3,47,0,0,0,0,nfl_hist,ryanfinley
35,Mason Rudolph,PIT,QB,221,1,4,44,23,2,15,0,0,0,0,nfl_hist,masonrudolph
36,Jonathan Williams,IND,RB,0,0,0,0,0,13,116,0,1,31,0,nfl_hist,jonathanwilliams
37,Gus Edwards,BAL,RB,0,0,0,0,0,8,112,1,0,0,0,nfl_hist,gusedwards
38,Josh Jacobs,OAK,RB,0,0,0,0,0,23,112,0,3,12,0,nfl_hist,joshjacobs
39,Marlon Mack,IND,RB,0,0,0,0,0,14,109,1,0,0,0,nfl_hist,marlonmack
40,Todd Gurley,LAR,RB,0,0,0,0,0,25,97,1,3,36,0,nfl_hist,toddgurley
41,Nick Chubb,CLE,RB,0,0,0,0,0,27,92,0,0,0,0,nfl_hist,nickchubb
42,Joe Mixon,CIN,RB,0,0,0,0,0,15,86,1,1,17,0,nfl_hist,joemixon
43,Alvin Kamara,NOR,RB,0,0,0,0,0,13,75,0,10,47,0,nfl_hist,alvinkamara
44,Devin Singletary,BUF,RB,0,0,0,0,0,15,75,0,1,4,0,nfl_hist,devinsingletary
45,Christian McCaffrey,CAR,RB,0,0,0,0,0,14,70,0,11,121,0,nfl_hist,christianmccaffrey
46,Melvin Gordon,LAC,RB,0,0,0,0,0,14,69,0,3,21,0,nfl_hist,melvingordon
47,Kenyan Drake,ARI,RB,0,0,0,0,0,16,67,0,6,13,0,nfl_hist,kenyandrake
48,Phillip Lindsay,DEN,RB,0,0,0,0,0,16,67,0,2,8,0,nfl_hist,philliplindsay
49,Carlos Hyde,HOU,RB,0,0,0,0,0,9,65,1,0,0,0,nfl_hist,carloshyde
50,Le'Veon Bell,NYJ,RB,0,0,0,0,0,18,59,1,2,33,0,nfl_hist,leveonbell
51,Bo Scarbrough,DET,RB,0,0,0,0,0,14,55,1,0,0,0,nfl_hist,boscarbrough
52,Mark Ingram,BAL,RB,0,0,0,0,0,13,48,0,3,37,2,nfl_hist,markingram
53,Ezekiel Elliott,DAL,RB,0,0,0,0,0,16,45,1,2,28,1,nfl_hist,ezekielelliott
54,Duke Johnson,HOU,RB,0,0,0,0,0,6,40,0,2,4,0,nfl_hist,dukejohnson
55,Tarik Cohen,CHI,RB,0,0,0,0,0,9,39,0,5,35,1,nfl_hist,tarikcohen
56,Miles Sanders,PHI,RB,0,0,0,0,0,11,38,0,2,9,0,nfl_hist,milessanders
57,Darrel Williams,KAN,RB,0,0,0,0,0,11,35,1,2,8,0,nfl_hist,darrelwilliams
58,Sony Michel,NWE,RB,0,0,0,0,0,10,33,0,2,11,0,nfl_hist,sonymichel
59,Royce Freeman,DEN,RB,0,0,0,0,0,8,31,0,1,14,0,nfl_hist,roycefreeman
60,David Montgomery,CHI,RB,0,0,0,0,0,14,31,0,1,19,0,nfl_hist,davidmontgomery
61,Giovani Bernard,CIN,RB,0,0,0,0,0,3,30,0,1,16,0,nfl_hist,giovanibernard
62,Brian Hill,ATL,RB,0,0,0,0,0,15,30,0,1,8,0,nfl_hist,brianhill
63,LeSean McCoy,KAN,RB,0,0,0,0,0,7,29,1,4,28,0,nfl_hist,leseanmccoy
64,Frank Gore,BUF,RB,0,0,0,0,0,11,27,0,1,18,0,nfl_hist,frankgore
65,Latavius Murray,NOR,RB,0,0,0,0,0,10,27,0,2,5,0,nfl_hist,lataviusmurray
66,Dalvin Cook,MIN,RB,0,0,0,0,0,11,26,1,5,31,0,nfl_hist,dalvincook
67,Jaylen Samuels,PIT,RB,0,0,0,0,0,5,26,0,5,19,1,nfl_hist,jaylensamuels
68,Boston Scott,PHI,RB,0,0,0,0,0,7,26,0,0,0,0,nfl_hist,bostonscott
69,Adrian Peterson,WAS,RB,0,0,0,0,0,9,25,0,2,5,0,nfl_hist,adrianpeterson
70,Austin Ekele,LAC,RB,0,0,0,0,0,5,24,0,8,108,0,nfl_hist,austinekele
71,Derrius Guice,WAS,RB,0,0,0,0,0,7,24,0,1,45,1,nfl_hist,derriusguice
72,Leonard Fournette,JAX,RB,0,0,0,0,0,8,23,0,7,34,0,nfl_hist,leonardfournette
