,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Mark Clayton,BAL,LWR,32.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,164.0,1.0,nfl_hist,markclayton
1,Matt Ryan,ATL,QB,207.0,2.0,0.0,23.0,17.0,4.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,mattryan
2,Donovan McNabb,PHI,QB,260.0,4.0,0.0,39.0,27.0,4.0,24.0,0.0,0.0,0.0,0.0,nfl_hist,donovanmcnabb
3,Joe Flacco,BAL,QB,280.0,2.0,0.0,29.0,19.0,3.0,15.0,0.0,0.0,0.0,0.0,nfl_hist,joeflacco
4,Ronnie Brown,MIA,RB,22.0,0.0,0.0,1.0,1.0,15.0,48.0,1.0,0.0,0.0,0.0,nfl_hist,ronniebrown
5,Antwaan Randle El,WAS,WR,17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,37.0,0.0,nfl_hist,antwaanrandleel
6,Vince Young,TEN,QB,54.0,0.0,0.0,1.0,1.0,2.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,vinceyoung
7,Tony Romo,DAL,QB,331.0,3.0,1.0,34.0,22.0,2.0,14.0,0.0,0.0,0.0,0.0,nfl_hist,tonyromo
8,Jake Delhomme,CAR,QB,177.0,0.0,0.0,17.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,nfl_hist,jakedelhomme
9,Shaun Hill,SFO,QB,161.0,1.0,0.0,23.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,shaunhill
10,Aaron Rodgers,GNB,QB,298.0,3.0,1.0,45.0,29.0,5.0,26.0,0.0,0.0,0.0,0.0,nfl_hist,aaronrodgers
11,Jay Cutle,DEN,QB,357.0,2.0,1.0,43.0,27.0,3.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,jaycutle
12,David Garrard,JAX,QB,287.0,1.0,1.0,35.0,25.0,5.0,10.0,0.0,1.0,-6.0,0.0,nfl_hist,davidgarrard
13,Eli Manning,NYG,QB,305.0,1.0,1.0,34.0,21.0,4.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,elimanning
14,Gus Frerotte,MIN,QB,210.0,1.0,1.0,25.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,nfl_hist,gusfrerotte
15,Drew Henson,DET,QB,20.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,drewhenson
16,Kerry Collins,TEN,QB,127.0,0.0,0.0,18.0,11.0,1.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,kerrycollins
17,Sage Rosenfels,HOU,QB,200.0,1.0,1.0,24.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,sagerosenfels
18,Chad Pennington,MIA,QB,166.0,0.0,0.0,23.0,13.0,3.0,15.0,0.0,0.0,0.0,0.0,nfl_hist,chadpennington
19,J.P. Losman,BUF,QB,93.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,jplosman
20,Ben Roethlisberge,PIT,QB,179.0,2.0,1.0,33.0,17.0,3.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,benroethlisberge
21,Derek Anderson,CLE,QB,110.0,0.0,0.0,26.0,16.0,2.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,derekanderson
22,Matt Hasselbeck,SEA,QB,287.0,0.0,1.0,38.0,22.0,2.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,matthasselbeck
23,Jeff Garcia,TAM,QB,119.0,1.0,0.0,23.0,9.0,7.0,42.0,0.0,0.0,0.0,0.0,nfl_hist,jeffgarcia
24,Tyler Thigpen,KAN,QB,162.0,0.0,1.0,22.0,15.0,11.0,48.0,0.0,0.0,0.0,0.0,nfl_hist,tylerthigpen
