,player,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,fumble_lost,position,source,nfl_week,year
0,Christian McCaffrey,2,0,0,0,0,287,1387,15,116,1005,4,0,RB,football_db,0,2019
1,Derrick Henry,0,0,0,0,0,303,1540,16,18,206,2,3,RB,football_db,0,2019
2,Aaron Jones,0,0,0,0,0,236,1084,16,49,474,3,2,RB,football_db,0,2019
3,Ezekiel Elliott,0,0,0,0,0,301,1357,12,54,420,2,2,RB,football_db,0,2019
4,Dalvin Cook,0,0,0,0,0,250,1135,13,53,519,0,2,RB,football_db,0,2019
5,Nick Chubb,0,0,0,0,0,298,1494,8,36,278,0,3,RB,football_db,0,2019
6,Mark Ingram,0,0,0,0,0,202,1018,10,26,247,5,2,RB,football_db,0,2019
7,Austin Ekeler,0,0,0,0,0,132,557,3,92,993,8,2,RB,football_db,0,2019
8,Chris Carson,0,0,0,0,0,278,1230,7,37,266,2,4,RB,football_db,0,2019
9,Saquon Barkley,0,0,0,0,0,217,1003,6,52,438,2,0,RB,football_db,0,2019
10,Todd Gurley,0,0,0,0,0,223,857,12,31,207,2,2,RB,football_db,0,2019
11,Joe Mixon,0,0,0,0,0,278,1137,5,35,287,3,0,RB,football_db,0,2019
12,Leonard Fournette,0,0,0,0,0,265,1152,3,76,522,0,1,RB,football_db,0,2019
13,Josh Jacobs,0,0,0,0,0,242,1150,7,20,166,0,1,RB,football_db,0,2019
14,Miles Sanders,0,0,0,0,0,179,818,3,50,509,3,1,RB,football_db,0,2019
15,Marlon Mack,0,0,0,0,0,247,1091,8,14,82,0,0,RB,football_db,0,2019
16,Alvin Kamara,1,1,13,0,0,171,797,5,81,533,1,1,RB,football_db,0,2019
17,Kenyan Drake,0,0,0,0,0,170,817,8,50,345,0,1,RB,football_db,0,2019
18,Phillip Lindsay,0,0,0,0,0,224,1011,7,35,196,0,0,RB,football_db,0,2019
19,Raheem Mostert,0,0,0,0,0,137,772,8,14,180,2,2,RB,football_db,0,2019
20,Le'Veon Bell,0,0,0,0,0,245,789,3,66,461,1,1,RB,football_db,0,2019
21,Carlos Hyde,0,0,0,0,0,245,1070,6,10,42,0,2,RB,football_db,0,2019
22,David Montgomery,0,0,0,0,0,242,889,6,25,185,1,2,RB,football_db,0,2019
23,Sony Michel,0,0,0,0,0,247,912,7,12,94,0,1,RB,football_db,0,2019
24,Melvin Gordon,0,0,0,0,0,162,612,8,42,296,1,3,RB,football_db,0,2019
25,Devonta Freeman,0,0,0,0,0,184,656,2,59,410,4,2,RB,football_db,0,2019
26,Ronald Jones II,0,0,0,0,0,172,724,6,31,309,0,2,RB,football_db,0,2019
27,Adrian Peterson,0,0,0,0,0,211,898,5,17,142,0,2,RB,football_db,0,2019
28,James White,1,1,35,0,0,67,263,1,72,645,5,1,RB,football_db,0,2019
29,Latavius Murray,0,0,0,0,0,146,637,5,34,235,1,0,RB,football_db,0,2019
30,Devin Singletary,0,0,0,0,0,151,775,2,29,194,2,1,RB,football_db,0,2019
31,James Conner,0,0,0,0,0,116,464,4,34,251,3,1,RB,football_db,0,2019
32,Tevin Coleman,0,0,0,0,0,137,544,6,21,180,1,0,RB,football_db,0,2019
33,Damien Williams,0,0,0,0,0,111,498,5,30,213,2,1,RB,football_db,0,2019
34,Duke Johnson,0,0,0,0,0,83,410,2,44,410,3,1,RB,football_db,0,2019
35,Jamaal Williams,0,0,0,0,0,107,460,1,39,253,5,0,RB,football_db,0,2019
36,David Johnson,0,0,0,0,0,94,345,2,36,370,4,1,RB,football_db,0,2019
37,Jordan Howard,0,0,0,0,0,119,525,6,10,69,1,0,RB,football_db,0,2019
38,Peyton Barber,0,0,0,0,0,154,470,6,16,115,1,1,RB,football_db,0,2019
39,Royce Freeman,0,0,0,0,0,132,496,3,43,256,1,0,RB,football_db,0,2019
40,LeSean McCoy,0,0,0,0,0,101,465,4,28,181,1,2,RB,football_db,0,2019
41,Gus Edwards,0,0,0,0,0,133,711,2,7,45,0,1,RB,football_db,0,2019
42,Matt Breida,0,0,0,0,0,123,623,1,19,120,1,1,RB,football_db,0,2019
43,DeAndre Washington,0,0,0,0,0,108,387,3,36,292,0,0,RB,football_db,0,2019
44,Frank Gore,0,0,0,0,0,166,599,2,13,100,0,0,RB,football_db,0,2019
45,Kerryon Johnson,0,0,0,0,0,113,403,3,10,127,1,1,RB,football_db,0,2019
46,Boston Scott,0,0,0,0,0,61,245,5,24,204,0,1,RB,football_db,0,2019
47,Tony Pollard,0,0,0,0,0,86,455,2,15,107,1,1,RB,football_db,0,2019
48,Tarik Cohen,0,0,0,0,0,64,213,0,79,456,3,0,RB,football_db,0,2019
49,Rex Burkhead,0,0,0,0,0,65,302,3,27,279,0,1,RB,football_db,0,2019
50,Rashaad Penny,0,0,0,0,0,65,370,3,8,83,1,1,RB,football_db,0,2019
51,Chase Edmonds,0,0,0,0,0,60,303,4,12,105,1,0,RB,football_db,0,2019
52,Kareem Hunt,0,0,0,0,0,43,179,2,37,285,1,0,RB,football_db,0,2019
53,Malcolm Brown,0,0,0,0,0,69,255,5,2,16,0,0,RB,football_db,0,2019
54,Nyheim Hines,0,0,0,0,0,52,199,2,44,320,0,1,RB,football_db,0,2019
55,Brian Hill,0,0,0,0,0,78,323,2,10,69,1,0,RB,football_db,0,2019
56,Benjamin Snell,0,0,0,0,0,108,426,2,3,23,0,1,RB,football_db,0,2019
57,Alexander Mattison,0,0,0,0,0,100,462,1,10,82,0,1,RB,football_db,0,2019
58,Darrel Williams,0,0,0,0,0,41,141,3,15,167,1,1,RB,football_db,0,2019
59,Jaylen Samuels,5,4,35,0,1,66,175,1,47,305,1,1,RB,football_db,0,2019
60,Derrius Guice,0,0,0,0,0,42,245,2,7,79,1,0,RB,football_db,0,2019
61,Mike Boone,0,0,0,0,0,49,273,3,3,17,0,0,RB,football_db,0,2019
62,Chris Thompson,0,0,0,0,0,37,138,0,42,378,0,0,RB,football_db,0,2019
