,player,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,fumble_lost,position,source,nfl_week,year
0,David Johnson,0,0,0,0,0,293,1239,16,80,879,4,3,RB,football_db,0,2016
1,Ezekiel Elliott,0,0,0,0,0,322,1631,15,32,363,1,1,RB,football_db,0,2016
2,LeSean McCoy,0,0,0,0,0,234,1267,13,50,356,1,0,RB,football_db,0,2016
3,DeMarco Murray,2,1,10,1,0,293,1287,9,53,377,3,1,RB,football_db,0,2016
4,Le'Veon Bell,1,0,0,0,0,261,1268,7,75,616,2,1,RB,football_db,0,2016
5,LeGarrette Blount,0,0,0,0,0,299,1161,18,7,38,0,1,RB,football_db,0,2016
6,Devonta Freeman,0,0,0,0,0,227,1079,11,54,462,2,1,RB,football_db,0,2016
7,Melvin Gordon,0,0,0,0,0,254,997,10,41,419,2,2,RB,football_db,0,2016
8,Jordan Howard,0,0,0,0,0,252,1313,6,29,298,1,1,RB,football_db,0,2016
9,Mark Ingram,0,0,0,0,0,205,1043,6,46,319,4,2,RB,football_db,0,2016
10,Jay Ajayi,0,0,0,0,0,260,1272,8,27,151,0,1,RB,football_db,0,2016
11,Latavius Murray,0,0,0,0,0,195,788,12,33,264,0,1,RB,football_db,0,2016
12,Frank Gore,0,0,0,0,0,263,1025,4,38,277,4,1,RB,football_db,0,2016
13,Carlos Hyde,0,0,0,0,0,217,988,6,27,163,3,3,RB,football_db,0,2016
14,Isaiah Crowell,0,0,0,0,0,198,952,7,40,319,0,2,RB,football_db,0,2016
15,Spencer Ware,0,0,0,0,0,214,921,3,33,447,2,3,RB,football_db,0,2016
16,Lamar Miller,0,0,0,0,0,268,1073,5,31,188,1,1,RB,football_db,0,2016
17,Tevin Coleman,0,0,0,0,0,118,520,8,31,421,3,0,RB,football_db,0,2016
18,Jeremy Hill,0,0,0,0,0,222,839,9,21,174,0,0,RB,football_db,0,2016
19,Todd Gurley,0,0,0,0,0,278,885,6,43,327,0,1,RB,football_db,0,2016
20,Matt Forte,0,0,0,0,0,218,813,7,30,263,1,1,RB,football_db,0,2016
21,Jonathan Stewart,0,0,0,0,0,218,824,9,8,60,0,2,RB,football_db,0,2016
22,Bilal Powell,0,0,0,0,0,131,722,3,58,388,2,1,RB,football_db,0,2016
23,Ryan Mathews,0,0,0,0,0,155,661,8,13,115,1,2,RB,football_db,0,2016
24,Terrance West,0,0,0,0,0,193,774,5,34,236,1,0,RB,football_db,0,2016
25,Mike Gillislee,0,0,0,0,0,101,577,8,9,50,1,0,RB,football_db,0,2016
26,Rob Kelley,0,0,0,0,0,168,704,6,12,82,1,0,RB,football_db,0,2016
27,Christine Michael,0,0,0,0,0,148,583,7,22,107,1,1,RB,football_db,0,2016
28,Devontae Booker,0,0,0,0,0,174,612,4,31,265,1,3,RB,football_db,0,2016
29,Theo Riddick,0,0,0,0,0,92,357,1,53,371,5,0,RB,football_db,0,2016
30,Darren Sproles,0,0,0,0,0,94,438,2,52,427,2,0,RB,football_db,0,2016
31,Jerick McKinnon,1,0,0,0,0,159,539,2,43,255,2,0,RB,football_db,0,2016
32,Rashad Jennings,0,0,0,0,0,181,593,3,35,201,1,0,RB,football_db,0,2016
33,Tim Hightower,0,0,0,0,0,133,548,4,22,200,1,0,RB,football_db,0,2016
34,James White,0,0,0,0,0,39,166,0,60,551,5,0,RB,football_db,0,2016
35,Matt Asiata,0,0,0,0,0,121,402,6,32,263,0,1,RB,football_db,0,2016
36,Ty Montgomery,0,0,0,0,0,77,457,3,44,348,0,1,RB,football_db,0,2016
37,Chris Thompson,0,0,0,0,0,68,356,3,49,349,2,1,RB,football_db,0,2016
38,Derrick Henry,0,0,0,0,0,110,490,5,13,137,0,0,RB,football_db,0,2016
39,C.J. Anderson,0,0,0,0,0,110,437,4,16,128,1,0,RB,football_db,0,2016
40,Duke Johnson,1,0,0,0,0,73,358,1,53,514,0,1,RB,football_db,0,2016
41,DeAngelo Williams,0,0,0,0,0,98,343,4,18,118,2,0,RB,football_db,0,2016
42,Jalen Richard,0,0,0,0,0,83,491,1,29,194,2,0,RB,football_db,0,2016
43,T.J. Yeldon,0,0,0,0,0,130,465,1,50,312,1,1,RB,football_db,0,2016
44,Giovani Bernard,0,0,0,0,0,91,337,2,39,336,1,1,RB,football_db,0,2016
45,Robert Turbin,0,0,0,0,0,47,164,7,26,179,1,0,RB,football_db,0,2016
46,Shaun Draughn,0,0,0,0,0,74,196,4,29,263,2,1,RB,football_db,0,2016
47,Jacquizz Rodgers,0,0,0,0,0,129,560,2,13,98,0,0,RB,football_db,0,2016
48,Chris Ivory,0,0,0,0,0,117,439,3,20,186,0,3,RB,football_db,0,2016
49,Zach Zenner,0,0,0,0,0,88,334,4,18,196,0,1,RB,football_db,0,2016
50,Doug Martin,0,0,0,0,0,144,421,3,14,134,0,1,RB,football_db,0,2016
51,Kenneth Dixon,0,0,0,0,0,88,382,2,30,162,1,0,RB,football_db,0,2016
52,Matt Jones,0,0,0,0,0,99,460,3,8,73,0,2,RB,football_db,0,2016
53,Damien Williams,0,0,0,0,0,35,115,3,23,249,3,1,RB,football_db,0,2016
54,DeAndre Washington,0,0,0,0,0,87,467,2,17,115,0,1,RB,football_db,0,2016
