,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Michael Vick,PHI,QB,333.0,4.0,0.0,28.0,20.0,8.0,80.0,2.0,0.0,0.0,0.0,nfl_hist,michaelvick
1,Tyler Thigpen,MIA,QB,64.0,1.0,0.0,6.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,tylerthigpen
2,Josh Freeman,TAM,QB,241.0,2.0,0.0,24.0,18.0,5.0,19.0,0.0,0.0,0.0,0.0,nfl_hist,joshfreeman
3,David Garrard,JAX,QB,342.0,2.0,0.0,31.0,24.0,7.0,35.0,0.0,0.0,0.0,0.0,nfl_hist,davidgarrard
4,Kyle Orton,DEN,QB,296.0,4.0,0.0,34.0,22.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,kyleorton
5,Jon Kitna,DAL,QB,327.0,3.0,1.0,22.0,13.0,5.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,jonkitna
6,Matt Schaub,HOU,QB,314.0,2.0,0.0,32.0,22.0,3.0,14.0,0.0,0.0,0.0,0.0,nfl_hist,mattschaub
7,Tim Tebow,DEN,QB,3.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,nfl_hist,timtebow
8,Tom Brady,NWE,QB,350.0,3.0,0.0,43.0,30.0,1.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
9,Troy Smith,SFO,QB,356.0,1.0,0.0,28.0,17.0,3.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,troysmith
10,Matt Cassel,KAN,QB,469.0,4.0,0.0,53.0,33.0,2.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,mattcassel
11,Matt Hasselbeck,SEA,QB,333.0,1.0,0.0,34.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,matthasselbeck
12,Matt Ryan,ATL,QB,316.0,3.0,0.0,50.0,32.0,1.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,mattryan
13,Joe Flacco,BAL,QB,215.0,3.0,1.0,34.0,22.0,3.0,13.0,0.0,0.0,0.0,0.0,nfl_hist,joeflacco
14,Ben Roethlisberge,PIT,QB,387.0,3.0,1.0,49.0,30.0,1.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,benroethlisberge
