,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Aaron Rodgers,GNB,QB,301.0,4.0,0.0,31.0,22.0,3.0,21.0,0.0,0.0,0.0,0.0,nfl_hist,aaronrodgers
1,Jon Kitna,DAL,QB,147.0,3.0,0.0,24.0,18.0,4.0,40.0,1.0,0.0,0.0,0.0,nfl_hist,jonkitna
2,Ben Roethlisberge,PIT,QB,275.0,3.0,0.0,29.0,18.0,3.0,55.0,1.0,0.0,0.0,0.0,nfl_hist,benroethlisberge
3,Tom Brady,NWE,QB,186.0,2.0,0.0,25.0,19.0,4.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
4,Mike Scifres,SDG,P,28.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,mikescifres
5,Josh Freeman,TAM,QB,136.0,2.0,0.0,20.0,13.0,5.0,15.0,0.0,0.0,0.0,0.0,nfl_hist,joshfreeman
6,Philip Rivers,SDG,QB,233.0,4.0,1.0,24.0,15.0,4.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,philiprivers
7,Matt Cassel,KAN,QB,193.0,2.0,0.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,mattcassel
8,Joe Flacco,BAL,QB,301.0,1.0,0.0,33.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,joeflacco
9,Vince Young,TEN,QB,165.0,0.0,0.0,16.0,12.0,3.0,20.0,0.0,0.0,0.0,0.0,nfl_hist,vinceyoung
10,Ryan Fitzpatrick,BUF,QB,316.0,4.0,2.0,34.0,21.0,1.0,11.0,0.0,0.0,0.0,0.0,nfl_hist,ryanfitzpatrick
11,Drew Brees,NOR,QB,382.0,4.0,2.0,43.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
12,Matt Hasselbeck,SEA,QB,366.0,1.0,0.0,44.0,32.0,1.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,matthasselbeck
13,Matt Ryan,ATL,QB,253.0,2.0,0.0,39.0,26.0,1.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,mattryan
14,Mark Sanchez,NYJ,QB,315.0,3.0,1.0,38.0,22.0,2.0,22.0,0.0,0.0,0.0,0.0,nfl_hist,marksanchez
15,Peyton Manning,IND,QB,396.0,4.0,3.0,52.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
16,Josh Johnson,TAM,QB,7.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,joshjohnson
17,Matt Schaub,HOU,QB,254.0,1.0,0.0,33.0,19.0,1.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,mattschaub
18,Jordan Palme,CIN,QB,18.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,jordanpalme
19,Shaun Hill,DET,QB,289.0,2.0,1.0,47.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,shaunhill
20,Matt Flynn,GNB,QB,5.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,mattflynn
21,Colt McCoy,CLE,QB,241.0,1.0,1.0,28.0,17.0,4.0,39.0,0.0,0.0,0.0,0.0,nfl_hist,coltmccoy
22,Sam Bradford,STL,QB,233.0,2.0,1.0,42.0,27.0,1.0,17.0,0.0,0.0,0.0,0.0,nfl_hist,sambradford
23,Michael Vick,PHI,QB,258.0,0.0,0.0,38.0,24.0,11.0,34.0,1.0,0.0,0.0,0.0,nfl_hist,michaelvick
24,Donovan McNabb,WAS,QB,376.0,1.0,1.0,50.0,30.0,1.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,donovanmcnabb
25,Derek Anderson,ARI,QB,295.0,1.0,0.0,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,derekanderson
26,Kyle Orton,DEN,QB,217.0,1.0,1.0,38.0,24.0,1.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,kyleorton
