,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Tom Brady,NWE,QB,341.0,4.0,0.0,27.0,21.0,4.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
1,Jay Cutle,CHI,QB,247.0,4.0,0.0,21.0,14.0,7.0,17.0,0.0,0.0,0.0,0.0,nfl_hist,jaycutle
2,Matt Cassel,KAN,QB,233.0,4.0,0.0,32.0,22.0,5.0,28.0,0.0,0.0,0.0,0.0,nfl_hist,mattcassel
3,Eli Manning,NYG,QB,226.0,2.0,0.0,24.0,14.0,3.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,elimanning
4,Aaron Rodgers,GNB,QB,344.0,1.0,0.0,35.0,26.0,12.0,51.0,1.0,0.0,0.0,0.0,nfl_hist,aaronrodgers
5,Sam Bradford,STL,QB,308.0,3.0,0.0,37.0,22.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,sambradford
6,Kyle Orton,DEN,QB,347.0,3.0,0.0,41.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,kyleorton
7,Matt Ryan,ATL,QB,197.0,1.0,0.0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,mattryan
8,Joe Flacco,BAL,QB,289.0,2.0,1.0,35.0,25.0,3.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,joeflacco
9,Matt Schaub,HOU,QB,178.0,2.0,0.0,35.0,25.0,2.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,mattschaub
10,Chad Henne,MIA,QB,307.0,2.0,1.0,30.0,17.0,3.0,-4.0,0.0,0.0,0.0,0.0,nfl_hist,chadhenne
11,Philip Rivers,SDG,QB,185.0,0.0,0.0,23.0,19.0,3.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,philiprivers
12,Michael Vick,PHI,QB,333.0,2.0,1.0,44.0,29.0,9.0,44.0,0.0,0.0,0.0,0.0,nfl_hist,michaelvick
13,Brett Favre,MIN,QB,172.0,0.0,0.0,23.0,15.0,5.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,brettfavre
14,Drew Brees,NOR,QB,352.0,1.0,1.0,39.0,23.0,3.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
15,Ben Roethlisberge,PIT,QB,246.0,0.0,0.0,33.0,20.0,1.0,18.0,0.0,0.0,0.0,0.0,nfl_hist,benroethlisberge
16,Jon Kitna,DAL,QB,313.0,0.0,1.0,42.0,30.0,5.0,20.0,0.0,0.0,0.0,0.0,nfl_hist,jonkitna
17,Donovan McNabb,WAS,QB,211.0,1.0,1.0,35.0,21.0,2.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,donovanmcnabb
18,Matt Hasselbeck,SEA,QB,282.0,2.0,2.0,37.0,20.0,2.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,matthasselbeck
19,Mark Sanchez,NYJ,QB,166.0,1.0,1.0,28.0,16.0,3.0,-4.0,0.0,0.0,0.0,0.0,nfl_hist,marksanchez
20,Josh Freeman,TAM,QB,162.0,1.0,0.0,37.0,17.0,6.0,27.0,0.0,0.0,0.0,0.0,nfl_hist,joshfreeman
21,Ryan Fitzpatrick,BUF,QB,265.0,1.0,1.0,45.0,23.0,2.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,ryanfitzpatrick
22,Shaun Hill,DET,QB,285.0,1.0,2.0,46.0,27.0,4.0,23.0,0.0,0.0,0.0,0.0,nfl_hist,shaunhill
23,Jake Delhomme,CLE,QB,245.0,0.0,2.0,35.0,24.0,2.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,jakedelhomme
24,Jimmy Clausen,CAR,QB,195.0,0.0,1.0,28.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,jimmyclausen
25,Bruce Gradkowski,OAK,QB,252.0,1.0,2.0,32.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,brucegradkowski
26,Troy Smith,SFO,QB,129.0,1.0,1.0,23.0,11.0,3.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,troysmith
