,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Tom Brady,NWE,QB,252.0,3.0,0.0,27.0,21.0,4.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
1,Joe Flacco,BAL,QB,262.0,3.0,0.0,31.0,22.0,4.0,-4.0,0.0,0.0,0.0,0.0,nfl_hist,joeflacco
2,Tony Romo,DAL,QB,284.0,2.0,0.0,30.0,23.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,tonyromo
3,Mark Sanchez,NYJ,QB,256.0,3.0,0.0,28.0,15.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,marksanchez
4,Michael Vick,PHI,QB,291.0,3.0,0.0,31.0,17.0,4.0,30.0,1.0,0.0,0.0,0.0,nfl_hist,michaelvick
5,Josh Johnson,TAM,QB,67.0,0.0,0.0,6.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,joshjohnson
6,Matt Cassel,KAN,QB,250.0,3.0,1.0,27.0,16.0,2.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,mattcassel
7,Drew Brees,NOR,QB,365.0,3.0,2.0,38.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
8,Peyton Manning,IND,QB,325.0,3.0,0.0,43.0,27.0,2.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
9,Matt Ryan,ATL,QB,228.0,2.0,0.0,30.0,19.0,6.0,26.0,0.0,0.0,0.0,0.0,nfl_hist,mattryan
10,Charlie Batch,PIT,QB,186.0,3.0,2.0,17.0,12.0,5.0,26.0,0.0,0.0,0.0,0.0,nfl_hist,charliebatch
11,Vince Young,TEN,QB,118.0,1.0,0.0,16.0,10.0,3.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,vinceyoung
12,Seneca Wallace,CLE,QB,141.0,1.0,0.0,24.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,senecawallace
13,Aaron Rodgers,GNB,QB,316.0,1.0,1.0,45.0,34.0,2.0,20.0,1.0,0.0,0.0,0.0,nfl_hist,aaronrodgers
14,Ryan Fitzpatrick,BUF,QB,247.0,2.0,2.0,28.0,20.0,3.0,18.0,0.0,0.0,0.0,0.0,nfl_hist,ryanfitzpatrick
15,Chad Henne,MIA,QB,363.0,2.0,1.0,44.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,chadhenne
16,Kyle Orton,DEN,QB,476.0,1.0,1.0,57.0,37.0,2.0,11.0,0.0,0.0,0.0,0.0,nfl_hist,kyleorton
17,Jay Cutle,CHI,QB,221.0,1.0,1.0,27.0,16.0,3.0,37.0,0.0,0.0,0.0,0.0,nfl_hist,jaycutle
18,Philip Rivers,SDG,QB,455.0,2.0,2.0,53.0,29.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,philiprivers
19,Donovan McNabb,WAS,QB,236.0,1.0,1.0,32.0,19.0,2.0,25.0,0.0,0.0,0.0,0.0,nfl_hist,donovanmcnabb
20,Anquan Boldin,BAL,WR,-6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,142.0,3.0,nfl_hist,anquanboldin
21,Sam Bradford,STL,QB,235.0,1.0,1.0,37.0,23.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,sambradford
22,Matt Schaub,HOU,QB,241.0,1.0,2.0,32.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,mattschaub
23,Matt Hasselbeck,SEA,QB,220.0,1.0,1.0,32.0,19.0,3.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,matthasselbeck
24,Eli Manning,NYG,QB,386.0,0.0,2.0,48.0,34.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,elimanning
25,Bruce Gradkowski,OAK,QB,255.0,1.0,1.0,34.0,17.0,4.0,13.0,0.0,0.0,0.0,0.0,nfl_hist,brucegradkowski
26,Derek Anderson,ARI,QB,122.0,2.0,1.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,derekanderson
27,Shaun Hill,DET,QB,237.0,1.0,2.0,43.0,29.0,2.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,shaunhill
28,Alex Smith,SFO,QB,232.0,1.0,1.0,42.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,alexsmith
29,Brett Favre,MIN,QB,201.0,1.0,2.0,34.0,23.0,2.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,brettfavre
30,Josh Freeman,TAM,QB,184.0,0.0,1.0,31.0,20.0,6.0,15.0,0.0,0.0,0.0,0.0,nfl_hist,joshfreeman
31,Jimmy Clausen,CAR,QB,188.0,0.0,1.0,33.0,16.0,6.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,jimmyclausen
32,Carson Palme,CIN,QB,195.0,1.0,2.0,37.0,19.0,5.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,carsonpalme
33,Ronnie Brown,MIA,RB,0.0,0.0,0.0,1.0,0.0,11.0,54.0,0.0,2.0,-1.0,0.0,nfl_hist,ronniebrown
34,David Garrard,JAX,QB,105.0,0.0,1.0,30.0,13.0,7.0,32.0,0.0,0.0,0.0,0.0,nfl_hist,davidgarrard
35,Adrian Peterson,MIN,HB,0.0,0.0,0.0,0.0,0.0,23.0,160.0,2.0,5.0,30.0,0.0,nfl_hist,adrianpeterson
36,Peyton Hillis,CLE,RB,0.0,0.0,0.0,0.0,0.0,22.0,144.0,1.0,7.0,36.0,0.0,nfl_hist,peytonhillis
37,Rashard Mendenhall,PIT,RB,0.0,0.0,0.0,0.0,0.0,19.0,143.0,1.0,0.0,0.0,0.0,nfl_hist,rashardmendenhall
38,Chris Johnson,TEN,RB,0.0,0.0,0.0,0.0,0.0,32.0,125.0,2.0,0.0,0.0,0.0,nfl_hist,chrisjohnson
39,Michael Turne,ATL,RB,0.0,0.0,0.0,0.0,0.0,30.0,114.0,1.0,2.0,11.0,0.0,nfl_hist,michaelturne
40,Arian Foste,HOU,RB,0.0,0.0,0.0,0.0,0.0,17.0,106.0,0.0,4.0,20.0,0.0,nfl_hist,arianfoste
41,Darren McFadden,OAK,RB,0.0,0.0,0.0,0.0,0.0,25.0,105.0,1.0,2.0,17.0,0.0,nfl_hist,darrenmcfadden
42,BenJarvus Green-Ellis,NWE,RB,0.0,0.0,0.0,0.0,0.0,16.0,98.0,1.0,1.0,6.0,0.0,nfl_hist,benjarvusgreenellis
43,Jamaal Charles,KAN,RB,0.0,0.0,0.0,0.0,0.0,12.0,97.0,0.0,3.0,57.0,0.0,nfl_hist,jamaalcharles
44,Thomas Jones,KAN,RB,0.0,0.0,0.0,0.0,0.0,19.0,95.0,1.0,1.0,1.0,0.0,nfl_hist,thomasjones
45,Ahmad Bradshaw,NYG,RB,0.0,0.0,0.0,0.0,0.0,15.0,88.0,1.0,5.0,30.0,0.0,nfl_hist,ahmadbradshaw
46,Maurice Jones-Drew,JAX,RB,0.0,0.0,0.0,0.0,0.0,22.0,88.0,0.0,2.0,1.0,0.0,nfl_hist,mauricejonesdrew
47,Cedric Benson,CIN,HB,0.0,0.0,0.0,0.0,0.0,27.0,81.0,1.0,2.0,9.0,1.0,nfl_hist,cedricbenson
48,Ray Rice,BAL,RB,0.0,0.0,0.0,0.0,0.0,15.0,80.0,0.0,4.0,16.0,0.0,nfl_hist,rayrice
49,Marshawn Lynch,BUF,RB,0.0,0.0,0.0,0.0,0.0,13.0,79.0,0.0,1.0,7.0,0.0,nfl_hist,marshawnlynch
50,Beanie Wells,ARI,RB,0.0,0.0,0.0,0.0,0.0,14.0,75.0,0.0,0.0,0.0,0.0,nfl_hist,beaniewells
51,Mike Tolbert,SDG,RB,0.0,0.0,0.0,0.0,0.0,17.0,73.0,0.0,3.0,17.0,0.0,nfl_hist,miketolbert
52,LaDainian Tomlinson,NYJ,RB,0.0,0.0,0.0,0.0,0.0,15.0,70.0,1.0,3.0,18.0,0.0,nfl_hist,ladainiantomlinson
53,DeAngelo Williams,CAR,RB,0.0,0.0,0.0,0.0,0.0,10.0,64.0,0.0,0.0,0.0,0.0,nfl_hist,deangelowilliams
54,Justin Forsett,SEA,RB,0.0,0.0,0.0,0.0,0.0,17.0,63.0,0.0,3.0,31.0,0.0,nfl_hist,justinforsett
55,Jason Snelling,ATL,RB,0.0,0.0,0.0,0.0,0.0,14.0,62.0,0.0,1.0,8.0,0.0,nfl_hist,jasonsnelling
56,Steven Jackson,STL,HB,0.0,0.0,0.0,0.0,0.0,10.0,58.0,1.0,1.0,6.0,0.0,nfl_hist,stevenjackson
57,Marion Barbe,DAL,RB,0.0,0.0,0.0,0.0,0.0,17.0,55.0,1.0,1.0,5.0,0.0,nfl_hist,marionbarbe
58,LeSean McCoy,PHI,RB,0.0,0.0,0.0,0.0,0.0,11.0,54.0,0.0,2.0,7.0,0.0,nfl_hist,leseanmccoy
59,Kenneth Darby,STL,RB,0.0,0.0,0.0,0.0,0.0,14.0,49.0,1.0,1.0,8.0,0.0,nfl_hist,kennethdarby
60,Ryan Torain,WAS,RB,0.0,0.0,0.0,0.0,0.0,7.0,46.0,0.0,0.0,0.0,0.0,nfl_hist,ryantorain
61,Clinton Portis,WAS,RB,0.0,0.0,0.0,0.0,0.0,7.0,44.0,0.0,1.0,14.0,0.0,nfl_hist,clintonportis
62,Frank Gore,SFO,RB,0.0,0.0,0.0,0.0,0.0,15.0,43.0,0.0,9.0,102.0,0.0,nfl_hist,frankgore
63,Felix Jones,DAL,RB,0.0,0.0,0.0,0.0,0.0,7.0,43.0,0.0,0.0,0.0,0.0,nfl_hist,felixjones
64,Danny Woodhead,NWE,RB,0.0,0.0,0.0,0.0,0.0,3.0,42.0,1.0,0.0,0.0,0.0,nfl_hist,dannywoodhead
65,Brad Smith,NYJ,WR,0.0,0.0,0.0,0.0,0.0,3.0,41.0,0.0,1.0,11.0,0.0,nfl_hist,bradsmith
66,Tim Hightowe,ARI,RB,0.0,0.0,0.0,0.0,0.0,11.0,40.0,0.0,1.0,0.0,0.0,nfl_hist,timhightowe
67,Shonn Greene,NYJ,RB,0.0,0.0,0.0,0.0,0.0,10.0,36.0,0.0,0.0,0.0,0.0,nfl_hist,shonngreene
68,John Kuhn,GNB,RB,0.0,0.0,0.0,0.0,0.0,6.0,31.0,0.0,2.0,20.0,0.0,nfl_hist,johnkuhn
69,Isaac Redman,PIT,RB,0.0,0.0,0.0,0.0,0.0,5.0,31.0,0.0,1.0,9.0,0.0,nfl_hist,isaacredman
70,Javon Ringe,TEN,RB,0.0,0.0,0.0,0.0,0.0,6.0,30.0,0.0,0.0,0.0,0.0,nfl_hist,javonringe
71,Pierre Thomas,NOR,RB,0.0,0.0,0.0,0.0,0.0,9.0,30.0,0.0,6.0,61.0,0.0,nfl_hist,pierrethomas
72,Joseph Addai,IND,RB,0.0,0.0,0.0,0.0,0.0,13.0,29.0,0.0,2.0,10.0,0.0,nfl_hist,josephaddai
73,Matt Forte,CHI,RB,0.0,0.0,0.0,0.0,0.0,11.0,29.0,0.0,2.0,14.0,0.0,nfl_hist,mattforte
74,Willis McGahee,BAL,RB,0.0,0.0,0.0,0.0,0.0,7.0,29.0,0.0,0.0,0.0,0.0,nfl_hist,willismcgahee
75,C.J. Spille,BUF,RB,0.0,0.0,0.0,0.0,0.0,4.0,29.0,0.0,3.0,10.0,1.0,nfl_hist,cjspille
76,Ricky Williams,MIA,RB,0.0,0.0,0.0,0.0,0.0,7.0,28.0,0.0,0.0,0.0,0.0,nfl_hist,rickywilliams
77,LeGarrette Blount,TAM,RB,0.0,0.0,0.0,0.0,0.0,6.0,27.0,1.0,0.0,0.0,0.0,nfl_hist,legarretteblount
78,Jahvid Best,DET,RB,0.0,0.0,0.0,0.0,0.0,7.0,26.0,0.0,2.0,13.0,0.0,nfl_hist,jahvidbest
79,Laurence Maroney,DEN,RB,0.0,0.0,0.0,0.0,0.0,12.0,24.0,0.0,2.0,40.0,0.0,nfl_hist,laurencemaroney
80,Keith Toston,STL,RB,0.0,0.0,0.0,0.0,0.0,11.0,22.0,0.0,0.0,0.0,0.0,nfl_hist,keithtoston
81,Stefan Logan,DET,WR,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,nfl_hist,stefanlogan
82,Josh Cribbs,CLE,WR,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,5.0,58.0,0.0,nfl_hist,joshcribbs
83,Rashad Jennings,JAX,RB,0.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,1.0,14.0,0.0,nfl_hist,rashadjennings
84,Sammy Morris,NWE,RB,0.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,0.0,0.0,0.0,nfl_hist,sammymorris
85,Brandon Jacobs,NYG,RB,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,1.0,1.0,0.0,nfl_hist,brandonjacobs
86,Brian Leonard,CIN,HB/F,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,1.0,6.0,0.0,nfl_hist,brianleonard
87,Darren Sproles,SDG,RB,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,1.0,10.0,0.0,nfl_hist,darrensproles
88,Fred Taylo,NWE,RB,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,nfl_hist,fredtaylo
89,Bernard Scott,CIN,HB,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,nfl_hist,bernardscott
90,Mike Bell,PHI,RB,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,nfl_hist,mikebell
91,Steve Slaton,HOU,RB,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,1.0,3.0,0.0,nfl_hist,steveslaton
92,Michael Bush,OAK,RB,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,nfl_hist,michaelbush
93,Earnest Graham,TAM,FB,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,4.0,57.0,0.0,nfl_hist,earnestgraham
94,Percy Harvin,MIN,WR,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,6.0,62.0,1.0,nfl_hist,percyharvin
95,Aaron Hernandez,NWE,TE,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,6.0,65.0,0.0,nfl_hist,aaronhernandez
96,Chris Ivory,NOR,RB,0.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,nfl_hist,chrisivory
97,Jonathan Stewart,CAR,RB,0.0,0.0,0.0,0.0,0.0,8.0,13.0,1.0,2.0,18.0,0.0,nfl_hist,jonathanstewart
98,Cadillac Williams,TAM,RB,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,5.0,33.0,0.0,nfl_hist,cadillacwilliams
99,Donald Brown,IND,RB,0.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,donaldbrown
100,Correll Buckhalte,DEN,RB,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,6.0,33.0,0.0,nfl_hist,correllbuckhalte
101,Toby Gerhart,MIN,RB,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,tobygerhart
102,Brandon Jackson,GNB,RB,0.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,4.0,27.0,0.0,nfl_hist,brandonjackson
103,Jackie Battle,KAN,RB,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,jackiebattle
104,James Davis,CLE,RB,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,jamesdavis
105,Chester Taylo,CHI,RB,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,chestertaylo
106,DeSean Jackson,PHI,WR,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,5.0,153.0,1.0,nfl_hist,deseanjackson
107,Fred Jackson,BUF,RB,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,fredjackson
108,Jerome Felton,DET,FB,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,5.0,0.0,nfl_hist,jeromefelton
109,Maurice Morris,DET,RB,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,5.0,36.0,0.0,nfl_hist,mauricemorris
110,Brandon Tate,NWE,WR,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,43.0,0.0,nfl_hist,brandontate
111,Steve Breaston,ARI,WR,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,41.0,1.0,nfl_hist,stevebreaston
112,Tashard Choice,DAL,RB,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,tashardchoice
113,Le'Ron McClain,BAL,FB,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,18.0,0.0,nfl_hist,leronmcclain
114,Mewelde Moore,PIT,RB,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,4.0,0.0,nfl_hist,meweldemoore
115,Lousaka Polite,MIA,FB,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,14.0,0.0,nfl_hist,lousakapolite
116,Derrick Ward,HOU,RB,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,derrickward
