,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Chad Pennington,NYJ,QB,219.0,3.0,0.0,14.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,chadpennington
1,Kelly Holcomb,CLE,QB,392.0,3.0,0.0,35.0,29.0,3.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,kellyholcomb
2,Donovan McNabb,PHI,QB,314.0,2.0,0.0,30.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,donovanmcnabb
3,Tim Rattay,SFO,QB,254.0,2.0,0.0,27.0,21.0,2.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,timrattay
4,Peyton Manning,IND,QB,401.0,1.0,0.0,36.0,27.0,2.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
5,Rick Mire,OAK,QB,195.0,0.0,0.0,13.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,rickmire
6,Matt Hasselbeck,SEA,QB,207.0,1.0,0.0,28.0,21.0,3.0,15.0,1.0,0.0,0.0,0.0,nfl_hist,matthasselbeck
7,Jake Plumme,DEN,QB,253.0,3.0,1.0,34.0,23.0,2.0,14.0,0.0,0.0,0.0,0.0,nfl_hist,jakeplumme
8,Tony Banks,HOU,QB,207.0,1.0,1.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,tonybanks
9,Trent Green,KAN,QB,313.0,2.0,0.0,42.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,trentgreen
10,Jon Kitna,CIN,QB,233.0,2.0,0.0,32.0,19.0,4.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,jonkitna
11,Drew Bledsoe,BUF,QB,184.0,0.0,0.0,26.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,drewbledsoe
12,Antwaan Randle El,PIT,WR,-7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,61.0,1.0,nfl_hist,antwaanrandleel
13,Tommy Maddox,PIT,QB,327.0,1.0,1.0,44.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,tommymaddox
14,Jake Delhomme,CAR,QB,317.0,0.0,2.0,30.0,20.0,3.0,-2.0,1.0,0.0,0.0,0.0,nfl_hist,jakedelhomme
15,Kerry Collins,NYG,QB,268.0,1.0,1.0,44.0,25.0,1.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,kerrycollins
16,Marc Bulge,STL,QB,240.0,2.0,2.0,46.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,marcbulge
17,Steve McNai,TEN,QB,166.0,1.0,1.0,25.0,13.0,5.0,21.0,0.0,0.0,0.0,0.0,nfl_hist,stevemcnai
18,Joey Harrington,DET,QB,285.0,2.0,2.0,48.0,26.0,3.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,joeyharrington
19,Patrick Ramsey,WAS,QB,150.0,2.0,1.0,35.0,16.0,2.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,patrickramsey
20,Tom Brady,NWE,QB,212.0,0.0,0.0,34.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
21,Daunte Culpeppe,MIN,QB,396.0,1.0,3.0,49.0,27.0,7.0,42.0,1.0,0.0,0.0,0.0,nfl_hist,daunteculpeppe
22,Brad Johnson,TAM,QB,149.0,1.0,2.0,28.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,bradjohnson
23,David Ca,HOU,QB,12.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,davidca
24,Aaron Brooks,NOR,QB,228.0,0.0,2.0,37.0,21.0,8.0,37.0,0.0,0.0,0.0,0.0,nfl_hist,aaronbrooks
25,Brett Favre,GNB,QB,92.0,1.0,1.0,28.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,brettfavre
26,Chris Chandle,CHI,QB,153.0,1.0,2.0,32.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,chrischandle
27,Jeff Blake,ARI,QB,121.0,0.0,1.0,21.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,jeffblake
28,Doug Flutie,SDG,QB,70.0,1.0,1.0,25.0,9.0,5.0,11.0,0.0,0.0,0.0,0.0,nfl_hist,dougflutie
29,Trent Dilfe,SEA,QB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,trentdilfe
30,Craig Hentrich,TEN,P/K,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,craighentrich
31,Deuce McAlliste,NOR,RB,0.0,0.0,0.0,1.0,0.0,28.0,173.0,2.0,9.0,64.0,0.0,nfl_hist,deucemcalliste
32,Brian Griese,MIA,QB,126.0,0.0,1.0,32.0,13.0,1.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,briangriese
33,Quincy Carte,DAL,QB,210.0,0.0,3.0,36.0,20.0,6.0,33.0,0.0,0.0,0.0,0.0,nfl_hist,quincycarte
34,Byron Leftwich,JAX,QB,151.0,0.0,2.0,31.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,byronleftwich
35,Anthony Wright,BAL,QB,112.0,0.0,2.0,25.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,anthonywright
36,Kurt Kittne,ATL,QB,80.0,0.0,2.0,27.0,8.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,kurtkittne
37,Josh McCown,ARI,QB,31.0,0.0,2.0,11.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,joshmccown
38,Danny Kanell,DEN,QB,0.0,0.0,1.0,1.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,nfl_hist,dannykanell
39,Rudi Johnson,CIN,HB,0.0,0.0,0.0,0.0,0.0,22.0,165.0,0.0,2.0,12.0,0.0,nfl_hist,rudijohnson
40,Warrick Dunn,ATL,RB,0.0,0.0,0.0,0.0,0.0,23.0,162.0,0.0,2.0,23.0,0.0,nfl_hist,warrickdunn
41,Travis Henry,BUF,HB,0.0,0.0,0.0,0.0,0.0,23.0,149.0,0.0,1.0,4.0,0.0,nfl_hist,travishenry
