player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds
Tyler Higbee,LAR,TE,0.75,0.0,0.0,0.0,0.0,0.0,67.1,4.25,771.8,0.0,0.0,0.0
Tyler Johnson,TB,WR,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.6,132.2,1.0,0.1,6.7
Tyler Kroft,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.0,19.4,1.85,206.65,0.0,0.0,0.0
Tyler Lockett,SEA,WR,0.75,0.0,0.0,0.0,0.0,0.0,74.6,7.7,1095.7,6.7,0.05,28.35
Tyreek Hill,KC,WR,0.75,0.0,0.0,0.0,0.0,0.0,84.1,8.7,1232.0,13.9,0.7,86.1
Tyrod Taylo,LAC,QB,1.55,467.5,298.1,13.5,20.0,3366.3,0.0,0.0,0.0,54.35,1.65,251.8
Van Jefferson,LAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,34.75,2.0,504.2,1.35,0.0,6.65
Vance McDonald,PIT,TE,0.5,0.0,0.0,0.0,0.0,0.0,38.8,2.65,377.05,0.0,0.0,0.0
Ventell Bryant,DAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,13.9,0.0,0.0,0.0
Virgil Green,LAC,TE,1.0,0.0,0.0,0.0,0.0,0.0,13.75,1.45,144.0,0.0,0.0,0.0
Vyncint Smith,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.8,116.9,0.0,0.0,0.0
Wayne Gallman,NYG,RB,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.05,26.35,20.7,0.7,64.05
Will Dissly,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.25,316.85,0.0,0.0,0.0
Will Fulle,HOU,WR,0.75,0.0,0.0,0.0,0.0,0.0,66.4,5.1,934.05,1.35,0.05,9.0
Will Grie,CAR,QB,0.0,25.5,15.5,0.5,1.0,177.0,0.0,0.0,0.0,0.5,0.0,3.0
Willie Snead,BAL,WR,0.75,0.0,0.0,0.0,0.0,0.0,37.15,3.3,425.85,1.35,0.0,6.0
Xavier Grimble,IND,TE,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.3,41.3,0.0,0.0,0.0
Xavier Jones,LAR,RB,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.1,10.8,0.0,0.2,28.5
Zach Ertz,PHI,TE,0.75,0.0,0.0,0.0,0.0,0.0,88.35,6.3,930.0,0.0,0.0,0.0
Zach Gentry,PIT,TE,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.6,60.45,0.0,0.0,0.0
Zach Pascal,IND,WR,0.0,0.0,0.0,0.0,0.0,0.0,28.15,2.55,381.95,2.0,0.0,16.0
Zack Moss,BUF,RB,2.4,0.0,0.0,0.0,0.0,0.0,18.4,0.85,160.0,169.8,4.55,770.1
Zay Jones,LV,WR,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.9,138.6,0.0,0.0,0.3
