player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds
Darrell Daniels,ARI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,9.4,0.0,0.0,0.0
Darrell Henderson,LAR,RB,1.65,0.0,0.0,0.0,0.0,0.0,20.2,0.95,172.2,125.85,2.9,468.4
Darren Fells,HOU,TE,0.0,0.0,0.0,0.0,0.0,0.0,31.8,4.4,314.7,0.0,0.0,0.0
Darren Walle,LV,TE,0.75,0.0,0.0,0.0,0.0,0.0,77.25,4.3,957.35,0.0,0.0,0.0
Darrynton Evans,TEN,RB,1.65,0.0,0.0,0.0,0.0,0.0,23.25,1.0,222.35,79.05,2.15,352.65
Darwin Thompson,KC,RB,0.8,0.0,0.0,0.0,0.0,0.0,9.75,0.1,51.35,42.4,0.85,166.1
Davante Adams,GB,WR,0.75,0.0,0.0,0.0,0.0,0.0,108.65,10.65,1385.65,0.0,0.0,0.0
David Blough,DET,QB,0.0,23.0,14.0,1.0,1.0,159.0,0.0,0.0,0.0,4.0,0.0,17.0
David Fales,NYJ,QB,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
David Johnson,HOU,RB,1.95,0.0,0.0,0.0,0.0,0.0,41.05,3.5,417.0,207.55,4.6,802.6
David Montgomery,CHI,RB,1.95,0.0,0.0,0.0,0.0,0.0,19.55,0.9,151.6,212.35,6.25,783.35
David Moore,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,20.3,2.0,273.8,0.6,0.0,3.9
David Njoku,CLE,TE,0.25,0.0,0.0,0.0,0.0,0.0,36.15,3.1,406.8,0.0,0.0,0.0
Dawson Knox,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.0,36.4,3.0,487.05,0.0,0.0,0.0
DeAndre Carte,HOU,WR,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,93.2,0.0,0.0,0.0
DeAndre Hopkins,ARI,WR,0.75,0.0,0.0,0.0,0.0,0.0,99.0,7.8,1185.75,0.75,0.0,3.25
DeAndre Washington,KC,RB,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,104.0,34.0,1.0,135.0
DeAndrew White,BAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.1,17.2,0.0,0.0,0.0
DeSean Jackson,PHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,49.85,5.05,766.05,5.65,0.7,29.75
DeVante Parke,MIA,WR,0.75,0.0,0.0,0.0,0.0,0.0,69.0,6.2,1044.45,0.2,0.0,1.3
Dede Westbrook,JAC,WR,0.5,0.0,0.0,0.0,0.0,0.0,54.7,2.9,591.7,3.8,0.1,28.8
DeeJay Dallas,SEA,RB,0.8,0.0,0.0,0.0,0.0,0.0,18.5,0.7,179.65,47.8,1.45,200.55
Deebo Samuel,SF,WR,0.75,0.0,0.0,0.0,0.0,0.0,53.5,3.55,739.25,14.35,1.5,173.65
Demarcus Robinson,KC,WR,0.0,0.0,0.0,0.0,0.0,0.0,16.3,1.6,223.2,0.0,0.0,0.0
Demetrius Harris,CHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,14.4,2.15,137.25,0.0,0.0,0.0
Denzel Mims,NYJ,WR,0.75,0.0,0.0,0.0,0.0,0.0,33.75,1.95,482.4,1.35,0.0,5.35
Deon Yelde,KC,TE,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.7,60.9,0.0,0.0,0.0
Deonte Harris,NO,WR,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.5,79.3,0.0,0.0,0.0
Derek Ca,LV,QB,4.05,493.1,341.3,10.7,23.0,3774.05,0.0,0.0,0.0,25.0,1.65,69.6
Derek Carrie,LV,TE,0.0,0.0,0.0,0.0,0.0,0.0,9.4,1.6,82.45,0.0,0.0,0.0
Derek Watt,PIT,RB,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.2,30.9,4.2,0.2,14.2
Derrick Henry,TEN,RB,2.7,0.0,0.0,0.0,0.0,0.0,19.75,1.0,171.6,298.75,11.55,1534.7
Deshaun Watson,HOU,QB,2.4,523.05,347.65,14.45,24.95,4046.8,0.0,0.0,0.0,92.95,5.4,505.15
Devin Asiasi,NE,TE,0.75,0.0,0.0,0.0,0.0,0.0,36.1,2.7,361.95,0.0,0.0,0.0
Devin Duvernay,BAL,WR,0.75,0.0,0.0,0.0,0.0,0.0,24.85,2.4,363.15,2.0,0.0,14.0
Devin Singletary,BUF,RB,1.8,0.0,0.0,0.0,0.0,0.0,36.65,1.75,285.1,154.2,3.45,799.15
Devine Ozigbo,JAC,RB,1.6,0.0,0.0,0.0,0.0,0.0,22.85,0.8,196.45,111.35,2.2,433.75
Devontae Booke,LV,RB,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.1,67.6,22.85,0.8,111.8
Dezmon Patmon,IND,WR,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.9,158.0,0.0,0.0,0.0
Dion Lewis,NYG,RB,0.85,0.0,0.0,0.0,0.0,0.0,29.05,0.9,182.4,59.8,0.9,196.15
Diontae Johnson,PIT,WR,1.5,0.0,0.0,0.0,0.0,0.0,69.3,6.4,833.1,3.8,0.0,34.45
Diontae Spence,DEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,24.1,0.0,0.0,0.0
Donald Parham,LAC,TE,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,113.0,0.0,0.0,0.0
Donovan Peoples-Jones,CLE,WR,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.1,171.7,0.0,0.0,0.0
Dontrelle Inman,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,34.5,2.7,476.2,0.0,0.0,0.0
Drew Brees,NO,QB,0.85,527.4,376.2,10.0,30.3,4030.1,0.0,0.0,0.0,23.0,1.55,30.8
Drew Lock,DEN,QB,3.5,534.25,341.45,13.9,22.9,3788.75,0.0,0.0,0.0,39.05,0.6,167.9
Drew Sample,CIN,TE,0.5,0.0,0.0,0.0,0.0,0.0,14.65,0.85,134.7,0.0,0.0,0.0
Duke Johnson,HOU,RB,0.85,0.0,0.0,0.0,0.0,0.0,35.85,2.1,317.05,95.55,1.95,459.0
Durham Smythe,MIA,TE,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.75,81.15,0.0,0.0,0.0
Dwayne Haskins,WAS,QB,2.5,437.6,270.4,15.4,17.6,2975.7,0.0,0.0,0.0,27.35,0.4,118.15
Dwayne Washington,NO,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,6.4,5.0,0.2,19.9
Elijhaa Penny,NYG,RB,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.1,25.2,0.0,0.3,47.6
Emmanuel Sanders,NO,WR,0.75,0.0,0.0,0.0,0.0,0.0,63.85,4.85,749.8,1.35,0.0,14.65
Eno Benjamin,ARI,RB,0.05,0.0,0.0,0.0,0.0,0.0,4.5,0.05,34.4,25.0,0.95,113.25
Equanimeous St. Brown,GB,WR,0.0,0.0,0.0,0.0,0.0,0.0,28.4,2.1,363.5,0.3,0.0,2.0
Eric Ebron,PIT,TE,0.0,0.0,0.0,0.0,0.0,0.0,46.8,4.55,517.0,0.0,0.0,0.0
Eric Saubert,CHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.3,45.0,0.0,0.0,0.0
Evan Engram,NYG,TE,0.75,0.0,0.0,0.0,0.0,0.0,68.55,5.0,804.75,0.0,0.0,0.0
Ezekiel Elliott,DAL,RB,3.3,0.0,0.0,0.0,0.0,0.0,66.0,2.8,530.2,287.0,9.3,1289.35
Foster Moreau,LV,TE,0.0,0.0,0.0,0.0,0.0,0.0,11.5,1.1,103.15,0.0,0.0,0.0
Frank Gore,NYJ,RB,0.75,0.0,0.0,0.0,0.0,0.0,12.15,0.15,98.65,112.0,1.95,354.05
Freddie Swain,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.1,20.5,0.0,0.0,0.0
Gabriel Davis,BUF,WR,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0.9,163.0,0.0,0.0,0.0
Gardner Minshew,JAC,QB,6.75,555.6,343.55,11.5,22.5,3808.55,0.0,0.0,0.0,74.75,1.4,369.1
Garrett Griffin,NO,TE,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,111.0,0.0,0.0,0.0
Gehrig Diete,KC,WR,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.3,46.2,0.0,0.0,0.0
Geno Smith,SEA,QB,0.05,16.0,8.0,0.35,1.15,148.1,0.0,0.0,0.0,5.0,0.05,10.45
Geoff Swaim,JAC,TE,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,81.0,0.0,0.0,0.0
Geoff Swaim,TEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,81.0,0.0,0.0,0.0
George Kittle,SF,TE,0.75,0.0,0.0,0.0,0.0,0.0,87.35,6.2,1135.5,0.0,0.0,0.0
Gerald Everett,LAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,38.05,2.75,403.0,0.0,0.0,0.0
Giovani Bernard,CIN,RB,0.75,0.0,0.0,0.0,0.0,0.0,33.3,0.35,240.15,84.95,2.4,285.15
Golden Tate,NYG,WR,0.75,0.0,0.0,0.0,0.0,0.0,65.85,5.05,799.1,2.3,0.0,19.2
Greg Olsen,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,38.05,3.8,465.2,0.0,0.0,0.0
Greg Ward,PHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,38.4,2.2,435.1,2.2,0.0,10.8
Gunner Olszewski,NE,WR,0.0,0.0,0.0,0.0,0.0,0.0,21.1,1.2,243.7,0.0,0.0,0.0
Gus Edwards,BAL,RB,0.8,0.0,0.0,0.0,0.0,0.0,4.25,0.05,30.5,66.8,1.75,362.4
Hale Hentges,WAS,TE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.8,0.0,0.0,0.0
Harrison Bryant,CLE,TE,0.5,0.0,0.0,0.0,0.0,0.0,20.0,1.5,236.0,0.0,0.0,0.0
Hayden Hurst,ATL,TE,0.75,0.0,0.0,0.0,0.0,0.0,61.1,4.25,730.9,0.0,0.0,0.0
Henry Ruggs,LV,WR,1.0,0.0,0.0,0.0,0.0,0.0,55.8,4.8,778.3,3.6,0.1,24.6
Hunter Henry,LAC,TE,0.75,0.0,0.0,0.0,0.0,0.0,62.7,5.6,748.7,0.0,0.0,0.0
Hunter Renfrow,LV,WR,0.75,0.0,0.0,0.0,0.0,0.0,59.4,5.15,724.8,0.0,0.0,0.0
Ian Thomas,CAR,TE,0.75,0.0,0.0,0.0,0.0,0.0,56.6,3.9,547.35,0.0,0.0,0.0
Irv Smith,MIN,TE,0.75,0.0,0.0,0.0,0.0,0.0,47.85,2.9,463.6,0.0,0.0,0.0
Isaiah Ford,MIA,WR,0.0,0.0,0.0,0.0,0.0,0.0,24.5,1.7,293.3,0.0,0.0,0.0
Isaiah McKenzie,BUF,WR,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1.0,148.8,0.0,0.0,0.0
Isaiah Wright,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,8.6,0.0,0.0,0.0
Ito Smith,ATL,RB,0.8,0.0,0.0,0.0,0.0,0.0,26.85,0.25,173.4,83.85,3.75,308.25
J.D. McKissic,WAS,RB,0.75,0.0,0.0,0.0,0.0,0.0,16.65,0.8,99.75,34.4,0.15,150.6
J.J. Arcega-Whiteside,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.6,216.9,0.4,0.0,2.9
J.J. Taylo,NE,RB,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,39.0,1.0,145.0
J.K. Dobbins,BAL,RB,2.4,0.0,0.0,0.0,0.0,0.0,14.9,0.85,129.1,163.6,4.65,787.25
J.P. Holtz,CHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.8,97.05,0.0,0.0,0.0
Jace Sternberge,GB,TE,0.25,0.0,0.0,0.0,0.0,0.0,28.95,3.1,283.3,0.0,0.0,0.0
Jack Doyle,IND,TE,0.75,0.0,0.0,0.0,0.0,0.0,53.85,4.5,551.2,0.0,0.0,0.0
Jacob Eason,IND,QB,0.0,10.0,6.0,0.0,0.0,64.0,0.0,0.0,0.0,1.0,0.0,2.0
Jacob Holliste,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,15.35,1.3,147.65,0.0,0.0,0.0
Jacoby Brissett,IND,QB,0.05,8.25,4.5,0.25,0.35,125.4,0.0,0.0,0.0,1.5,0.05,9.85
Jaeden Graham,ATL,TE,0.0,0.0,0.0,0.0,0.0,0.0,16.95,1.0,206.75,0.0,0.0,0.0
Jake Butt,DEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.45,102.45,0.0,0.0,0.0
Jake Fromm,BUF,QB,0.0,4.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0
Jake Luton,JAC,QB,0.0,17.0,11.0,0.0,1.0,116.0,0.0,0.0,0.0,1.0,0.0,3.0
Jakeem Grant,MIA,WR,0.75,0.0,0.0,0.0,0.0,0.0,38.75,2.25,437.05,3.8,1.4,13.95
Jakob Johnson,NE,RB,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.2,13.9,1.4,0.0,5.5
Jakobi Meyers,NE,WR,0.0,0.0,0.0,0.0,0.0,0.0,26.2,2.0,339.8,0.0,0.0,0.0
Jalen Guyton,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.5,104.3,0.0,0.0,0.0
Jalen Hurts,PHI,QB,4.6,22.25,13.0,0.55,1.5,246.45,0.0,0.0,0.0,34.0,1.65,170.65
Jalen Reago,PHI,WR,1.5,0.0,0.0,0.0,0.0,0.0,45.4,3.45,646.45,1.9,0.05,9.25
Jalen Richard,LV,RB,2.55,0.0,0.0,0.0,0.0,0.0,33.9,0.4,304.55,82.45,1.8,352.85
Jamaal Williams,GB,RB,0.75,0.0,0.0,0.0,0.0,0.0,25.7,1.65,185.05,67.15,1.25,256.3
Jameis Winston,NO,QB,0.05,18.5,12.0,0.25,1.1,191.45,0.0,0.0,0.0,3.0,0.05,15.8
James Conne,PIT,RB,2.7,0.0,0.0,0.0,0.0,0.0,40.6,2.05,331.2,225.85,6.8,937.2
James O'Shaughnessy,JAC,TE,0.0,0.0,0.0,0.0,0.0,0.0,25.85,1.25,253.1,0.0,0.0,0.0
James Proche,BAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.8,141.7,0.0,0.0,0.0
James Robinson,JAC,RB,1.6,0.0,0.0,0.0,0.0,0.0,20.25,0.75,182.1,99.8,1.85,400.95
James Washington,PIT,WR,0.75,0.0,0.0,0.0,0.0,0.0,36.15,2.45,550.2,0.0,0.0,0.0
James White,NE,RB,0.75,0.0,0.0,0.0,0.0,0.0,62.85,3.85,540.7,67.5,1.8,258.75
Jamison Crowde,NYJ,WR,0.75,0.0,0.0,0.0,0.0,0.0,72.7,5.9,845.1,2.0,0.0,12.65
Jared Cook,NO,TE,0.0,0.0,0.0,0.0,0.0,0.0,49.1,6.3,675.55,0.0,0.0,0.0
Jared Goff,LAR,QB,3.3,601.85,381.25,15.4,25.05,4443.9,0.0,0.0,0.0,38.75,1.05,80.2
Jarrett Stidham,NE,QB,0.0,16.65,10.35,0.35,0.5,114.5,0.0,0.0,0.0,2.85,0.0,5.85
Jarvis Landry,CLE,WR,0.75,0.0,0.0,0.0,0.0,0.0,72.75,5.25,994.8,1.35,0.65,25.35
Jason Croom,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.2,23.2,0.0,0.0,0.0
Jason Huntley,PHI,RB,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.1,8.6,0.0,0.1,12.8
Jason Moore,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.2,46.4,0.0,0.0,0.0
Jason Witten,LV,TE,0.0,0.0,0.0,0.0,0.0,0.0,16.1,1.3,139.85,0.0,0.0,0.0
Javon Wims,CHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.9,140.7,0.0,0.0,0.0
Jaylen Samuels,PIT,RB,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.3,117.2,32.8,0.6,97.1
Jeff Driskel,DEN,QB,0.05,21.35,12.15,1.1,1.0,171.95,0.0,0.0,0.0,2.85,0.05,18.2
Jeff Smith,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.4,68.3,0.0,0.0,0.0
Jeff Wilson,SF,RB,0.1,0.0,0.0,0.0,0.0,0.0,1.7,0.05,13.7,30.45,1.6,123.0
Jeremy Sprinkle,WAS,TE,0.0,0.0,0.0,0.0,0.0,0.0,23.35,1.1,207.5,0.0,0.0,0.0
Jerick McKinnon,SF,RB,1.6,0.0,0.0,0.0,0.0,0.0,22.1,0.8,206.5,108.35,3.5,476.95
Jerry Jeudy,DEN,WR,1.5,0.0,0.0,0.0,0.0,0.0,54.0,4.05,814.3,1.35,0.0,5.35
Jesper Horsted,CHI,TE,2.0,0.0,0.0,0.0,0.0,0.0,16.2,1.1,150.4,0.0,0.0,0.0
Jesse James,DET,TE,0.0,0.0,0.0,0.0,0.0,0.0,23.2,1.2,279.75,0.0,0.0,0.0
Jimmy Garoppolo,SF,QB,3.4,471.75,316.0,17.2,26.5,3806.0,0.0,0.0,0.0,45.1,1.15,85.0
Jimmy Graham,CHI,TE,0.25,0.0,0.0,0.0,0.0,0.0,43.3,2.15,456.75,0.0,0.0,0.0
JoJo Natson,CLE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,19.4,0.0,0.0,0.0
Joe Burrow,CIN,QB,4.8,574.2,354.1,14.65,22.8,3938.25,0.0,0.0,0.0,34.6,1.4,195.0
Joe Flacco,NYJ,QB,0.0,13.5,8.25,0.75,0.75,93.75,0.0,0.0,0.0,2.25,0.0,8.25
Joe Mixon,CIN,RB,2.4,0.0,0.0,0.0,0.0,0.0,41.95,1.85,323.2,271.95,7.85,1148.95
Joe Reed,LAC,WR,0.75,0.0,0.0,0.0,0.0,0.0,25.15,1.65,400.0,2.0,0.0,8.65
John Brown,BUF,WR,0.75,0.0,0.0,0.0,0.0,0.0,54.0,5.7,833.7,2.85,0.05,9.6
John Hightowe,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.3,56.3,0.0,0.0,0.0
John Ross,CIN,WR,0.75,0.0,0.0,0.0,0.0,0.0,30.8,4.8,448.75,4.15,0.0,11.3
John Ursua,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.4,63.1,0.0,0.0,0.0
John Wolford,LAR,QB,0.1,19.0,12.0,0.6,1.35,234.3,0.0,0.0,0.0,1.0,0.2,29.2
Johnny Mundt,LAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.4,48.6,0.0,0.0,0.0
Jonathan Taylo,IND,RB,2.5,0.0,0.0,0.0,0.0,0.0,21.15,1.05,204.2,201.65,6.35,877.4
Jonnu Smith,TEN,TE,0.75,0.0,0.0,0.0,0.0,0.0,48.6,5.35,584.2,0.0,0.0,0.0
Jordan Akins,HOU,TE,0.0,0.0,0.0,0.0,0.0,0.0,28.15,1.25,319.95,0.0,0.0,0.0
Jordan Franks,CIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.2,14.9,0.0,0.0,0.0
Jordan Howard,MIA,RB,1.6,0.0,0.0,0.0,0.0,0.0,17.9,0.75,130.75,177.3,6.25,687.3
Jordan Love,GB,QB,0.0,18.5,10.75,0.0,1.0,126.5,0.0,0.0,0.0,2.5,0.0,10.75
Jordan Reed,SF,TE,0.25,0.0,0.0,0.0,0.0,0.0,23.3,1.8,269.3,0.0,0.0,0.0
Jordan Wilkins,IND,RB,0.1,0.0,0.0,0.0,0.0,0.0,3.1,0.2,22.3,13.8,0.8,88.3
Josh Allen,BUF,QB,3.45,533.2,310.2,15.1,22.15,3544.5,0.0,0.0,0.0,110.7,7.4,661.35
Josh Bellamy,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.1,19.2,0.0,0.0,0.0
Josh Gordon,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,602.0,1.0,0.0,1.0
Josh Hill,NO,TE,0.0,0.0,0.0,0.0,0.0,0.0,21.6,1.65,200.25,0.0,0.0,0.0
Josh Jacobs,LV,RB,2.55,0.0,0.0,0.0,0.0,0.0,33.2,0.4,269.65,274.45,9.65,1265.8
Josh Reynolds,LAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,34.7,2.9,482.7,4.35,0.05,24.4
Joshua Kelley,LAC,RB,1.55,0.0,0.0,0.0,0.0,0.0,5.65,0.1,49.8,126.8,4.25,492.35
Joshua Perkins,PHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.8,99.0,0.0,0.0,0.0
Josiah Deguara,GB,TE,1.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,185.5,0.0,0.0,0.0
JuJu Smith-Schuste,PIT,WR,0.75,0.0,0.0,0.0,0.0,0.0,86.3,6.05,1127.2,0.65,0.0,5.35
Julian Edelman,NE,WR,0.75,0.0,0.0,0.0,0.0,0.0,82.25,5.0,947.4,11.3,0.05,71.95
Julio Jones,ATL,WR,0.75,0.0,0.0,0.0,0.0,0.0,108.15,6.4,1505.75,1.4,0.0,3.05
Justice Hill,BAL,RB,0.8,0.0,0.0,0.0,0.0,0.0,9.15,0.1,73.55,42.8,1.6,176.65
Justin Herbert,LAC,QB,0.2,50.15,30.0,2.45,2.8,535.5,0.0,0.0,0.0,6.35,0.3,58.8
Justin Jackson,LAC,RB,0.8,0.0,0.0,0.0,0.0,0.0,13.4,0.1,95.2,75.45,1.7,358.1
Justin Jefferson,MIN,WR,0.75,0.0,0.0,0.0,0.0,0.0,48.45,4.0,731.15,1.7,0.05,10.45
Justin Watson,TB,WR,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.4,105.5,0.4,0.0,2.7
K.J. Hamle,DEN,WR,1.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,517.0,2.0,0.0,8.0
K.J. Hill,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,14.3,1.1,177.8,0.0,0.0,0.0
K.J. Osborn,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,83.0,0.0,0.0,0.0
KJ Hamle,DEN,WR,0.5,0.0,0.0,0.0,0.0,0.0,27.9,2.1,386.0,0.7,0.0,2.7
Kaden Smith,NYG,TE,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.85,110.15,0.0,0.0,0.0
Kahale Warring,HOU,TE,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,112.0,0.0,0.0,0.0
Kalif Raymond,TEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.3,202.2,0.0,0.0,0.0
Kareem Hunt,CLE,RB,1.5,0.0,0.0,0.0,0.0,0.0,40.3,2.65,378.2,119.05,5.1,518.15
Ke'Shawn Vaughn,TB,RB,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.55,26.3,0.7,92.15
KeeSean Johnson,ARI,WR,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.5,82.8,0.0,0.0,0.0
Keelan Cole,JAC,WR,0.75,0.0,0.0,0.0,0.0,0.0,32.6,2.5,471.3,0.85,0.0,3.95
Keenan Allen,LAC,WR,0.75,0.0,0.0,0.0,0.0,0.0,88.25,6.05,1098.95,6.45,0.05,45.55
Keith Kirkwood,CAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.2,47.6,0.0,0.0,0.0
Keith Smith,ATL,RB,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.2,28.0,5.8,0.2,23.6
Keke Coutee,HOU,WR,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.4,65.0,3.7,0.2,24.5
Kendrick Bourne,SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,32.2,3.55,395.7,0.4,0.05,2.8
Kenny Golladay,DET,WR,0.75,0.0,0.0,0.0,0.0,0.0,71.25,8.45,1202.75,0.65,0.0,3.35
Kenny Stills,HOU,WR,0.0,0.0,0.0,0.0,0.0,0.0,32.25,3.55,474.9,0.0,0.0,0.0
Kenyan Drake,ARI,RB,1.85,0.0,0.0,0.0,0.0,0.0,57.35,2.6,434.35,187.6,7.7,838.55
Kerryon Johnson,DET,RB,1.9,0.0,0.0,0.0,0.0,0.0,28.05,1.0,233.3,138.6,4.65,612.85
Khadarel Hodge,CLE,WR,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.7,122.5,0.0,0.0,0.0
Khari Blasingame,TEN,RB,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.2,36.2,13.2,0.0,33.1
Kirk Cousins,MIN,QB,4.65,477.95,324.45,10.6,25.45,3728.75,0.0,0.0,0.0,38.7,1.0,92.2
Kyle Allen,WAS,QB,0.0,13.5,8.25,0.75,0.75,91.5,0.0,0.0,0.0,1.5,0.0,5.25
Kyle Juszczyk,SF,RB,0.5,0.0,0.0,0.0,0.0,0.0,24.1,1.4,234.3,10.5,0.2,26.1
Kyle Rudolph,MIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,41.8,4.05,433.25,0.0,0.0,0.0
Kyler Murray,ARI,QB,1.95,562.15,364.85,13.9,24.8,3901.85,0.0,0.0,0.0,86.25,3.1,515.4
LV  Henry Ruggs,LV,WR,2.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,874.0,2.0,0.0,11.0
Lamar Jackson,BAL,QB,2.7,468.75,301.25,13.05,31.85,3507.5,0.0,0.0,0.0,153.9,4.9,958.45
Lamical Perine,NYJ,RB,0.3,0.0,0.0,0.0,0.0,0.0,10.8,0.3,77.2,35.8,1.2,165.3
Larry Fitzgerald,ARI,WR,0.75,0.0,0.0,0.0,0.0,0.0,50.9,3.7,553.4,0.0,0.0,0.0
Latavius Murray,NO,RB,1.5,0.0,0.0,0.0,0.0,0.0,23.7,0.25,162.1,144.35,5.3,597.5
Laviska Shenault,JAC,WR,1.5,0.0,0.0,0.0,0.0,0.0,42.75,2.6,623.75,18.3,0.3,122.2
Le'Veon Bell,NYJ,RB,2.45,0.0,0.0,0.0,0.0,0.0,60.8,1.3,457.15,218.65,4.95,798.55
LeSean McCoy,TB,RB,0.05,0.0,0.0,0.0,0.0,0.0,7.5,0.15,56.65,35.0,1.35,154.15
Lee Smith,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.65,36.3,0.0,0.0,0.0
Leonard Fournette,TB,RB,1.5,0.0,0.0,0.0,0.0,0.0,25.05,0.25,203.9,180.65,7.4,633.85
Levine Toilolo,NYG,TE,0.0,0.0,0.0,0.0,0.0,0.0,22.5,1.4,271.25,0.0,0.0,0.0
Lil'Jordan Humphrey,NO,WR,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.1,13.5,0.0,0.0,0.0
Logan Thomas,WAS,TE,0.5,0.0,0.0,0.0,0.0,0.0,37.35,2.15,370.65,0.0,0.0,0.0
Logan Woodside,TEN,QB,0.05,15.0,9.75,0.55,1.2,179.0,0.0,0.0,0.0,0.75,0.05,4.65
Luke Stocke,ATL,TE,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.75,97.35,0.0,0.0,0.0
Luke Willson,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.85,78.0,0.0,0.0,0.0
