,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Andy Dalton,CIN,QB,363.0,4.0,0.0,38.0,27.0,1.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,andydalton
1,Nick Foles,PHI,QB,230.0,2.0,0.0,25.0,21.0,2.0,17.0,0.0,0.0,0.0,0.0,nfl_hist,nickfoles
2,Mat McBria,PIT,P,30.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,matmcbria
3,Peyton Manning,DEN,QB,400.0,4.0,0.0,51.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
4,Colin Kaepernick,SFO,QB,197.0,1.0,0.0,21.0,13.0,6.0,51.0,1.0,0.0,0.0,0.0,nfl_hist,colinkaepernick
5,Kellen Clemens,STL,QB,158.0,0.0,0.0,20.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,kellenclemens
6,Tony Romo,DAL,QB,226.0,2.0,1.0,27.0,17.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,tonyromo
7,Chad Henne,JAX,QB,237.0,2.0,1.0,34.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,chadhenne
8,Andrew Luck,IND,QB,241.0,1.0,0.0,37.0,26.0,6.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,andrewluck
9,Matt Ryan,ATL,QB,348.0,2.0,2.0,48.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,mattryan
10,Geno Smith,NYJ,QB,214.0,2.0,0.0,36.0,20.0,10.0,48.0,1.0,0.0,0.0,0.0,nfl_hist,genosmith
11,Tom Brady,NWE,QB,172.0,1.0,0.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
12,Ben Roethlisberge,PIT,QB,167.0,2.0,1.0,28.0,16.0,1.0,13.0,1.0,0.0,0.0,0.0,nfl_hist,benroethlisberge
13,Philip Rivers,SDG,QB,201.0,1.0,1.0,29.0,19.0,4.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,philiprivers
14,Ryan Fitzpatrick,TEN,QB,181.0,1.0,1.0,26.0,17.0,3.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,ryanfitzpatrick
15,Cam Newton,CAR,QB,181.0,1.0,1.0,22.0,13.0,4.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,camnewton
16,Mike Glennon,TAM,QB,158.0,0.0,0.0,26.0,16.0,2.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,mikeglennon
17,Drew Brees,NOR,QB,281.0,1.0,2.0,44.0,30.0,1.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
18,Jay Cutle,CHI,QB,222.0,1.0,1.0,35.0,20.0,2.0,15.0,0.0,0.0,0.0,0.0,nfl_hist,jaycutle
19,Kirk Cousins,WAS,QB,197.0,1.0,1.0,36.0,21.0,2.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,kirkcousins
20,Eli Manning,NYG,QB,256.0,1.0,1.0,42.0,23.0,2.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,elimanning
21,Matt Flynn,GNB,QB,232.0,1.0,1.0,39.0,21.0,2.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,mattflynn
22,Thaddeus Lewis,BUF,QB,193.0,0.0,1.0,25.0,15.0,8.0,13.0,0.0,0.0,0.0,0.0,nfl_hist,thaddeuslewis
23,Josh McCown,CHI,QB,20.0,0.0,0.0,4.0,2.0,1.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,joshmccown
24,Matt McGloin,OAK,QB,206.0,0.0,1.0,36.0,20.0,1.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,mattmcgloin
25,Alex Smith,KAN,QB,153.0,0.0,1.0,28.0,16.0,6.0,47.0,0.0,0.0,0.0,0.0,nfl_hist,alexsmith
26,Joe Flacco,BAL,QB,260.0,0.0,2.0,38.0,22.0,2.0,0.0,1.0,0.0,0.0,0.0,nfl_hist,joeflacco
27,Matthew Stafford,DET,QB,222.0,0.0,2.0,42.0,25.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,matthewstafford
28,Russell Wilson,SEA,QB,108.0,1.0,1.0,27.0,11.0,2.0,32.0,0.0,0.0,0.0,0.0,nfl_hist,russellwilson
29,Matt Schaub,HOU,QB,176.0,1.0,2.0,37.0,18.0,1.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,mattschaub
30,Carson Palme,ARI,QB,178.0,1.0,4.0,25.0,13.0,5.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,carsonpalme
31,Ryan Tannehill,MIA,QB,82.0,0.0,0.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,ryantannehill
32,Josh Bush,NYJ,S,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,joshbush
33,Luke McCown,NOR,QB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,lukemccown
34,Jason Campbell,CLE,QB,178.0,0.0,2.0,40.0,18.0,2.0,21.0,0.0,0.0,0.0,0.0,nfl_hist,jasoncampbell
35,Matt Cassel,MIN,QB,114.0,1.0,3.0,27.0,13.0,3.0,16.0,0.0,0.0,0.0,0.0,nfl_hist,mattcassel
36,Matt Moore,MIA,QB,53.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,mattmoore
37,Tyrod Taylo,BAL,QB,2.0,0.0,1.0,4.0,1.0,3.0,39.0,0.0,0.0,0.0,0.0,nfl_hist,tyrodtaylo
38,LeSean McCoy,PHI,RB,0.0,0.0,0.0,0.0,0.0,18.0,133.0,2.0,6.0,29.0,0.0,nfl_hist,leseanmccoy
39,Le'Veon Bell,PIT,RB,0.0,0.0,0.0,0.0,0.0,26.0,124.0,1.0,1.0,5.0,0.0,nfl_hist,leveonbell
40,Bryce Brown,PHI,RB,0.0,0.0,0.0,0.0,0.0,9.0,115.0,1.0,0.0,0.0,0.0,nfl_hist,brycebrown
41,Chris Ivory,NYJ,RB,0.0,0.0,0.0,0.0,0.0,20.0,109.0,0.0,0.0,0.0,0.0,nfl_hist,chrisivory
42,Jamaal Charles,KAN,RB,0.0,0.0,0.0,0.0,0.0,13.0,106.0,1.0,5.0,38.0,0.0,nfl_hist,jamaalcharles
43,Fred Jackson,BUF,RB,0.0,0.0,0.0,0.0,0.0,18.0,105.0,1.0,2.0,7.0,0.0,nfl_hist,fredjackson
44,Zac Stacy,STL,RB,0.0,0.0,0.0,0.0,0.0,33.0,104.0,1.0,1.0,5.0,0.0,nfl_hist,zacstacy
45,Ryan Mathews,SDG,RB,0.0,0.0,0.0,0.0,0.0,25.0,99.0,1.0,3.0,20.0,0.0,nfl_hist,ryanmathews
46,Frank Gore,SFO,RB,0.0,0.0,0.0,0.0,0.0,21.0,97.0,1.0,1.0,6.0,0.0,nfl_hist,frankgore
47,DeMarco Murray,DAL,RB,0.0,0.0,0.0,0.0,0.0,22.0,96.0,1.0,3.0,15.0,1.0,nfl_hist,demarcomurray
48,Joique Bell,DET,RB,0.0,0.0,0.0,0.0,0.0,20.0,91.0,1.0,10.0,63.0,0.0,nfl_hist,joiquebell
49,Shonn Greene,TEN,RB,0.0,0.0,0.0,0.0,0.0,19.0,91.0,1.0,1.0,0.0,0.0,nfl_hist,shonngreene
50,Chris Johnson,TEN,RB,0.0,0.0,0.0,0.0,0.0,22.0,90.0,0.0,1.0,3.0,0.0,nfl_hist,chrisjohnson
51,Alfred Morris,WAS,RB,0.0,0.0,0.0,0.0,0.0,24.0,88.0,1.0,0.0,0.0,0.0,nfl_hist,alfredmorris
52,Eddie Lacy,GNB,RB,0.0,0.0,0.0,0.0,0.0,15.0,84.0,2.0,2.0,6.0,0.0,nfl_hist,eddielacy
53,Mark Ingram,NOR,RB,0.0,0.0,0.0,0.0,0.0,13.0,83.0,0.0,1.0,7.0,0.0,nfl_hist,markingram
54,C.J. Spille,BUF,RB,0.0,0.0,0.0,0.0,0.0,21.0,83.0,0.0,3.0,26.0,0.0,nfl_hist,cjspille
55,Donald Brown,IND,RB,0.0,0.0,0.0,0.0,0.0,10.0,79.0,1.0,2.0,31.0,1.0,nfl_hist,donaldbrown
56,LeGarrette Blount,NWE,RB,0.0,0.0,0.0,0.0,0.0,16.0,76.0,2.0,0.0,0.0,0.0,nfl_hist,legarretteblount
57,Knowshon Moreno,DEN,RB,0.0,0.0,0.0,0.0,0.0,11.0,76.0,0.0,2.0,26.0,0.0,nfl_hist,knowshonmoreno
58,Marshawn Lynch,SEA,RB,0.0,0.0,0.0,0.0,0.0,18.0,71.0,0.0,2.0,5.0,0.0,nfl_hist,marshawnlynch
59,DeAngelo Williams,CAR,RB,0.0,0.0,0.0,0.0,0.0,12.0,67.0,1.0,1.0,0.0,0.0,nfl_hist,deangelowilliams
60,Edwin Bake,CLE,RB,0.0,0.0,0.0,0.0,0.0,17.0,64.0,1.0,2.0,12.0,0.0,nfl_hist,edwinbake
61,Andre Ellington,ARI,RB,0.0,0.0,0.0,0.0,0.0,15.0,64.0,0.0,2.0,8.0,0.0,nfl_hist,andreellington
62,Rashard Mendenhall,ARI,RB,0.0,0.0,0.0,0.0,0.0,21.0,63.0,0.0,0.0,0.0,0.0,nfl_hist,rashardmendenhall
63,Cordarrelle Patterson,MIN,WR,0.0,0.0,0.0,0.0,0.0,3.0,54.0,1.0,3.0,8.0,0.0,nfl_hist,cordarrellepatterson
64,Bilal Powell,NYJ,RB,0.0,0.0,0.0,0.0,0.0,7.0,54.0,0.0,4.0,26.0,0.0,nfl_hist,bilalpowell
65,Stevan Ridley,NWE,RB,0.0,0.0,0.0,0.0,0.0,15.0,54.0,0.0,0.0,0.0,0.0,nfl_hist,stevanridley
66,Steven Jackson,ATL,RB,0.0,0.0,0.0,0.0,0.0,16.0,53.0,1.0,2.0,-4.0,0.0,nfl_hist,stevenjackson
67,Danny Woodhead,SDG,RB,0.0,0.0,0.0,0.0,0.0,8.0,52.0,0.0,3.0,16.0,0.0,nfl_hist,dannywoodhead
68,Kendall Hunte,SFO,RB,0.0,0.0,0.0,0.0,0.0,3.0,51.0,0.0,0.0,0.0,0.0,nfl_hist,kendallhunte
69,James Starks,GNB,RB,0.0,0.0,0.0,0.0,0.0,10.0,47.0,0.0,1.0,23.0,0.0,nfl_hist,jamesstarks
70,Rashad Jennings,OAK,RB,0.0,0.0,0.0,0.0,0.0,10.0,45.0,0.0,3.0,27.0,0.0,nfl_hist,rashadjennings
71,Maurice Jones-Drew,JAX,RB,0.0,0.0,0.0,0.0,0.0,13.0,45.0,0.0,4.0,24.0,0.0,nfl_hist,mauricejonesdrew
72,Adrian Peterson,MIN,RB,0.0,0.0,0.0,0.0,0.0,11.0,45.0,0.0,1.0,2.0,0.0,nfl_hist,adrianpeterson
73,Trent Richardson,IND,RB,0.0,0.0,0.0,0.0,0.0,16.0,43.0,0.0,3.0,15.0,0.0,nfl_hist,trentrichardson
74,Andre Brown,NYG,RB,0.0,0.0,0.0,0.0,0.0,16.0,40.0,0.0,2.0,14.0,0.0,nfl_hist,andrebrown
75,Ray Rice,BAL,RB,0.0,0.0,0.0,0.0,0.0,11.0,40.0,0.0,2.0,23.0,0.0,nfl_hist,rayrice
76,Bobby Rainey,TAM,RB,0.0,0.0,0.0,0.0,0.0,20.0,37.0,1.0,1.0,4.0,0.0,nfl_hist,bobbyrainey
77,Reggie Bush,DET,RB,0.0,0.0,0.0,0.0,0.0,12.0,34.0,0.0,2.0,10.0,0.0,nfl_hist,reggiebush
78,Montee Ball,DEN,RB,0.0,0.0,0.0,0.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,nfl_hist,monteeball
