Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Julian Edelman,WR,NWE,15,1,0,1,1,0,0,0,5,10,53,0,0,14.9,9.9,12.4
Lamar Jackson,QB,BAL,222,4,0,24,17,10,79,0,0,0,0,0,0,32.78,32.78,32.78
Kirk Cousins,QB,MIN,319,3,0,35,29,2,1,0,0,0,0,0,1,22.86,22.86,22.86
Drew Brees,QB,NOR,228,3,0,35,28,3,0,0,0,0,0,0,0,21.12,21.12,21.12
Sam Darnold,QB,NYJ,293,4,1,30,19,2,-3,0,0,0,0,0,0,25.42,25.42,25.42
Courtland Sutton,WR,DEN,38,0,0,1,1,2,10,0,5,9,113,0,0,18.82,13.82,16.32
Josh Allen,QB,BUF,256,3,0,33,21,7,56,1,0,0,0,0,0,33.84,33.84,33.84
Dak Prescott,QB,DAL,444,3,0,46,29,6,18,0,0,0,0,0,0,31.56,31.56,31.56
Jimmy Garoppolo,QB,SFO,424,4,2,45,34,1,7,0,0,0,0,0,0,29.66,29.66,29.66
Matt Ryan,QB,ATL,311,1,0,31,21,2,0,0,0,0,0,0,0,16.44,16.44,16.44
Jeff Driskel,QB,DET,209,2,0,26,15,8,51,1,0,0,0,0,0,27.46,27.46,27.46
Derek Carr,QB,OAK,292,1,1,29,25,5,1,1,0,0,0,0,0,19.78,19.78,19.78
Kyler Murray,QB,ARI,150,2,0,33,24,8,67,1,0,0,0,0,0,26.7,26.7,26.7
Robert Griffin,QB,BAL,15,0,0,2,2,1,-1,0,0,0,0,0,0,0.5,0.5,0.5
Baker Mayfield,QB,CLE,193,2,0,32,17,1,1,1,0,0,0,0,0,21.82,21.82,21.82
Nick Foles,QB,JAX,296,2,1,47,33,0,0,0,0,0,0,0,0,17.84,17.84,17.84
