Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Patrick Mahomes,QB,KAN,443,4,0,44,30,1,-1,0,0,0,0,0,1,31.62,31.62,31.62
Jimmy Garoppolo,QB,SFO,296,3,1,25,17,4,8,0,0,0,0,0,0,22.64,22.64,22.64
Russell Wilson,QB,SEA,300,3,0,35,29,6,22,0,0,0,0,0,1,24.2,24.2,24.2
Tom Brady,QB,NWE,264,2,0,28,20,2,1,1,0,0,0,0,0,24.66,24.66,24.66
Dak Prescott,QB,DAL,269,3,1,30,26,5,69,0,0,0,0,0,0,27.66,27.66,27.66
Dante Pettis,WR,SFO,16,0,0,1,1,0,0,0,0,0,0,0,0,0.64,0.64,0.64
Jared Goff,QB,LAR,283,1,0,28,19,4,-2,1,0,0,0,0,1,19.12,19.12,19.12
Lamar Jackson,QB,BAL,272,2,0,37,24,16,120,0,0,0,0,0,0,30.88,30.88,30.88
Case Keenum,QB,WAS,221,2,0,37,26,1,-1,0,0,0,0,0,0,16.74,16.74,16.74
Jameis Winston,QB,TAM,208,1,0,25,16,4,9,0,0,0,0,0,0,13.22,13.22,13.22
Aaron Rodgers,QB,GNB,209,2,0,34,22,1,0,0,0,0,0,0,1,14.36,14.36,14.36
Josh Allen,QB,BUF,253,1,0,30,19,7,21,1,0,0,0,0,0,22.22,22.22,22.22
Luke Falk,QB,NYJ,198,0,0,25,20,0,0,0,0,0,0,0,0,7.92,7.92,7.92
Gardner Minshew,QB,JAX,213,1,0,33,23,6,56,0,0,0,0,0,1,16.12,16.12,16.12
Jacoby Brissett,QB,IND,146,3,1,28,17,7,25,0,0,0,0,0,1,16.34,16.34,16.34
Marcus Mariota,QB,TEN,154,1,0,28,19,5,32,0,0,0,0,0,0,13.36,13.36,13.36
Mason Rudolph,QB,PIT,112,2,1,19,12,1,7,0,0,0,0,0,0,11.18,11.18,11.18
Matthew Stafford,QB,DET,245,2,2,30,22,4,13,0,0,0,0,0,0,15.1,15.1,15.1
Andy Dalton,QB,CIN,311,2,1,42,26,2,2,0,0,0,0,0,0,18.64,18.64,18.64
Kyler Murray,QB,ARI,349,0,0,40,25,3,4,0,0,0,0,0,0,14.36,14.36,14.36
Baker Mayfield,QB,CLE,325,1,1,35,19,0,0,0,0,0,0,0,0,15,15,15
Joe Flacco,QB,DEN,292,1,1,50,35,0,0,0,0,0,0,0,0,13.68,13.68,13.68
Matt Ryan,QB,ATL,320,3,3,43,27,2,3,0,0,0,0,0,0,19.1,19.1,19.1
Philip Rivers,QB,LAC,293,0,1,36,21,1,12,0,0,0,0,0,0,10.92,10.92,10.92
Teddy Bridgewater,QB,NOR,165,0,0,30,17,2,5,0,0,0,0,0,0,7.1,7.1,7.1
Josh McCown,QB,PHI,24,0,0,5,3,0,0,0,0,0,0,0,0,0.96,0.96,0.96
Deshaun Watson,QB,HOU,159,0,0,29,16,4,5,1,0,0,0,0,0,12.86,12.86,12.86
Cam Newton,QB,CAR,333,0,0,51,25,2,0,0,0,0,0,0,1,11.32,11.32,11.32
Mitchell Trubisky,QB,CHI,120,0,0,27,16,1,8,0,0,0,0,0,0,5.6,5.6,5.6
Ben Roethlisberger,QB,PIT,75,0,0,15,8,0,0,0,0,0,0,0,0,3,3,3
Eli Manning,QB,NYG,250,1,2,45,26,1,2,0,0,0,0,0,0,10.2,10.2,10.2
Carson Wentz,QB,PHI,231,1,2,43,25,3,3,1,0,0,0,0,0,15.54,15.54,15.54
Derek Carr,QB,OAK,198,1,2,38,23,2,18,0,0,0,0,0,0,9.72,9.72,9.72
Trevor Siemian,QB,NYJ,3,0,0,6,3,0,0,0,0,0,0,0,0,0.12,0.12,0.12
Kirk Cousins,QB,MIN,230,1,2,32,14,2,17,0,0,0,0,0,1,8.9,8.9,8.9
Drew Brees,QB,NOR,38,0,1,5,3,0,0,0,0,0,0,0,0,-0.48,-0.48,-0.48
Josh Rosen,QB,MIA,97,0,1,18,7,0,0,0,0,0,0,0,0,1.88,1.88,1.88
Ryan Fitzpatrick,QB,MIA,89,0,3,21,11,1,6,0,0,0,0,0,0,-1.84,-1.84,-1.84
Dalvin Cook,RB,MIN,0,0,0,0,0,20,154,1,3,3,37,0,0,28.1,25.1,26.6
Matt Breida,RB,SFO,0,0,0,0,0,12,121,0,1,1,11,0,0,14.2,13.2,13.7
Aaron Jones,RB,GNB,0,0,0,0,0,23,116,1,4,6,34,0,0,25,21,23
Ezekiel Elliott,RB,DAL,0,0,0,0,0,23,111,1,2,2,9,0,0,20,18,19
Saquon Barkley,RB,NYG,0,0,0,0,0,18,107,1,3,7,28,0,0,22.5,19.5,21
Josh Jacobs,RB,OAK,0,0,0,0,0,12,99,0,0,0,0,0,0,9.9,9.9,9.9
Carlos Hyde,RB,HOU,0,0,0,0,0,20,90,0,0,0,0,0,0,9,9,9
Sony Michel,RB,NWE,0,0,0,0,0,21,83,1,0,0,0,0,1,12.3,12.3,12.3
Raheem Mostert,RB,SFO,0,0,0,0,0,13,83,0,3,4,68,1,0,24.1,21.1,22.6
Peyton Barber,RB,TAM,0,0,0,0,0,23,82,1,1,1,7,0,0,15.9,14.9,15.4
Derrick Henry,RB,TEN,0,0,0,0,0,15,82,1,2,3,12,0,0,17.4,15.4,16.4
