Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Deshaun Watson,QB,HOU,426,5,0,33,28,4,47,0,0,0,0,0,0,41.74,41.74,41.74
Russell Wilson,QB,SEA,268,4,0,23,17,8,32,0,0,0,0,0,0,29.92,29.92,29.92
Kirk Cousins,QB,MIN,306,2,0,27,22,3,3,0,0,0,0,0,0,20.54,20.54,20.54
Teddy Bridgewater,QB,NOR,314,4,1,34,26,5,7,0,0,0,0,0,0,27.26,27.26,27.26
Odell Beckham,WR,CLE,20,0,0,1,1,2,15,0,2,6,27,0,1,5,3,4
Taysom Hill,QB,NOR,18,0,0,1,1,2,14,0,0,0,0,0,0,2.12,2.12,2.12
Alvin Kamara,RB,NOR,13,0,0,1,1,16,62,0,6,7,42,0,0,16.92,10.92,13.92
Jimmy Garoppolo,QB,SFO,181,2,0,29,20,4,-3,0,0,0,0,0,0,14.94,14.94,14.94
Andy Dalton,QB,CIN,262,2,0,38,27,2,5,0,0,0,0,0,0,18.98,18.98,18.98
Tom Brady,QB,NWE,348,3,1,42,28,0,0,0,0,0,0,0,0,23.92,23.92,23.92
Jameis Winston,QB,TAM,204,2,0,27,15,3,13,0,0,0,0,0,0,17.46,17.46,17.46
Matt Ryan,QB,ATL,330,3,1,46,32,3,7,1,0,0,0,0,0,29.9,29.9,29.9
Gardner Minshew,QB,JAX,374,2,0,44,26,7,42,0,0,0,0,0,3,21.16,21.16,21.16
Mason Rudolph,QB,PIT,131,1,0,20,13,0,0,0,0,0,0,0,0,9.24,9.24,9.24
Josh Allen,QB,BUF,219,2,1,32,23,10,27,0,0,0,0,0,0,17.46,17.46,17.46
Devlin Hodges,QB,PIT,68,0,0,9,7,2,20,0,0,0,0,0,0,4.72,4.72,4.72
Derek Carr,QB,OAK,229,0,0,32,25,3,8,0,0,0,0,0,1,7.96,7.96,7.96
Joe Flacco,QB,DEN,182,1,1,20,14,3,7,0,0,0,0,0,1,7.98,7.98,7.98
Patrick Mahomes,QB,KAN,321,1,0,39,22,3,17,0,0,0,0,0,0,18.54,18.54,18.54
Chase Daniel,QB,CHI,231,2,2,30,22,1,2,0,0,0,0,0,0,13.44,13.44,13.44
Carson Wentz,QB,PHI,189,1,0,29,17,2,5,0,0,0,0,0,0,12.06,12.06,12.06
Kyler Murray,QB,ARI,253,0,0,32,20,10,93,1,0,0,0,0,0,25.42,25.42,25.42
Marcus Mariota,QB,TEN,183,0,0,22,13,5,13,0,0,0,0,0,0,8.62,8.62,8.62
Kyle Allen,QB,CAR,181,1,0,30,17,1,4,0,0,0,0,0,0,11.64,11.64,11.64
Aaron Rodgers,QB,GNB,238,0,0,34,22,4,-1,0,0,0,0,0,0,9.42,9.42,9.42
Dak Prescott,QB,DAL,463,2,3,44,27,4,27,0,0,0,0,0,0,23.22,23.22,23.22
Jared Goff,QB,LAR,395,1,1,49,29,1,1,0,0,0,0,0,0,17.9,17.9,17.9
Daniel Jones,QB,NYG,182,1,1,38,21,3,12,0,0,0,0,0,0,10.48,10.48,10.48
Jacoby Brissett,QB,IND,151,0,1,29,18,6,9,1,0,0,0,0,0,10.94,10.94,10.94
Colt McCoy,QB,WAS,122,0,1,27,18,2,14,0,0,0,0,0,0,4.28,4.28,4.28
Philip Rivers,QB,LAC,211,0,2,48,32,1,-3,0,0,0,0,0,0,4.14,4.14,4.14
Lamar Jackson,QB,BAL,161,1,3,28,19,14,70,0,0,0,0,0,0,11.44,11.44,11.44
Garrett Gilbert,QB,CLE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Christian McCaffrey,RB,CAR,0,0,0,1,0,19,176,2,6,8,61,1,0,47.7,41.7,44.7
Jarrett Stidham,QB,NWE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Luke Falk,QB,NYJ,120,0,2,26,15,0,0,0,0,0,0,0,1,-1.2,-1.2,-1.2
Jaylen Samuels,RB,PIT,4,0,1,2,1,3,2,0,3,4,11,0,0,2.46,-0.54,0.96
Baker Mayfield,QB,CLE,100,0,2,22,8,0,0,0,0,0,0,0,1,-2,-2,-2
Dalvin Cook,RB,MIN,0,0,0,0,0,21,132,0,6,6,86,0,1,25.8,19.8,22.8
Marlon Mack,RB,IND,0,0,0,0,0,29,132,0,3,3,16,0,0,17.8,14.8,16.3
Josh Jacobs,RB,OAK,0,0,0,0,0,26,123,2,3,3,20,0,0,29.3,26.3,27.8
Chris Carson,RB,SEA,0,0,0,0,0,27,118,0,1,2,5,1,0,19.3,18.3,18.8
Matt Breida,RB,SFO,0,0,0,0,0,11,114,1,3,3,15,1,0,27.9,24.9,26.4
Phillip Lindsay,RB,DEN,0,0,0,0,0,15,114,1,4,4,33,0,0,24.7,20.7,22.7
Leonard Fournette,RB,JAX,0,0,0,0,0,23,108,1,4,7,29,0,0,23.7,19.7,21.7
Aaron Jones,RB,GNB,0,0,0,0,0,19,107,4,7,8,75,0,0,49.2,42.2,45.7
Tevin Coleman,RB,SFO,0,0,0,0,0,16,97,1,0,0,0,0,0,15.7,15.7,15.7
Joe Mixon,RB,CIN,0,0,0,0,0,19,93,0,1,1,16,0,0,11.9,10.9,11.4
David Johnson,RB,ARI,0,0,0,0,0,17,91,0,3,5,65,0,0,18.6,15.6,17.1
Sony Michel,RB,NWE,0,0,0,0,0,16,91,1,3,3,32,0,0,21.3,18.3,19.8
Nick Chubb,RB,CLE,0,0,0,0,0,16,87,0,1,1,12,0,0,10.9,9.9,10.4
Reggie Bonnafon,RB,CAR,0,0,0,0,0,5,80,1,0,0,0,0,0,14,14,14
Derrick Henry,RB,TEN,0,0,0,0,0,20,78,1,0,0,0,0,0,13.8,13.8,13.8
Chase Edmonds,RB,ARI,0,0,0,0,0,8,68,1,3,4,18,0,0,17.6,14.6,16.1
Steven Sims,WR,WAS,0,0,0,0,0,1,65,1,2,3,1,0,0,14.6,12.6,13.6
Ezekiel Elliott,RB,DAL,0,0,0,0,0,12,62,1,2,3,29,0,0,17.1,15.1,16.1
Jordan Howard,RB,PHI,0,0,0,0,0,13,62,1,0,0,0,0,0,12.2,12.2,12.2
Royce Freeman,RB,DEN,0,0,0,0,0,13,61,0,2,2,6,0,0,8.7,6.7,7.7
Frank Gore,RB,BUF,0,0,0,0,0,14,60,0,2,2,9,0,0,8.9,6.9,7.9
Carlos Hyde,RB,HOU,0,0,0,0,0,21,60,1,0,0,0,0,0,12,12,12
Duke Johnson,RB,HOU,0,0,0,0,0,9,59,0,1,1,8,0,0,7.7,6.7,7.2
James Conner,RB,PIT,0,0,0,0,0,14,55,1,0,0,0,0,0,11.5,11.5,11.5
Alexander Mattison,RB,MIN,0,0,0,0,0,7,52,0,0,0,0,0,0,5.2,5.2,5.2
Todd Gurley,RB,LAR,0,0,0,0,0,15,51,2,3,5,6,0,1,18.7,15.7,17.2
