Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Lamar Jackson,QB,BAL,223,3,0,17,15,7,65,1,0,0,0,0,0,33.42,33.42,33.42
Ryan Tannehill,QB,TEN,181,2,0,19,13,3,37,0,0,0,0,0,1,16.94,16.94,16.94
Mitchell Trubisky,QB,CHI,173,3,0,23,16,3,8,0,0,0,0,0,0,19.72,19.72,19.72
Daniel Jones,QB,NYG,308,4,0,40,26,3,20,0,0,0,0,0,1,28.32,28.32,28.32
Patrick Mahomes,QB,KAN,446,3,0,50,36,0,0,0,0,0,0,0,0,29.84,29.84,29.84
Taysom Hill,QB,NOR,17,0,0,1,1,1,11,0,1,1,3,0,0,3.08,2.08,2.58
Andy Lee,P,ARI,26,0,0,1,1,0,0,0,0,0,0,0,0,1.04,1.04,1.04
Kirk Cousins,QB,MIN,220,2,0,32,23,1,5,0,0,0,0,0,0,17.3,17.3,17.3
Baker Mayfield,QB,CLE,238,2,0,38,26,2,1,0,0,0,0,0,0,17.62,17.62,17.62
Dak Prescott,QB,DAL,397,3,1,46,28,0,0,0,0,0,0,0,0,25.88,25.88,25.88
Derek Carr,QB,OAK,218,1,0,31,21,1,4,0,0,0,0,0,0,13.12,13.12,13.12
Sam Darnold,QB,NYJ,230,1,0,30,19,3,25,1,0,0,0,0,0,21.7,21.7,21.7
Kyler Murray,QB,ARI,324,3,1,44,27,3,38,0,0,0,0,0,0,26.76,26.76,26.76
Drew Brees,QB,NOR,287,0,0,45,32,0,0,0,0,0,0,0,0,11.48,11.48,11.48
Russell Wilson,QB,SEA,232,1,1,34,24,6,53,0,0,0,0,0,0,16.58,16.58,16.58
Mason Rudolph,QB,PIT,242,1,0,38,22,2,-1,0,0,0,0,0,0,13.58,13.58,13.58
Aaron Rodgers,QB,GNB,233,0,0,29,17,1,7,0,0,0,0,0,0,10.02,10.02,10.02
