Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Philip Rivers,QB,LAC,310,2,0,30,24,1,0,0,0,0,0,0,0,20.4,20.4,20.4
Marcus Mariota,QB,TEN,227,3,0,27,18,3,22,0,0,0,0,0,0,23.28,23.28,23.28
Mason Rudolph,QB,PIT,229,2,0,28,24,3,-3,0,0,0,0,0,0,16.86,16.86,16.86
Jameis Winston,QB,TAM,385,4,1,41,28,1,-1,0,0,0,0,0,0,29.3,29.3,29.3
Matthew Stafford,QB,DET,291,3,0,34,21,2,18,0,0,0,0,0,1,23.44,23.44,23.44
Russell Wilson,QB,SEA,240,1,0,28,22,2,7,0,0,0,0,0,0,14.3,14.3,14.3
Carson Wentz,QB,PHI,160,3,0,27,16,6,13,0,0,0,0,0,0,19.7,19.7,19.7
Jaylen Samuels,RB,PIT,31,0,0,3,3,10,26,1,8,8,57,0,0,23.54,15.54,19.54
Derek Carr,QB,OAK,189,2,0,31,21,2,-1,0,0,0,0,0,1,13.46,13.46,13.46
Baker Mayfield,QB,CLE,342,1,1,30,20,3,1,0,0,0,0,0,0,15.78,15.78,15.78
Chase Daniel,QB,CHI,195,1,0,30,22,5,4,0,0,0,0,0,0,12.2,12.2,12.2
Joe Flacco,QB,DEN,303,3,1,38,22,1,-1,0,0,0,0,0,0,22.02,22.02,22.02
Gardner Minshew,QB,JAX,213,2,0,33,19,1,2,0,0,0,0,0,0,16.72,16.72,16.72
Lamar Jackson,QB,BAL,247,3,2,34,24,9,66,0,0,0,0,0,0,24.48,24.48,24.48
Tyrod Taylor,QB,LAC,7,0,0,1,1,4,-1,0,0,0,0,0,0,0.18,0.18,0.18
Aaron Rodgers,QB,GNB,422,2,1,53,34,5,46,0,0,0,0,0,1,25.48,25.48,25.48
Kirk Cousins,QB,MIN,233,0,0,36,27,0,0,0,0,0,0,0,1,7.32,7.32,7.32
Kyle Allen,QB,CAR,232,0,0,34,24,0,0,0,0,0,0,0,3,3.28,3.28,3.28
Josh Rosen,QB,MIA,180,1,1,24,17,0,0,0,0,0,0,0,0,9.2,9.2,9.2
Matt Ryan,QB,ATL,397,0,0,53,35,2,18,0,0,0,0,0,1,15.68,15.68,15.68
Jacoby Brissett,QB,IND,265,3,1,46,24,5,19,0,0,0,0,0,0,22.5,22.5,22.5
Patrick Mahomes,QB,KAN,315,0,0,42,24,6,54,0,0,0,0,0,0,18,18,18
Jared Goff,QB,LAR,517,2,3,68,45,0,0,0,0,0,0,0,1,20.68,20.68,20.68
Teddy Bridgewater,QB,NOR,193,0,1,30,23,3,8,0,0,0,0,0,0,6.52,6.52,6.52
Daniel Jones,QB,NYG,225,1,2,31,23,5,33,0,0,0,0,0,0,12.3,12.3,12.3
Kyler Murray,QB,ARI,241,0,1,32,22,4,27,1,0,0,0,0,0,16.34,16.34,16.34
Deshaun Watson,QB,HOU,160,0,0,33,21,3,12,1,0,0,0,0,1,11.6,11.6,11.6
Dak Prescott,QB,DAL,223,0,1,33,22,1,7,0,0,0,0,0,0,7.62,7.62,7.62
Mitchell Trubisky,QB,CHI,9,0,0,3,2,0,0,0,0,0,0,0,0,0.36,0.36,0.36
Andy Dalton,QB,CIN,171,0,1,37,21,3,8,0,0,0,0,0,1,3.64,3.64,3.64
Matt Barkley,QB,BUF,127,0,1,16,9,0,0,0,0,0,0,0,0,3.08,3.08,3.08
Tom Brady,QB,NWE,150,0,1,39,18,3,-3,0,0,0,0,0,0,3.7,3.7,3.7
Odell Beckham,WR,CLE,0,0,0,1,0,0,0,0,2,7,20,0,0,4,2,3
Dwayne Haskins,QB,WAS,107,0,3,17,9,2,23,0,0,0,0,0,0,0.58,0.58,0.58
Josh Allen,QB,BUF,153,0,3,28,13,5,26,1,0,0,0,0,0,8.72,8.72,8.72
Case Keenum,QB,WAS,37,0,1,11,6,0,0,0,0,0,0,0,0,-0.52,-0.52,-0.52
DeAndre Hopkins,WR,HOU,0,0,1,1,0,0,0,0,5,8,41,0,0,7.1,2.1,4.6
Leonard Fournette,RB,JAX,0,0,0,0,0,29,225,0,2,3,20,0,0,26.5,24.5,25.5
Nick Chubb,RB,CLE,0,0,0,0,0,20,165,3,3,4,18,0,0,39.3,36.3,37.8
Kerryon Johnson,RB,DET,0,0,0,0,0,26,125,0,2,3,32,0,1,15.7,13.7,14.7
Frank Gore,RB,BUF,0,0,0,0,0,17,109,0,0,0,0,0,0,10.9,10.9,10.9
Chris Carson,RB,SEA,0,0,0,0,0,22,104,0,4,4,41,0,0,18.5,14.5,16.5
Derrick Henry,RB,TEN,0,0,0,0,0,27,100,0,1,1,8,0,0,11.8,10.8,11.3
Christian McCaffrey,RB,CAR,0,0,0,0,0,27,93,1,10,10,86,0,0,33.9,23.9,28.9
Jordan Howard,RB,PHI,0,0,0,0,0,15,87,2,3,4,28,1,0,32.5,29.5,31
Josh Jacobs,RB,OAK,0,0,0,0,0,17,79,0,2,2,29,0,0,12.8,10.8,11.8
Trevor Davis,WR,OAK,0,0,0,0,0,2,74,1,0,0,0,0,0,13.4,13.4,13.4
Miles Sanders,RB,PHI,0,0,0,0,0,11,72,0,0,0,0,0,0,7.2,7.2,7.2
Mark Ingram,RB,BAL,0,0,0,0,0,12,71,0,1,1,0,0,1,6.1,5.1,5.6
Ronald Jones,RB,TAM,0,0,0,0,0,19,70,1,1,1,12,0,0,15.2,14.2,14.7
Alvin Kamara,RB,NOR,0,0,0,0,0,17,69,0,3,3,20,0,0,11.9,8.9,10.4
Wayne Gallman,RB,NYG,0,0,0,0,0,18,63,1,6,7,55,1,1,27.8,21.8,24.8
Sony Michel,RB,NWE,0,0,0,0,0,17,63,0,0,0,0,0,0,6.3,6.3,6.3
Joe Mixon,RB,CIN,0,0,0,0,0,15,62,0,4,5,1,0,0,10.3,6.3,8.3
Austin Ekeler,RB,LAC,0,0,0,0,0,18,60,1,5,5,62,1,0,29.2,24.2,26.7
Carlos Hyde,RB,HOU,0,0,0,0,0,12,58,0,4,5,6,0,0,10.4,6.4,8.4
Duke Johnson,RB,HOU,0,0,0,0,0,6,56,0,2,3,22,0,0,9.8,7.8,8.8
LeSean McCoy,RB,KAN,0,0,0,0,0,11,56,1,2,4,33,0,0,16.9,14.9,15.9
Phillip Lindsay,RB,DEN,0,0,0,0,0,9,53,0,1,1,7,0,0,7,6,6.5
David Montgomery,RB,CHI,0,0,0,0,0,21,53,0,3,5,14,0,0,9.7,6.7,8.2
Kenyan Drake,RB,MIA,0,0,0,0,0,9,44,0,3,5,29,0,0,10.3,7.3,8.8
