Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Lamar Jackson,QB,BAL,324,5,0,20,17,3,6,0,0,0,0,0,0,33.56,33.56,33.56
Dak Prescott,QB,DAL,405,4,0,32,25,4,12,0,0,0,0,0,0,33.4,33.4,33.4
Robert Griffin,QB,BAL,55,1,0,6,6,4,9,0,0,0,0,0,0,7.1,7.1,7.1
Patrick Mahomes,QB,KAN,378,3,0,33,25,1,2,0,0,0,0,0,0,27.32,27.32,27.32
Kirk Cousins,QB,MIN,98,1,0,10,8,6,4,1,0,0,0,0,0,14.32,14.32,14.32
Russell Wilson,QB,SEA,195,2,0,20,14,4,8,0,0,0,0,0,0,16.6,16.6,16.6
Marcus Mariota,QB,TEN,248,3,0,24,14,3,24,0,0,0,0,0,0,24.32,24.32,24.32
Nick Foles,QB,JAX,75,1,0,8,5,0,0,0,0,0,0,0,0,7,7,7
Tom Brady,QB,NWE,341,3,0,36,24,0,0,0,0,0,0,0,0,25.64,25.64,25.64
Gardner Minshew,QB,JAX,275,2,1,25,22,1,6,0,0,0,0,0,0,17.6,17.6,17.6
Philip Rivers,QB,LAC,333,3,1,34,25,1,6,0,0,0,0,0,0,23.92,23.92,23.92
Derek Carr,QB,OAK,259,1,0,26,22,2,2,0,0,0,0,0,0,14.56,14.56,14.56
Carson Wentz,QB,PHI,313,3,0,39,28,4,5,0,0,0,0,0,0,25.02,25.02,25.02
Jacoby Brissett,QB,IND,190,2,0,27,21,3,9,0,0,0,0,0,0,16.5,16.5,16.5
Julian Edelman,WR,NWE,32,0,0,1,1,1,8,0,6,11,83,0,0,16.38,10.38,13.38
Case Keenum,QB,WAS,380,3,0,44,30,0,0,0,0,0,0,0,0,27.2,27.2,27.2
Deshaun Watson,QB,HOU,268,3,1,30,20,4,40,1,0,0,0,0,0,30.72,30.72,30.72
Matthew Stafford,QB,DET,385,3,0,45,27,3,22,0,0,0,0,0,1,27.6,27.6,27.6
Andy Dalton,QB,CIN,418,2,0,51,35,0,0,0,0,0,0,0,2,20.72,20.72,20.72
Drew Brees,QB,NOR,370,2,1,43,32,0,0,0,0,0,0,0,0,20.8,20.8,20.8
Joe Flacco,QB,DEN,268,1,0,31,21,1,1,0,0,0,0,0,0,14.82,14.82,14.82
Eli Manning,QB,NYG,306,1,0,44,30,1,6,0,0,0,0,0,1,14.84,14.84,14.84
Aaron Rodgers,QB,GNB,203,1,0,30,18,3,8,0,0,0,0,0,0,12.92,12.92,12.92
Matt Ryan,QB,ATL,304,2,2,46,33,2,24,0,0,0,0,0,0,18.56,18.56,18.56
Sam Darnold,QB,NYJ,175,1,0,41,28,1,0,0,0,0,0,0,0,11,11,11
Daniel Jones,QB,NYG,17,0,0,4,3,1,5,0,0,0,0,0,1,-0.82,-0.82,-0.82
Jimmy Garoppolo,QB,SFO,166,1,1,27,18,2,-2,0,0,0,0,0,0,8.44,8.44,8.44
Kyler Murray,QB,ARI,308,2,1,54,29,3,13,0,0,0,0,0,0,19.62,19.62,19.62
Cam Newton,QB,CAR,239,0,1,38,25,3,-2,0,0,0,0,0,1,5.36,5.36,5.36
Josh Allen,QB,BUF,254,1,2,37,24,10,38,1,0,0,0,0,2,15.96,15.96,15.96
Jared Goff,QB,LAR,186,1,1,39,23,4,0,0,0,0,0,0,0,9.44,9.44,9.44
