Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Emmanuel Sanders,WR,SFO,35,1,0,1,1,0,0,0,7,9,157,1,0,34.1,27.1,30.6
Philip Rivers,QB,LAC,314,3,0,22,16,1,0,0,0,0,0,0,0,24.56,24.56,24.56
Ryan Tannehill,QB,TEN,391,3,1,27,21,4,19,0,0,0,0,0,0,27.54,27.54,27.54
Drew Brees,QB,NOR,349,5,0,40,29,1,1,1,0,0,0,0,0,40.06,40.06,40.06
Drew Lock,QB,DEN,309,3,1,27,22,3,15,0,0,0,0,0,0,23.86,23.86,23.86
Jimmy Garoppolo,QB,SFO,349,4,1,35,26,2,1,0,0,0,0,0,0,28.06,28.06,28.06
Alex Erickson,WR,CIN,26,0,0,1,1,0,0,0,5,7,45,0,0,10.54,5.54,8.04
James White,RB,NWE,35,0,0,1,1,6,33,0,5,7,27,0,0,12.4,7.4,9.9
Devlin Hodges,QB,PIT,152,1,0,19,16,5,34,0,0,0,0,0,0,13.48,13.48,13.48
Mitchell Trubisky,QB,CHI,244,3,1,31,23,10,63,1,0,0,0,0,0,32.06,32.06,32.06
Derek Carr,QB,OAK,262,2,0,34,25,2,17,0,0,0,0,0,0,20.18,20.18,20.18
Tyrod Taylor,QB,LAC,26,1,0,5,3,4,10,0,0,0,0,0,0,6.04,6.04,6.04
Kirk Cousins,QB,MIN,242,1,0,30,24,1,-1,0,0,0,0,0,0,13.58,13.58,13.58
Matt Ryan,QB,ATL,313,2,0,34,20,1,8,0,0,0,0,0,0,21.32,21.32,21.32
Jameis Winston,QB,TAM,456,4,3,45,33,6,5,1,0,0,0,0,0,34.74,34.74,34.74
Logan Cooke,P,JAX,9,0,0,1,1,0,0,0,0,0,0,0,0,0.36,0.36,0.36
Lamar Jackson,QB,BAL,145,3,1,25,16,11,40,0,0,0,0,0,0,19.8,19.8,19.8
Carson Wentz,QB,PHI,325,2,0,50,33,5,9,0,0,0,0,0,1,19.9,19.9,19.9
Aaron Rodgers,QB,GNB,195,1,0,28,18,5,16,0,0,0,0,0,1,11.4,11.4,11.4
Jared Goff,QB,LAR,293,2,2,31,22,2,4,0,0,0,0,0,0,16.12,16.12,16.12
Eli Manning,QB,NYG,203,2,0,30,15,2,-1,0,0,0,0,0,0,16.02,16.02,16.02
Jacoby Brissett,QB,IND,251,2,0,36,19,4,26,0,0,0,0,0,0,20.64,20.64,20.64
Sam Darnold,QB,NYJ,270,2,1,36,20,3,3,0,0,0,0,0,0,17.1,17.1,17.1
Patrick Mahomes,QB,KAN,283,1,1,40,26,6,6,0,0,0,0,0,0,13.92,13.92,13.92
Gardner Minshew,QB,JAX,162,1,0,37,24,6,31,0,0,0,0,0,0,13.58,13.58,13.58
Dak Prescott,QB,DAL,334,1,0,49,27,3,1,0,0,0,0,0,0,17.46,17.46,17.46
Kyle Allen,QB,CAR,293,1,2,41,28,6,24,1,0,0,0,0,1,18.12,18.12,18.12
Dwayne Haskins,QB,WAS,170,1,1,27,16,1,-1,0,0,0,0,0,0,8.7,8.7,8.7
Russell Wilson,QB,SEA,245,0,1,36,22,5,28,0,0,0,0,0,0,10.6,10.6,10.6
Andy Dalton,QB,CIN,262,0,1,38,22,3,11,0,0,0,0,0,0,9.58,9.58,9.58
Kyler Murray,QB,ARI,194,2,3,30,20,6,2,0,0,0,0,0,0,9.96,9.96,9.96
Ryan Fitzpatrick,QB,MIA,245,0,1,37,21,7,65,0,0,0,0,0,0,14.3,14.3,14.3
Tom Brady,QB,NWE,169,1,1,36,19,2,20,0,0,0,0,0,0,10.76,10.76,10.76
Deshaun Watson,QB,HOU,292,1,2,50,28,6,44,2,0,0,0,0,0,28.08,28.08,28.08
Josh Allen,QB,BUF,146,1,0,39,17,2,9,0,0,0,0,0,1,8.74,8.74,8.74
Ryan Griffin,QB,TAM,18,0,0,4,2,0,0,0,0,0,0,0,0,0.72,0.72,0.72
David Blough,QB,DET,205,1,2,40,24,0,0,0,0,0,0,0,0,8.2,8.2,8.2
Taysom Hill,QB,NOR,0,0,0,1,0,5,13,0,1,1,12,0,0,3.5,2.5,3
Cooper Kupp,WR,LAR,0,0,0,1,0,0,0,0,4,4,45,1,0,14.5,10.5,12.5
Baker Mayfield,QB,CLE,192,0,2,24,11,2,13,1,0,0,0,0,0,10.98,10.98,10.98
Joe Mixon,RB,CIN,0,0,0,0,0,23,146,1,3,4,40,0,0,27.6,24.6,26.1
Aaron Jones,RB,GNB,0,0,0,0,0,16,134,1,6,7,58,0,0,31.2,25.2,28.2
Nick Chubb,RB,CLE,0,0,0,0,0,15,106,0,1,1,11,0,0,12.7,11.7,12.2
Derrick Henry,RB,TEN,0,0,0,0,0,18,103,2,1,1,6,0,0,23.9,22.9,23.4
Austin Ekeler,RB,LAC,0,0,0,0,0,8,101,0,4,5,112,1,0,31.3,27.3,29.3
Devin Singletary,RB,BUF,0,0,0,0,0,17,89,0,6,8,29,0,0,17.8,11.8,14.8
