Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Matt Ryan,QB,ATL,356,4,0,36,30,2,7,0,0,0,0,0,0,30.94,30.94,30.94
Kirk Cousins,QB,MIN,333,4,1,29,22,2,0,0,0,0,0,0,0,27.32,27.32,27.32
Kyler Murray,QB,ARI,340,3,0,37,27,11,32,0,0,0,0,0,0,28.8,28.8,28.8
Russell Wilson,QB,SEA,295,2,0,33,23,9,31,1,0,0,0,0,0,28.9,28.9,28.9
Sam Darnold,QB,NYJ,338,2,1,32,23,5,1,0,0,0,0,0,0,19.62,19.62,19.62
Ryan Fitzpatrick,QB,MIA,132,1,0,18,12,2,5,0,0,0,0,0,0,9.78,9.78,9.78
Kyle Allen,QB,CAR,227,2,0,32,20,3,3,0,0,0,0,0,0,17.38,17.38,17.38
Case Keenum,QB,WAS,166,2,0,25,13,4,10,0,0,0,0,0,0,15.64,15.64,15.64
Patrick Mahomes,QB,KAN,273,3,1,35,19,1,-1,0,0,0,0,0,1,18.82,18.82,18.82
Teddy Bridgewater,QB,NOR,240,1,0,36,24,3,0,0,0,0,0,0,0,13.6,13.6,13.6
Carson Wentz,QB,PHI,306,2,1,40,26,2,23,0,0,0,0,0,0,20.54,20.54,20.54
Aaron Rodgers,QB,GNB,283,2,1,39,24,3,10,0,0,0,0,0,0,18.32,18.32,18.32
Dak Prescott,QB,DAL,278,0,0,40,28,3,11,1,0,0,0,0,0,18.22,18.22,18.22
Tom Brady,QB,NWE,334,0,1,41,31,7,6,2,0,0,0,0,1,21.96,21.96,21.96
Devlin Hodges,QB,PIT,132,1,1,20,15,3,8,0,0,0,0,0,0,8.08,8.08,8.08
Lamar Jackson,QB,BAL,236,0,0,33,21,19,152,1,0,0,0,0,0,30.64,30.64,30.64
Matthew Stafford,QB,DET,265,0,0,32,18,3,9,0,0,0,0,0,0,11.5,11.5,11.5
Jimmy Garoppolo,QB,SFO,243,0,1,33,24,5,4,1,0,0,0,0,1,12.12,12.12,12.12
Ryan Tannehill,QB,TEN,144,0,1,16,13,1,6,0,0,0,0,0,0,4.36,4.36,4.36
Philip Rivers,QB,LAC,320,2,2,44,26,1,0,0,0,0,0,0,1,14.8,14.8,14.8
Deshaun Watson,QB,HOU,280,1,2,42,30,10,42,2,0,0,0,0,0,27.4,27.4,27.4
Joe Flacco,QB,DEN,177,0,1,28,18,4,-1,0,0,0,0,0,0,4.98,4.98,4.98
Andy Dalton,QB,CIN,235,0,1,39,21,1,2,1,0,0,0,0,0,13.6,13.6,13.6
Jared Goff,QB,LAR,78,0,0,24,13,1,0,0,0,0,0,0,1,1.12,1.12,1.12
Baker Mayfield,QB,CLE,249,1,3,37,22,4,35,1,0,0,0,0,0,17.46,17.46,17.46
Gardner Minshew,QB,JAX,163,0,1,29,14,2,1,0,0,0,0,0,0,4.62,4.62,4.62
Jameis Winston,QB,TAM,400,1,5,54,30,1,1,0,0,0,0,0,1,8.1,8.1,8.1
Daniel Jones,QB,NYG,161,1,3,31,15,2,8,0,0,0,0,0,0,5.24,5.24,5.24
Josh Rosen,QB,MIA,85,0,2,25,15,0,0,0,0,0,0,0,0,-0.6,-0.6,-0.6
Marcus Mariota,QB,TEN,63,0,2,18,7,2,4,0,0,0,0,0,0,-1.08,-1.08,-1.08
Jake Elliott,K,PHI,0,0,1,1,0,0,0,0,0,0,0,0,0,-2,-2,-2
Chris Carson,RB,SEA,0,0,0,0,0,24,124,1,4,4,35,0,0,25.9,21.9,23.9
Nick Chubb,RB,CLE,0,0,0,0,0,20,122,2,5,6,17,0,1,28.9,23.9,26.4
Adrian Peterson,RB,WAS,0,0,0,0,0,23,118,0,2,2,18,0,0,15.6,13.6,14.6
Carlos Hyde,RB,HOU,0,0,0,0,0,26,116,1,1,1,14,0,1,18,17,17.5
Ezekiel Elliott,RB,DAL,0,0,0,0,0,28,105,1,5,6,48,0,0,26.3,21.3,23.8
Jamaal Williams,RB,GNB,0,0,0,0,0,14,104,0,4,5,32,1,0,23.6,19.6,21.6
Devonta Freeman,RB,ATL,0,0,0,0,0,19,88,0,3,3,30,2,0,26.8,23.8,25.3
Sony Michel,RB,NWE,0,0,0,0,0,22,86,0,2,3,27,0,0,13.3,11.3,12.3
Benny Snell,RB,PIT,0,0,0,0,0,17,75,0,1,1,14,0,0,9.9,8.9,9.4
Leonard Fournette,RB,JAX,0,0,0,0,0,20,72,0,6,6,46,0,0,17.8,11.8,14.8
Phillip Lindsay,RB,DEN,0,0,0,0,0,15,70,1,2,3,5,0,0,15.5,13.5,14.5
Alexander Mattison,RB,MIN,0,0,0,0,0,14,63,0,0,0,0,0,1,4.3,4.3,4.3
Mark Ingram,RB,BAL,0,0,0,0,0,13,52,1,2,2,22,0,0,15.4,13.4,14.4
Le'Veon Bell,RB,NYJ,0,0,0,0,0,14,50,1,1,1,3,0,0,12.3,11.3,11.8
Jordan Howard,RB,PHI,0,0,0,0,0,13,49,0,0,0,0,0,0,4.9,4.9,4.9
Aaron Jones,RB,GNB,0,0,0,0,0,11,47,0,4,7,13,0,1,8,4,6
Tevin Coleman,RB,SFO,0,0,0,0,0,18,45,1,2,3,16,0,0,14.1,12.1,13.1
LeSean McCoy,RB,KAN,0,0,0,0,0,8,44,0,2,2,0,0,0,6.4,4.4,5.4
Latavius Murray,RB,NOR,0,0,0,0,0,8,44,0,3,3,35,0,0,10.9,7.9,9.4
James Conner,RB,PIT,0,0,0,0,0,16,41,1,7,7,78,1,0,30.9,23.9,27.4
Dalvin Cook,RB,MIN,0,0,0,0,0,16,41,1,2,2,13,0,0,13.4,11.4,12.4
Malcolm Brown,RB,LAR,0,0,0,0,0,11,40,0,0,0,0,0,0,4,4,4
Kenyan Drake,RB,MIA,0,0,0,0,0,10,40,0,6,9,30,0,0,13,7,10
Darrell Henderson,RB,LAR,0,0,0,0,0,6,39,0,1,2,9,0,0,5.8,4.8,5.3
Jon Hilliman,RB,NYG,0,0,0,0,0,11,38,0,2,2,-3,0,1,3.5,1.5,2.5
Matt Breida,RB,SFO,0,0,0,0,0,13,36,0,4,4,27,0,0,10.3,6.3,8.3
Chase Edmonds,RB,ARI,0,0,0,0,0,5,34,0,2,2,33,1,0,14.7,12.7,13.7
Gus Edwards,RB,BAL,0,0,0,0,0,6,34,0,0,0,0,0,0,3.4,3.4,3.4
Royce Freeman,RB,DEN,0,0,0,0,0,11,34,0,5,5,42,0,0,12.6,7.6,10.1
David Johnson,RB,ARI,0,0,0,0,0,12,34,1,6,8,68,1,0,28.2,22.2,25.2
Duke Johnson,RB,HOU,0,0,0,0,0,5,34,0,2,4,20,1,0,13.4,11.4,12.4
Kerryon Johnson,RB,DET,0,0,0,0,0,13,34,1,2,4,27,0,0,14.1,12.1,13.1
Mark Walton,RB,MIA,0,0,0,0,0,6,32,0,5,6,43,0,0,12.5,7.5,10
Justice Hill,RB,BAL,0,0,0,0,0,5,31,0,0,0,0,0,0,3.1,3.1,3.1
Alvin Kamara,RB,NOR,0,0,0,0,0,11,31,0,7,8,35,0,0,13.6,6.6,10.1
Christian McCaffrey,RB,CAR,0,0,0,0,0,22,31,1,4,5,26,1,0,21.7,17.7,19.7
Boston Scott,RB,PHI,0,0,0,0,0,4,30,0,0,0,0,0,0,3,3,3
Peyton Barber,RB,TAM,0,0,0,0,0,8,28,0,0,0,0,0,0,2.8,2.8,2.8
Derrick Henry,RB,TEN,0,0,0,0,0,15,28,0,1,3,5,0,0,4.3,3.3,3.8
Brandon Bolden,RB,NWE,0,0,0,0,0,3,23,1,2,2,22,0,0,12.5,10.5,11.5
Stefon Diggs,WR,MIN,0,0,0,0,0,2,18,0,7,11,167,3,0,43.5,36.5,40
Melvin Gordon,RB,LAC,0,0,0,0,0,8,18,0,3,4,30,0,0,7.8,4.8,6.3
Alex Erickson,WR,CIN,0,0,0,0,0,1,17,0,4,6,47,0,0,10.4,6.4,8.4
Taysom Hill,QB,NOR,0,0,0,0,0,3,17,0,0,0,0,0,0,1.7,1.7,1.7
Robert Woods,WR,LAR,0,0,0,0,0,2,16,1,0,0,0,0,0,7.6,7.6,7.6
Brandin Cooks,WR,LAR,0,0,0,0,0,2,14,0,3,3,18,0,0,6.2,3.2,4.7
Austin Ekeler,RB,LAC,0,0,0,0,0,5,14,0,3,4,14,0,0,5.8,2.8,4.3
D.J. Moore,WR,CAR,0,0,0,0,0,1,13,0,7,10,73,0,0,15.6,8.6,12.1
Raheem Mostert,RB,SFO,0,0,0,0,0,4,13,0,0,0,0,0,0,1.3,1.3,1.3
Tony Pollard,RB,DAL,0,0,0,0,0,3,13,0,0,0,0,0,0,1.3,1.3,1.3
Ted Ginn,WR,NOR,0,0,0,0,0,1,12,0,2,6,36,0,0,6.8,4.8,5.8
Chris Thompson,RB,WAS,0,0,0,0,0,3,12,0,2,3,8,0,0,4,2,3
Ronald Jones,RB,TAM,0,0,0,0,0,4,10,1,0,0,0,0,0,7,7,7
Joe Mixon,RB,CIN,0,0,0,0,0,8,10,0,2,3,29,0,0,5.9,3.9,4.9
Jamal Agnew,CB,DET,0,0,0,0,0,1,9,0,0,0,0,0,0,0.9,0.9,0.9
Marquez Valdes-Scantling,WR,GNB,0,0,0,0,0,1,9,0,2,2,48,0,0,7.7,5.7,6.7
C.J. Prosise,RB,SEA,0,0,0,0,0,3,8,0,1,3,15,0,1,1.3,0.3,0.8
Curtis Samuel,WR,CAR,0,0,0,0,0,1,8,1,4,6,70,1,0,23.8,19.8,21.8
Kalen Ballage,RB,MIA,0,0,0,0,0,3,7,1,0,0,0,0,0,6.7,6.7,6.7
Elijhaa Penny,RB,NYG,0,0,0,0,0,3,6,0,1,2,0,0,0,1.6,0.6,1.1
Miles Sanders,RB,PHI,0,0,0,0,0,3,6,0,3,3,86,1,0,18.2,15.2,16.7
Ito Smith,RB,ATL,0,0,0,0,0,3,6,0,0,0,0,0,0,0.6,0.6,0.6
Damien Williams,RB,KAN,0,0,0,0,0,1,6,0,1,1,14,1,0,9,8,8.5
Bilal Powell,RB,NYJ,0,0,0,0,0,1,5,0,0,0,0,0,0,0.5,0.5,0.5
Alex Armah,FB,CAR,0,0,0,0,0,2,4,0,0,0,0,0,0,0.4,0.4,0.4
Giovani Bernard,RB,CIN,0,0,0,0,0,4,4,0,2,3,20,0,0,4.4,2.4,3.4
J.D. McKissic,RB,DET,0,0,0,0,0,3,4,0,2,3,7,0,0,3.1,1.1,2.1
D.K. Metcalf,WR,SEA,0,0,0,0,0,1,4,0,4,5,69,0,0,11.3,7.3,9.3
Wendell Smallwood,RB,WAS,0,0,0,0,0,1,4,0,0,0,0,0,0,0.4,0.4,0.4
De'Anthony Thomas,WR,KAN,0,0,0,0,0,1,4,0,0,0,0,0,0,0.4,0.4,0.4
Tyler Lockett,WR,SEA,0,0,0,0,0,1,3,0,5,5,75,0,0,12.8,7.8,10.3
Dare Ogunbowale,RB,TAM,0,0,0,0,0,1,3,1,3,5,22,0,0,11.5,8.5,10
Pharoh Cooper,WR,ARI,0,0,0,0,0,1,2,0,3,4,16,0,0,4.8,1.8,3.3
Dalyn Dawkins,RB,TEN,0,0,0,0,0,2,2,0,0,0,0,0,0,0.2,0.2,0.2
Keith Smith,FB,ATL,0,0,0,0,0,1,2,0,0,0,0,0,0,0.2,0.2,0.2
Ryquell Armstead,RB,JAX,0,0,0,0,0,1,1,0,0,0,0,0,0,0.1,0.1,0.1
Marqise Lee,WR,JAX,0,0,0,0,0,1,1,0,0,0,0,0,0,0.1,0.1,0.1
Deebo Samuel,WR,SFO,0,0,0,0,0,1,1,0,3,5,18,0,0,4.9,1.9,3.4
Steven Sims,WR,WAS,0,0,0,0,0,1,1,0,0,0,0,0,0,0.1,0.1,0.1
Paul Richardson,WR,WAS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adam Thielen,WR,MIN,0,0,0,0,0,1,0,0,6,8,57,1,0,17.7,11.7,14.7
Dion Lewis,RB,TEN,0,0,0,0,0,1,-1,0,3,3,20,0,0,4.9,1.9,3.4
James White,RB,NWE,0,0,0,0,0,2,-1,0,9,9,46,0,0,13.5,4.5,9
Chris Godwin,WR,TAM,0,0,0,0,0,0,0,0,10,12,151,0,0,25.1,15.1,20.1
Robby Anderson,WR,NYJ,0,0,0,0,0,0,0,0,5,8,125,1,0,23.5,18.5,21
Kenny Golladay,WR,DET,0,0,0,0,0,0,0,0,5,9,121,0,0,17.1,12.1,14.6
Austin Hooper,TE,ATL,0,0,0,0,0,0,0,0,8,8,117,1,0,25.7,17.7,21.7
Julian Edelman,WR,NWE,0,0,0,0,0,0,0,0,9,15,113,0,0,20.3,11.3,15.8
Julio Jones,WR,ATL,0,0,0,0,0,0,0,0,8,9,108,0,0,18.8,10.8,14.8
George Kittle,TE,SFO,0,0,0,0,0,0,0,0,8,8,103,0,0,18.3,10.3,14.3
Golden Tate,WR,NYG,0,0,0,0,0,0,0,0,6,9,102,1,0,22.2,16.2,19.2
Odell Beckham,WR,CLE,0,0,0,0,0,0,0,0,6,11,101,0,0,16.1,10.1,13.1
Hunter Henry,TE,LAC,0,0,0,0,0,0,0,0,8,9,100,2,0,30,22,26
Terry McLaurin,WR,WAS,0,0,0,0,0,0,0,0,4,7,100,2,0,26,22,24
Mark Andrews,TE,BAL,0,0,0,0,0,0,0,0,6,8,99,0,1,13.9,7.9,10.9
Jamison Crowder,WR,NYJ,0,0,0,0,0,0,0,0,6,9,98,0,0,15.8,9.8,12.8
Mike Evans,WR,TAM,0,0,0,0,0,0,0,0,9,17,96,0,0,18.6,9.6,14.1
Auden Tate,WR,CIN,0,0,0,0,0,0,0,0,5,11,91,0,0,14.1,9.1,11.6
Michael Thomas,WR,NOR,0,0,0,0,0,0,0,0,8,12,89,0,0,16.9,8.9,12.9
Tyreek Hill,WR,KAN,0,0,0,0,0,0,0,0,5,10,80,2,0,25,20,22.5
Alshon Jeffery,WR,PHI,0,0,0,0,0,0,0,0,10,12,76,1,0,23.6,13.6,18.6
Courtland Sutton,WR,DEN,0,0,0,0,0,0,0,0,4,8,76,0,0,11.6,7.6,9.6
Mike Williams,WR,LAC,0,0,0,0,0,0,0,0,5,10,72,0,0,12.2,7.2,9.7
Darren Fells,TE,HOU,0,0,0,0,0,0,0,0,6,7,69,0,0,12.9,6.9,9.9
Larry Fitzgerald,WR,ARI,0,0,0,0,0,0,0,0,6,8,69,0,0,12.9,6.9,9.9
