Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Danny Amendola,WR,DET,19,1,0,1,1,0,0,0,2,4,16,0,0,8.36,6.36,7.36
Dak Prescott,QB,DAL,303,4,0,33,23,3,35,0,0,0,0,0,1,29.62,29.62,29.62
Ryan Tannehill,QB,TEN,198,2,0,20,13,5,20,0,0,0,0,0,0,17.92,17.92,17.92
Drew Brees,QB,NOR,253,3,0,30,19,1,-1,0,0,0,0,0,0,22.02,22.02,22.02
Teddy Bridgewater,QB,NOR,14,0,0,1,1,3,-3,0,0,0,0,0,0,0.26,0.26,0.26
Jimmy Garoppolo,QB,SFO,285,0,0,22,18,2,4,0,0,0,0,0,0,11.8,11.8,11.8
Marcus Mariota,QB,TEN,24,0,0,1,1,0,0,0,0,0,0,0,0,0.96,0.96,0.96
Jared Goff,QB,LAR,319,3,0,45,29,2,4,0,0,0,0,0,0,25.16,25.16,25.16
Gardner Minshew,QB,JAX,295,3,1,39,27,5,7,0,0,0,0,0,0,22.5,22.5,22.5
Ryan Fitzpatrick,QB,MIA,320,1,0,41,28,5,15,1,0,0,0,0,0,24.3,24.3,24.3
Derek Carr,QB,OAK,391,1,0,46,29,1,0,0,0,0,0,0,0,19.64,19.64,19.64
Russell Wilson,QB,SEA,233,2,0,40,25,8,29,0,0,0,0,0,0,20.22,20.22,20.22
Drew Lock,QB,DEN,177,1,0,28,17,6,29,0,0,0,0,0,1,11.98,11.98,11.98
Tom Brady,QB,NWE,221,2,1,29,16,0,0,0,0,0,0,0,0,14.84,14.84,14.84
Carson Wentz,QB,PHI,289,1,0,40,23,3,15,0,0,0,0,0,0,17.06,17.06,17.06
Albert Wilson,WR,MIA,20,0,0,2,1,0,0,0,5,8,59,0,0,11.7,6.7,9.2
