Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Drew Brees,QB,NOR,307,4,0,30,29,0,0,0,0,0,0,0,0,28.28,28.28,28.28
Russell Wilson,QB,SEA,286,2,0,26,20,3,-1,0,0,0,0,0,0,19.34,19.34,19.34
Lamar Jackson,QB,BAL,212,5,0,23,15,8,86,0,0,0,0,0,0,37.08,37.08,37.08
Jameis Winston,QB,TAM,458,4,1,42,28,2,4,0,0,0,0,0,0,32.72,32.72,32.72
Dak Prescott,QB,DAL,212,2,0,23,15,7,12,0,0,0,0,0,0,17.68,17.68,17.68
Dwayne Haskins,QB,WAS,261,2,0,28,19,3,26,0,0,0,0,0,1,19.04,19.04,19.04
Patrick Mahomes,QB,KAN,340,2,1,34,27,3,11,0,0,0,0,0,0,20.7,20.7,20.7
Carson Wentz,QB,PHI,266,3,0,43,30,3,9,0,0,0,0,0,1,21.54,21.54,21.54
Gardner Minshew,QB,JAX,201,2,0,29,17,5,27,0,0,0,0,0,0,18.74,18.74,18.74
Kyler Murray,QB,ARI,219,1,1,25,19,8,56,0,0,0,0,0,0,16.36,16.36,16.36
Kirk Cousins,QB,MIN,207,1,1,25,19,3,14,0,0,0,0,0,0,11.68,11.68,11.68
Matt Ryan,QB,ATL,210,2,0,39,25,5,27,0,0,0,0,0,0,19.1,19.1,19.1
Ryan Fitzpatrick,QB,MIA,279,2,0,41,23,4,33,0,0,0,0,0,1,20.46,20.46,20.46
Derek Carr,QB,OAK,267,1,0,36,22,1,12,0,0,0,0,0,0,15.88,15.88,15.88
Ryan Tannehill,QB,TEN,279,2,1,36,22,3,10,1,0,0,0,0,0,24.16,24.16,24.16
Deshaun Watson,QB,HOU,243,2,2,27,19,7,32,0,0,0,0,0,0,16.92,16.92,16.92
Jimmy Garoppolo,QB,SFO,200,1,0,34,22,2,6,0,0,0,0,0,0,12.6,12.6,12.6
Baker Mayfield,QB,CLE,247,2,1,43,30,2,11,0,0,0,0,0,0,16.98,16.98,16.98
Eli Manning,QB,NYG,283,2,3,28,20,0,0,0,0,0,0,0,0,13.32,13.32,13.32
Johnny Hekker,P,LAR,5,0,0,1,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2
Tom Brady,QB,NWE,128,2,0,29,15,2,-2,0,0,0,0,0,0,12.92,12.92,12.92
Sam Darnold,QB,NYJ,218,2,1,32,18,1,11,0,0,0,0,0,1,13.82,13.82,13.82
