Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Russell Wilson,QB,SEA,182,2,0,20,14,4,4,0,0,0,0,0,0,15.68,15.68,15.68
Matthew Stafford,QB,DET,342,3,1,32,25,2,-3,0,0,0,0,0,0,23.38,23.38,23.38
Aaron Rodgers,QB,GNB,305,3,0,33,23,6,29,0,0,0,0,0,0,27.1,27.1,27.1
Derek Carr,QB,OAK,285,3,0,30,18,0,0,0,0,0,0,0,0,23.4,23.4,23.4
Daniel Jones,QB,NYG,322,4,0,41,28,4,13,0,0,0,0,0,1,28.18,28.18,28.18
Gardner Minshew,QB,JAX,279,3,0,34,22,8,28,0,0,0,0,0,1,23.96,23.96,23.96
Jared Goff,QB,LAR,372,2,0,31,17,0,0,0,0,0,0,0,0,22.88,22.88,22.88
Drew Brees,QB,NOR,373,3,1,43,34,0,0,0,0,0,0,0,0,24.92,24.92,24.92
Deshaun Watson,QB,HOU,279,3,0,39,27,10,46,0,0,0,0,0,0,27.76,27.76,27.76
Kirk Cousins,QB,MIN,285,0,0,26,23,2,2,0,0,0,0,0,0,11.6,11.6,11.6
Jimmy Garoppolo,QB,SFO,175,2,1,22,18,0,0,0,0,0,0,0,0,13,13,13
Ryan Tannehill,QB,TEN,193,3,0,33,21,4,-3,0,0,0,0,0,0,19.42,19.42,19.42
Matt Moore,QB,KAN,267,2,0,36,24,1,3,0,0,0,0,0,0,18.98,18.98,18.98
Carson Wentz,QB,PHI,172,1,0,24,17,8,35,0,0,0,0,0,0,14.38,14.38,14.38
Matt Schaub,QB,ATL,460,1,1,52,39,0,0,0,0,0,0,0,1,18.4,18.4,18.4
Case Keenum,QB,WAS,130,0,0,16,12,0,0,0,0,0,0,0,1,3.2,3.2,3.2
Tom Brady,QB,NWE,259,2,0,36,20,0,0,0,0,0,0,0,0,18.36,18.36,18.36
Andy Dalton,QB,CIN,329,1,0,52,32,1,4,0,1,1,-4,0,0,18.16,17.16,17.66
Jacoby Brissett,QB,IND,202,0,0,25,15,6,34,0,0,0,0,0,1,9.48,9.48,9.48
Mason Rudolph,QB,PIT,251,2,1,36,20,0,0,0,0,0,0,0,0,16.04,16.04,16.04
Philip Rivers,QB,LAC,201,1,1,29,19,0,0,0,0,0,0,0,0,10.04,10.04,10.04
Josh Allen,QB,BUF,169,2,0,34,16,8,45,0,0,0,0,0,1,17.26,17.26,17.26
Baker Mayfield,QB,CLE,194,1,1,31,20,1,18,0,0,0,0,0,0,11.56,11.56,11.56
Kyler Murray,QB,ARI,220,0,0,33,19,2,13,0,0,0,0,0,0,10.1,10.1,10.1
Joe Flacco,QB,DEN,174,0,0,32,20,1,9,0,0,0,0,0,0,7.86,7.86,7.86
Mitchell Trubisky,QB,CHI,253,0,1,35,23,4,10,0,0,0,0,0,1,7.12,7.12,7.12
Sam Darnold,QB,NYJ,218,2,3,30,21,1,-1,0,0,0,0,0,0,10.62,10.62,10.62
Ryan Fitzpatrick,QB,MIA,190,2,2,34,21,5,17,0,0,0,0,0,1,11.3,11.3,11.3
Jameis Winston,QB,TAM,301,2,2,43,21,8,53,0,0,0,0,0,2,17.34,17.34,17.34
Dwayne Haskins,QB,WAS,33,0,1,5,3,0,0,0,0,0,0,0,0,-0.68,-0.68,-0.68
