Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Dwayne Haskins,QB,WAS,133,2,0,15,12,0,0,0,0,0,0,0,0,13.32,13.32,13.32
Ryan Tannehill,QB,TEN,272,3,0,27,17,1,8,0,0,0,0,0,0,23.68,23.68,23.68
Daniel Jones,QB,NYG,352,5,0,42,28,3,12,0,0,0,0,0,0,35.28,35.28,35.28
Lamar Jackson,QB,BAL,238,3,0,31,20,17,103,0,0,0,0,0,1,29.82,29.82,29.82
Drew Brees,QB,NOR,279,3,0,38,27,3,-3,0,0,0,0,0,0,22.86,22.86,22.86
Derek Carr,QB,OAK,291,1,0,30,26,1,3,1,0,0,0,0,0,21.94,21.94,21.94
Michael Palardy,P,CAR,12,0,0,1,1,0,0,0,0,0,0,0,0,0.48,0.48,0.48
Kelvin Harmon,WR,WAS,11,0,0,1,1,0,0,0,5,6,58,0,0,11.24,6.24,8.74
Patrick Mahomes,QB,KAN,251,2,0,33,23,2,14,1,0,0,0,0,0,25.44,25.44,25.44
Tom Brady,QB,NWE,271,1,0,33,26,4,4,0,0,0,0,0,0,15.24,15.24,15.24
Carson Wentz,QB,PHI,319,1,0,40,31,6,22,0,0,0,0,0,0,18.96,18.96,18.96
Case Keenum,QB,WAS,158,1,0,22,16,1,1,1,0,0,0,0,0,16.42,16.42,16.42
Andy Dalton,QB,CIN,396,4,0,56,33,0,0,0,0,0,0,0,1,29.84,29.84,29.84
Mason Rudolph,QB,PIT,129,1,0,20,14,2,0,0,0,0,0,0,0,9.16,9.16,9.16
Ryan Fitzpatrick,QB,MIA,419,4,1,52,31,5,9,0,0,0,0,0,0,31.66,31.66,31.66
Josh Allen,QB,BUF,208,2,0,26,13,7,43,0,0,0,0,0,0,20.62,20.62,20.62
Drew Lock,QB,DEN,192,1,0,33,25,4,10,0,0,0,0,0,0,12.68,12.68,12.68
Kyler Murray,QB,ARI,118,1,0,18,11,6,40,0,0,0,0,0,0,12.72,12.72,12.72
Logan Cooke,P,JAX,7,0,0,1,1,0,0,0,0,0,0,0,0,0.28,0.28,0.28
Sam Darnold,QB,NYJ,183,1,0,26,16,4,3,0,0,0,0,0,1,9.62,9.62,9.62
Andrew Beck,FB/TE,DEN,6,0,0,1,1,1,3,0,1,1,1,0,0,1.64,0.64,1.14
Philip Rivers,QB,LAC,279,0,0,39,27,0,0,0,0,0,0,0,0,11.16,11.16,11.16
Matt Ryan,QB,ATL,384,1,2,45,32,4,6,0,0,0,0,0,0,15.96,15.96,15.96
Jared Goff,QB,LAR,323,2,1,46,27,4,12,0,0,0,0,0,0,20.12,20.12,20.12
Taysom Hill,QB,NOR,20,0,0,2,1,2,11,0,2,2,21,0,0,6,4,5
Baker Mayfield,QB,CLE,192,2,1,33,20,2,4,0,0,0,0,0,0,14.08,14.08,14.08
Russell Wilson,QB,SEA,169,1,0,31,16,2,2,0,0,0,0,0,0,10.96,10.96,10.96
David Blough,QB,DET,117,1,0,24,12,0,0,0,0,0,0,0,0,8.68,8.68,8.68
Dak Prescott,QB,DAL,265,0,0,44,25,1,7,0,0,0,0,0,0,11.3,11.3,11.3
Gardner Minshew,QB,JAX,181,1,0,31,13,7,36,0,0,0,0,0,0,14.84,14.84,14.84
Jimmy Garoppolo,QB,SFO,248,1,2,27,16,4,5,0,0,0,0,0,0,10.42,10.42,10.42
Aaron Rodgers,QB,GNB,216,0,1,40,26,3,-3,0,0,0,0,0,0,6.34,6.34,6.34
Mitchell Trubisky,QB,CHI,157,0,0,34,18,6,20,0,0,0,0,0,0,8.28,8.28,8.28
Jacoby Brissett,QB,IND,119,0,0,27,14,3,37,1,1,1,2,0,0,15.66,14.66,15.16
Deshaun Watson,QB,HOU,184,0,1,32,19,7,37,0,0,0,0,0,0,9.06,9.06,9.06
Brett Hundley,QB,ARI,49,0,0,9,4,6,35,0,0,0,0,0,0,5.46,5.46,5.46
Kirk Cousins,QB,MIN,122,1,1,31,16,0,0,0,0,0,0,0,0,6.88,6.88,6.88
Jameis Winston,QB,TAM,335,1,4,48,25,2,16,0,0,0,0,0,0,11,11,11
Will Grier,QB,CAR,224,0,3,44,27,4,17,0,0,0,0,0,0,4.66,4.66,4.66
Stefon Diggs,WR,MIN,0,0,0,1,0,0,0,0,3,5,57,1,0,14.7,11.7,13.2
Devlin Hodges,QB,PIT,84,0,2,17,11,1,0,0,0,0,0,0,0,-0.64,-0.64,-0.64
Saquon Barkley,RB,NYG,0,0,0,0,0,22,189,1,4,4,90,1,0,43.9,39.9,41.9
Kenyan Drake,RB,ARI,0,0,0,0,0,24,166,2,3,4,18,0,0,33.4,30.4,31.9
Aaron Jones,RB,GNB,0,0,0,0,0,23,154,2,2,3,6,0,1,28,26,27
Phillip Lindsay,RB,DEN,0,0,0,0,0,19,109,1,2,3,9,0,0,19.8,17.8,18.8
Sony Michel,RB,NWE,0,0,0,0,0,21,96,0,1,2,5,0,0,11.1,10.1,10.6
Marlon Mack,RB,IND,0,0,0,0,0,16,95,1,2,2,6,0,0,18.1,16.1,17.1
DeAndre Washington,RB,OAK,0,0,0,0,0,23,85,1,2,3,21,0,0,18.6,16.6,17.6
Jordan Wilkins,RB,IND,0,0,0,0,0,9,84,1,0,0,0,0,0,14.4,14.4,14.4
Alvin Kamara,RB,NOR,0,0,0,0,0,11,80,2,6,7,30,0,0,29,23,26
Miles Sanders,RB,PHI,0,0,0,0,0,20,79,1,5,6,77,0,0,26.6,21.6,24.1
