Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Jason Witten,TE,DAL,0,0,0,0,0,0,0,0,4,4,33,0,0,7.3,3.3,5.3
T.J. Hockenson,TE,DET,0,0,0,0,0,0,0,0,3,5,32,0,0,6.2,3.2,4.7
Demarcus Robinson,WR,KAN,0,0,0,0,0,0,0,0,3,5,31,0,0,6.1,3.1,4.6
Trey Quinn,WR,WAS,0,0,0,0,0,0,0,0,2,3,30,0,0,5,3,4
Calvin Ridley,WR,ATL,0,0,0,0,0,0,0,0,4,6,30,0,0,7,3,5
Randall Cobb,WR,DAL,0,0,0,0,0,0,0,0,2,3,29,0,0,4.9,2.9,3.9
Pharoh Cooper,WR,ARI,0,0,0,0,0,0,0,0,4,4,29,0,0,6.9,2.9,4.9
Mecole Hardman,WR,KAN,0,0,0,0,0,0,0,0,2,3,28,1,0,10.8,8.8,9.8
Darius Slayton,WR,NYG,0,0,0,0,0,0,0,0,2,2,28,0,0,4.8,2.8,3.8
Darren Fells,TE,HOU,0,0,0,0,0,0,0,0,2,2,27,0,0,4.7,2.7,3.7
Anthony Firkser,TE,TEN,0,0,0,0,0,0,0,0,1,1,27,0,0,3.7,2.7,3.2
Jamison Crowder,WR,NYJ,0,0,0,0,0,0,0,0,4,5,26,0,0,6.6,2.6,4.6
Trevor Davis,WR,OAK,0,0,0,0,0,0,0,0,2,2,26,0,0,4.6,2.6,3.6
Adam Thielen,WR,MIN,0,0,0,0,0,0,0,0,1,2,25,1,0,9.5,8.5,9
Nelson Agholor,WR,PHI,0,0,0,0,0,0,0,0,2,3,24,0,0,4.4,2.4,3.4
Foster Moreau,TE,OAK,0,0,0,0,0,0,0,0,2,3,24,1,0,10.4,8.4,9.4
Chester Rogers,WR,IND,0,0,0,0,0,0,0,0,2,2,24,0,0,4.4,2.4,3.4
Adam Shaheen,TE,CHI,0,0,0,0,0,0,0,0,2,2,24,0,0,4.4,2.4,3.4
Malik Turner,WR,SEA,0,0,0,0,0,0,0,0,1,1,24,0,0,3.4,2.4,2.9
Nick Scott,S,LAR,0,0,0,0,0,0,0,0,1,1,23,0,0,3.3,2.3,2.8
Duke Williams,WR,BUF,0,0,0,0,0,0,0,0,1,1,23,0,0,3.3,2.3,2.8
Derek Carrier,TE,OAK,0,0,0,0,0,0,0,0,2,4,22,0,0,4.2,2.2,3.2
Andy Janovich,FB,DEN,0,0,0,0,0,0,0,0,1,1,22,0,0,3.2,2.2,2.7
Dawson Knox,TE,BUF,0,0,0,0,0,0,0,0,2,5,22,0,0,4.2,2.2,3.2
Albert Wilson,WR,MIA,0,0,0,0,0,0,0,0,1,2,22,0,0,3.2,2.2,2.7
Jack Doyle,TE,IND,0,0,0,0,0,0,0,0,3,5,21,0,0,5.1,2.1,3.6
Kenny Golladay,WR,DET,0,0,0,0,0,0,0,0,1,2,21,0,0,3.1,2.1,2.6
Nick Boyle,TE,BAL,0,0,0,0,0,0,0,0,1,1,20,0,0,3,2,2.5
Jacob Hollister,TE,SEA,0,0,0,0,0,0,0,0,3,6,20,0,0,5,2,3.5
Justin Hardy,WR,ATL,0,0,0,0,0,0,0,0,2,2,19,0,0,3.9,1.9,2.9
Tajae Sharpe,WR,TEN,0,0,0,0,0,0,0,0,2,3,19,1,0,9.9,7.9,8.9
Ben Watson,TE,NWE,0,0,0,0,0,0,0,0,3,5,18,0,0,4.8,1.8,3.3
Jordan Akins,TE,HOU,0,0,0,0,0,0,0,0,2,2,17,0,0,3.7,1.7,2.7
Cole Beasley,WR,BUF,0,0,0,0,0,0,0,0,3,6,16,1,0,10.6,7.6,9.1
David Moore,WR,SEA,0,0,0,0,0,0,0,0,1,3,14,0,0,2.4,1.4,1.9
Hunter Renfrow,WR,OAK,0,0,0,0,0,0,0,0,2,3,14,0,0,3.4,1.4,2.4
Russell Gage,WR,ATL,0,0,0,0,0,0,0,0,1,2,13,0,1,0.3,-0.7,-0.2
Jeremy Sprinkle,TE,WAS,0,0,0,0,0,0,0,0,2,2,13,0,0,3.3,1.3,2.3
Charles Clay,TE,ARI,0,0,0,0,0,0,0,0,1,2,12,0,0,2.2,1.2,1.7
Larry Fitzgerald,WR,ARI,0,0,0,0,0,0,0,0,1,3,12,0,0,2.2,1.2,1.7
Trey Burton,TE,CHI,0,0,0,0,0,0,0,0,2,4,11,0,0,3.1,1.1,2.1
Kevin Byard,FS,TEN,0,0,0,0,0,0,0,0,1,1,11,0,0,2.1,1.1,1.6
Isaiah McKenzie,WR,BUF,0,0,0,0,0,0,0,0,2,3,11,0,0,3.1,1.1,2.1
Terry McLaurin,WR,WAS,0,0,0,0,0,0,0,0,1,2,11,0,0,2.1,1.1,1.6
Robby Anderson,WR,NYJ,0,0,0,0,0,0,0,0,1,8,10,0,0,2,1,1.5
Tyler Eifert,TE,CIN,0,0,0,0,0,0,0,0,2,2,10,0,0,3,1,2
Hayden Hurst,TE,BAL,0,0,0,0,0,0,0,0,1,2,10,0,0,2,1,1.5
Virgil Green,TE,LAC,0,0,0,0,0,0,0,0,1,1,9,0,0,1.9,0.9,1.4
Seth Roberts,WR,BAL,0,0,0,0,0,0,0,0,1,4,9,0,0,1.9,0.9,1.4
Lee Smith,TE,BUF,0,0,0,0,0,0,0,0,1,1,9,0,0,1.9,0.9,1.4
Tyler Higbee,TE,LAR,0,0,0,0,0,0,0,0,1,1,8,0,0,1.8,0.8,1.3
Andy Isabella,WR,ARI,0,0,0,0,0,0,0,0,2,2,8,0,0,2.8,0.8,1.8
Noah Fant,TE,DEN,0,0,0,0,0,0,0,0,1,5,7,0,0,1.7,0.7,1.2
Jesse James,TE,DET,0,0,0,0,0,0,0,0,1,4,7,0,0,1.7,0.7,1.2
Evan Engram,TE,NYG,0,0,0,0,0,0,0,0,1,5,6,0,0,1.6,0.6,1.1
Will Fuller,WR,HOU,0,0,0,0,0,0,0,0,1,1,6,0,0,1.6,0.6,1.1
Taylor Gabriel,WR,CHI,0,0,0,0,0,0,0,0,1,2,6,0,0,1.6,0.6,1.1
KeeSean Johnson,WR,ARI,0,0,0,0,0,0,0,0,1,2,6,0,0,1.6,0.6,1.1
Dwayne Washington,RB,NOR,0,0,0,0,0,0,0,0,1,1,6,0,0,1.6,0.6,1.1
Javon Wims,WR,CHI,0,0,0,0,0,0,0,0,1,1,6,1,0,7.6,6.6,7.1
Diontae Spencer,WR,DEN,0,0,0,0,0,0,0,0,1,1,5,0,0,1.5,0.5,1
Maxx Williams,TE,ARI,0,0,0,0,0,0,0,0,1,1,5,0,0,1.5,0.5,1
Damiere Byrd,WR,ARI,0,0,0,0,0,0,0,0,1,2,4,0,0,1.4,0.4,0.9
DaeSean Hamilton,WR,DEN,0,0,0,0,0,0,0,0,2,5,4,0,0,2.4,0.4,1.4
Trent Sherfield,WR,ARI,0,0,0,0,0,0,0,0,1,1,4,0,0,1.4,0.4,0.9
Chris Moore,WR/RS,BAL,0,0,0,0,0,0,0,0,1,1,3,0,0,1.3,0.3,0.8
Drew Sample,TE,CIN,0,0,0,0,0,0,0,0,1,1,3,0,0,1.3,0.3,0.8
Mohamed Sanu,WR,ATL,0,0,0,0,0,0,0,0,1,2,3,0,0,1.3,0.3,0.8
Keelan Cole,WR,JAX,0,0,0,0,0,0,0,0,1,2,2,1,0,7.2,6.2,6.7
Ross Dwelley,TE,SFO,0,0,0,0,0,0,0,0,1,3,2,0,0,1.2,0.2,0.7
Levine Toilolo,TE,SFO,0,0,0,0,0,0,0,0,1,1,2,0,0,1.2,0.2,0.7
Braxton Berrios,WR,NYJ,0,0,0,0,0,0,0,0,1,1,1,0,1,-0.9,-1.9,-1.4
Ryan Griffin,TE,NYJ,0,0,0,0,0,0,0,0,1,2,1,0,0,1.1,0.1,0.6
Blake Jarwin,TE,DAL,0,0,0,0,0,0,0,0,1,1,1,1,0,7.1,6.1,6.6
Eric Tomlinson,TE,NWE,0,0,0,0,0,0,0,0,1,1,1,0,0,1.1,0.1,0.6
Ryan Kalil,C,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De'Anthony Thomas,WR,KAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
