Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
John Brown,WR,BUF,28,1,0,1,1,0,0,0,3,4,26,0,0,10.72,7.72,9.22
Deshaun Watson,QB,HOU,234,3,0,25,18,4,-1,0,1,1,6,1,0,28.86,27.86,28.36
DeAndre Hopkins,WR,HOU,6,1,0,1,1,0,0,0,5,8,64,0,0,15.64,10.64,13.14
Ryan Tannehill,QB,TEN,182,2,0,22,17,4,5,0,0,0,0,0,1,13.78,13.78,13.78
Aaron Rodgers,QB,GNB,243,4,0,33,21,3,24,0,0,0,0,0,0,28.12,28.12,28.12
Josh Allen,QB,BUF,231,1,0,24,19,10,43,1,0,0,0,0,0,23.54,23.54,23.54
Jared Goff,QB,LAR,424,2,0,43,32,0,0,0,0,0,0,0,0,24.96,24.96,24.96
Matt Haack,P,MIA,1,1,0,1,1,0,0,0,0,0,0,0,0,4.04,4.04,4.04
Mitchell Trubisky,QB,CHI,338,3,1,38,29,4,4,0,0,0,0,0,0,23.92,23.92,23.92
Ryan Fitzpatrick,QB,MIA,365,3,1,39,27,3,2,0,0,0,0,0,0,24.8,24.8,24.8
Jimmy Garoppolo,QB,SFO,165,1,0,21,15,3,5,0,0,0,0,0,1,9.1,9.1,9.1
Philip Rivers,QB,LAC,265,2,1,29,20,0,0,0,0,0,0,0,0,16.6,16.6,16.6
Russell Wilson,QB,SEA,240,2,1,31,21,4,13,0,0,0,0,0,0,16.9,16.9,16.9
Devlin Hodges,QB,PIT,212,1,1,21,14,5,2,0,0,0,0,0,0,10.68,10.68,10.68
Carson Wentz,QB,PHI,310,3,1,46,28,0,0,0,0,0,0,0,0,22.4,22.4,22.4
Dak Prescott,QB,DAL,355,2,1,49,32,4,25,0,0,0,0,0,1,20.7,20.7,20.7
Jameis Winston,QB,TAM,268,0,0,33,21,6,20,0,0,0,0,0,1,10.72,10.72,10.72
Drew Brees,QB,NOR,184,1,0,30,18,1,-1,0,0,0,0,0,0,11.26,11.26,11.26
Andy Dalton,QB,CIN,243,1,0,37,22,5,-4,0,0,0,0,0,0,13.32,13.32,13.32
David Blough,QB,DET,280,2,1,38,22,1,1,0,0,0,0,0,0,17.3,17.3,17.3
Kirk Cousins,QB,MIN,276,2,1,38,22,0,0,0,0,0,0,0,0,17.04,17.04,17.04
Lamar Jackson,QB,BAL,105,1,0,23,14,16,101,1,0,0,0,0,1,22.3,22.3,22.3
Tom Brady,QB,NWE,326,3,1,47,24,1,13,0,0,0,0,0,0,24.34,24.34,24.34
Drew Lock,QB,DEN,134,2,1,28,18,3,15,0,0,0,0,0,0,12.86,12.86,12.86
Matt Ryan,QB,ATL,312,2,2,50,35,3,21,0,0,0,0,0,1,16.58,16.58,16.58
Patrick Mahomes,QB,KAN,175,1,0,29,15,3,25,1,0,0,0,0,0,19.5,19.5,19.5
Kyle Allen,QB,CAR,278,2,1,46,27,4,22,1,0,0,0,0,1,23.32,23.32,23.32
Jacoby Brissett,QB,IND,319,1,2,40,25,1,-1,0,0,0,0,0,0,12.66,12.66,12.66
Baker Mayfield,QB,CLE,196,1,1,32,18,1,2,0,0,0,0,0,1,8.04,8.04,8.04
Derek Carr,QB,OAK,222,1,2,30,20,3,7,0,0,0,0,0,0,9.58,9.58,9.58
Sam Darnold,QB,NYJ,239,0,0,48,28,2,9,0,0,0,0,0,0,10.46,10.46,10.46
Gardner Minshew,QB,JAX,147,1,1,27,16,2,8,0,0,0,0,0,0,8.68,8.68,8.68
Dwayne Haskins,QB,WAS,147,0,0,25,13,4,6,0,0,0,0,0,0,6.48,6.48,6.48
Kyler Murray,QB,ARI,163,0,1,34,19,4,28,1,0,0,0,0,0,13.32,13.32,13.32
Blake Bortles,QB,LAR,3,0,0,2,1,1,-10,0,0,0,0,0,0,-0.88,-0.88,-0.88
Daniel Jones,QB,NYG,240,1,3,37,20,5,6,0,0,0,0,0,0,8.2,8.2,8.2
Nick Foles,QB,JAX,93,0,1,14,7,1,3,0,0,0,0,0,2,-1.98,-1.98,-1.98
Garrett Gilbert,QB,CLE,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Taysom Hill,QB,NOR,0,0,0,1,0,2,33,1,2,2,12,1,0,18.5,16.5,17.5
