Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Kyle Allen,QB,CAR,261,4,0,26,19,3,-1,0,0,0,0,0,1,24.34,24.34,24.34
Deshaun Watson,QB,HOU,351,3,0,34,25,7,18,0,0,0,0,0,1,25.84,25.84,25.84
Patrick Mahomes,QB,KAN,374,3,0,37,27,4,9,0,0,0,0,0,0,27.86,27.86,27.86
Matt Ryan,QB,ATL,304,3,1,34,29,2,3,0,0,0,0,0,0,22.46,22.46,22.46
Ryan Fitzpatrick,QB,MIA,29,0,0,2,2,0,0,0,0,0,0,0,0,1.16,1.16,1.16
Jacoby Brissett,QB,IND,310,2,0,37,28,3,4,0,0,0,0,0,0,20.8,20.8,20.8
Mitchell Trubisky,QB,CHI,231,3,1,31,25,1,2,0,0,0,0,0,0,19.44,19.44,19.44
Teddy Bridgewater,QB,NOR,177,2,0,27,19,3,12,0,0,0,0,0,0,16.28,16.28,16.28
Daniel Jones,QB,NYG,336,2,0,36,23,4,28,2,0,0,0,0,2,32.24,32.24,32.24
Jameis Winston,QB,TAM,380,3,1,37,23,4,3,0,0,0,0,0,0,25.5,25.5,25.5
Kirk Cousins,QB,MIN,174,1,0,21,15,4,16,0,0,0,0,0,0,12.56,12.56,12.56
Gardner Minshew,QB,JAX,204,2,0,30,20,4,18,0,0,0,0,0,0,17.96,17.96,17.96
Tom Brady,QB,NWE,306,2,0,42,28,2,-1,0,0,0,0,0,0,20.14,20.14,20.14
Derek Carr,QB,OAK,242,2,1,34,27,1,0,0,0,0,0,0,0,15.68,15.68,15.68
Russell Wilson,QB,SEA,406,2,0,50,32,7,51,2,0,0,0,0,0,41.34,41.34,41.34
Philip Rivers,QB,LAC,318,2,0,46,31,2,9,0,0,0,0,0,1,19.62,19.62,19.62
Aaron Rodgers,QB,GNB,235,1,0,29,17,1,-1,0,0,0,0,0,0,13.3,13.3,13.3
Carson Wentz,QB,PHI,259,2,0,36,19,4,33,0,0,0,0,0,0,21.66,21.66,21.66
Dak Prescott,QB,DAL,246,2,1,32,19,2,7,1,0,0,0,0,0,22.54,22.54,22.54
Matthew Stafford,QB,DET,201,1,0,32,18,3,1,0,0,0,0,0,0,12.14,12.14,12.14
Jimmy Garoppolo,QB,SFO,277,1,2,32,23,6,3,0,0,0,0,0,1,9.38,9.38,9.38
