Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Ryan Tannehill,QB,TEN,259,2,0,18,14,7,40,2,0,0,0,0,1,32.36,32.36,32.36
Jimmy Garoppolo,QB,SFO,253,2,0,20,14,2,1,0,0,0,0,0,0,18.22,18.22,18.22
Lamar Jackson,QB,BAL,169,5,0,20,15,8,95,0,0,0,0,0,0,36.26,36.26,36.26
Sam Darnold,QB,NYJ,315,2,0,29,20,4,16,1,0,0,0,0,0,28.2,28.2,28.2
Baker Mayfield,QB,CLE,327,3,1,34,24,2,5,0,0,0,0,0,0,23.58,23.58,23.58
Devlin Hodges,QB,PIT,118,1,0,11,5,3,1,0,0,0,0,0,0,8.82,8.82,8.82
Drew Brees,QB,NOR,311,3,1,39,30,0,0,0,0,0,0,0,0,22.44,22.44,22.44
Kyle Allen,QB,CAR,256,3,0,36,23,1,9,0,0,0,0,0,0,23.14,23.14,23.14
Matt Schaub,QB,ATL,55,1,0,9,5,0,0,0,0,0,0,0,0,6.2,6.2,6.2
Jameis Winston,QB,TAM,313,3,2,28,18,8,38,0,0,0,0,0,0,24.32,24.32,24.32
Deshaun Watson,QB,HOU,298,2,1,30,19,3,10,0,0,0,0,0,0,18.92,18.92,18.92
Josh Allen,QB,BUF,185,2,1,25,15,9,56,0,0,0,0,0,0,19,19,19
Daniel Jones,QB,NYG,150,2,0,36,21,2,27,0,0,0,0,0,1,14.7,14.7,14.7
Ryan Finley,QB,CIN,192,1,0,26,12,2,8,0,0,0,0,0,1,10.48,10.48,10.48
Robert Griffin,QB,BAL,39,0,0,3,1,3,-3,0,0,0,0,0,0,1.26,1.26,1.26
Nick Foles,QB,JAX,272,0,0,48,32,3,20,0,0,0,0,0,0,12.88,12.88,12.88
Tim Boyle,QB,GNB,15,0,0,4,3,0,0,0,0,0,0,0,0,0.6,0.6,0.6
Jacoby Brissett,QB,IND,129,0,0,25,16,4,20,1,0,0,0,0,0,13.16,13.16,13.16
Aaron Rodgers,QB,GNB,104,1,0,33,20,3,13,0,0,0,0,0,1,7.46,7.46,7.46
Carson Wentz,QB,PHI,256,1,2,45,33,5,27,0,0,0,0,0,2,8.94,8.94,8.94
Russell Wilson,QB,SEA,200,1,1,25,13,3,15,0,0,0,0,0,1,9.5,9.5,9.5
Tom Brady,QB,NWE,190,1,0,37,17,2,-3,0,0,0,0,0,0,11.3,11.3,11.3
Mitchell Trubisky,QB,CHI,278,1,2,41,25,7,18,1,0,0,0,0,0,18.92,18.92,18.92
Ryan Fitzpatrick,QB,MIA,214,2,2,39,21,5,45,1,0,0,0,0,0,23.06,23.06,23.06
Dak Prescott,QB,DAL,212,0,1,33,19,1,4,0,0,0,0,0,0,6.88,6.88,6.88
Mike Glennon,QB,OAK,20,0,0,7,4,2,0,0,0,0,0,0,1,-1.2,-1.2,-1.2
Jared Goff,QB,LAR,212,0,2,37,26,1,-1,0,0,0,0,0,0,4.38,4.38,4.38
Matt Ryan,QB,ATL,271,0,1,46,23,1,8,0,0,0,0,0,1,7.64,7.64,7.64
Derek Carr,QB,OAK,127,0,1,27,15,1,11,0,0,0,0,0,0,4.18,4.18,4.18
Jeff Driskel,QB,DET,207,1,3,33,20,9,63,0,0,0,0,0,0,12.58,12.58,12.58
Dwayne Haskins,QB,WAS,156,0,1,29,13,3,28,0,0,0,0,0,1,5.04,5.04,5.04
Mason Rudolph,QB,PIT,85,0,1,16,8,4,4,0,0,0,0,0,0,1.8,1.8,1.8
Steven Sims,WR,WAS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Allen,QB,DEN,82,0,1,25,10,2,8,0,0,0,0,0,0,2.08,2.08,2.08
Derrick Henry,RB,TEN,0,0,0,0,0,19,159,2,1,1,16,0,1,28.5,27.5,28
Rashaad Penny,RB,SEA,0,0,0,0,0,14,129,1,0,0,0,0,0,18.9,18.9,18.9
Mark Ingram,RB,BAL,0,0,0,0,0,15,111,1,1,1,7,1,0,24.8,23.8,24.3
Nick Chubb,RB,CLE,0,0,0,0,0,21,106,1,3,3,58,0,0,25.4,22.4,23.9
Devin Singletary,RB,BUF,0,0,0,0,0,21,106,0,1,2,8,0,0,12.4,11.4,11.9
Jonathan Williams,RB,IND,0,0,0,0,0,26,104,1,3,3,17,0,0,21.1,18.1,19.6
Bo Scarbrough,RB,DET,0,0,0,0,0,18,98,0,0,0,0,0,1,7.8,7.8,7.8
Benny Snell,RB,PIT,0,0,0,0,0,21,98,0,1,1,5,0,0,11.3,10.3,10.8
Leonard Fournette,RB,JAX,0,0,0,0,0,24,97,2,9,12,62,0,0,36.9,27.9,32.4
Ezekiel Elliott,RB,DAL,0,0,0,0,0,21,86,0,4,4,40,0,0,16.6,12.6,14.6
Sony Michel,RB,NWE,0,0,0,0,0,20,85,0,0,0,0,0,0,8.5,8.5,8.5
Joe Mixon,RB,CIN,0,0,0,0,0,18,79,0,0,0,0,0,0,7.9,7.9,7.9
Carlos Hyde,RB,HOU,0,0,0,0,0,16,67,0,0,0,0,0,0,6.7,6.7,6.7
Frank Gore,RB,BUF,0,0,0,0,0,15,65,0,0,0,0,0,0,6.5,6.5,6.5
Christian McCaffrey,RB,CAR,0,0,0,0,0,22,64,1,9,9,69,1,0,34.3,25.3,29.8
Latavius Murray,RB,NOR,0,0,0,0,0,7,64,1,0,0,0,0,0,12.4,12.4,12.4
Miles Sanders,RB,PHI,0,0,0,0,0,12,63,0,3,5,23,0,0,11.6,8.6,10.1
Saquon Barkley,RB,NYG,0,0,0,0,0,17,59,0,2,3,1,0,0,8,6,7
Phillip Lindsay,RB,DEN,0,0,0,0,0,13,57,0,1,3,11,0,0,7.8,6.8,7.3
Gus Edwards,RB,BAL,0,0,0,0,0,14,55,0,0,0,0,0,0,5.5,5.5,5.5
Alvin Kamara,RB,NOR,0,0,0,0,0,11,54,0,9,9,48,0,0,19.2,10.2,14.7
Nyheim Hines,RB,IND,0,0,0,0,0,9,51,0,2,3,10,0,0,8.1,6.1,7.1
Ronald Jones,RB,TAM,0,0,0,0,0,12,51,1,3,3,16,0,0,15.7,12.7,14.2
Le'Veon Bell,RB,NYJ,0,0,0,0,0,12,49,0,5,5,59,0,0,15.8,10.8,13.3
Raheem Mostert,RB,SFO,0,0,0,0,0,6,45,1,1,3,22,0,0,13.7,12.7,13.2
Jamaal Williams,RB,GNB,0,0,0,0,0,11,45,0,7,8,35,0,0,15,8,11.5
Kerrith Whyte,RB,PIT,0,0,0,0,0,6,43,0,0,0,0,0,0,4.3,4.3,4.3
Curtis Samuel,WR,CAR,0,0,0,0,0,4,40,0,1,4,9,0,0,5.9,4.9,5.4
Tevin Coleman,RB,SFO,0,0,0,0,0,11,39,1,2,4,10,0,0,12.9,10.9,11.9
Aaron Jones,RB,GNB,0,0,0,0,0,13,38,0,0,0,0,0,0,3.8,3.8,3.8
Kareem Hunt,RB,CLE,0,0,0,0,0,8,37,1,2,3,9,0,0,12.6,10.6,11.6
Josh Jacobs,RB,OAK,0,0,0,0,0,10,34,0,1,1,2,0,0,4.6,3.6,4.1
Peyton Barber,RB,TAM,0,0,0,0,0,11,32,0,0,0,0,0,0,3.2,3.2,3.2
Derrius Guice,RB,WAS,0,0,0,0,0,10,32,0,1,2,6,0,0,4.8,3.8,4.3
Justice Hill,RB,BAL,0,0,0,0,0,8,27,0,0,0,0,0,0,2.7,2.7,2.7
Adrian Peterson,RB,WAS,0,0,0,0,0,10,27,0,1,1,22,0,0,5.9,4.9,5.4
Jeff Wilson,RB,SFO,0,0,0,0,0,2,27,0,0,0,0,0,0,2.7,2.7,2.7
Chris Carson,RB,SEA,0,0,0,0,0,8,26,0,4,4,31,0,0,9.7,5.7,7.7
Tarik Cohen,RB,CHI,0,0,0,0,0,6,25,0,7,9,29,0,0,12.4,5.4,8.9
Robert Foster,WR,BUF,0,0,0,0,0,1,22,0,1,1,24,0,0,5.6,4.6,5.1
Todd Gurley,RB,LAR,0,0,0,0,0,6,22,0,3,3,-3,0,0,4.9,1.9,3.4
Duke Johnson,RB,HOU,0,0,0,0,0,5,22,0,1,1,8,0,0,4,3,3.5
David Montgomery,RB,CHI,0,0,0,0,0,13,22,0,2,3,9,0,0,5.1,3.1,4.1
Sterling Shepard,WR,NYG,0,0,0,0,0,1,22,0,5,9,15,0,0,8.7,3.7,6.2
Allen Lazard,WR,GNB,0,0,0,0,0,1,21,0,1,2,7,0,0,3.8,2.8,3.3
Dion Lewis,RB,TEN,0,0,0,0,0,5,21,0,1,2,24,0,0,5.5,4.5,5
Royce Freeman,RB,DEN,0,0,0,0,0,2,20,0,2,2,9,0,0,4.9,2.9,3.9
Patrick Laird,RB,MIA,0,0,0,0,0,3,20,0,0,0,0,0,0,2,2,2
Qadree Ollison,RB,ATL,0,0,0,0,0,8,20,1,1,1,7,0,0,9.7,8.7,9.2
Tony Pollard,RB,DAL,0,0,0,0,0,4,19,0,3,4,9,0,0,5.8,2.8,4.3
DeAndre Washington,RB,OAK,0,0,0,0,0,6,19,0,1,1,0,0,0,2.9,1.9,2.4
Jay Ajayi,RB,PHI,0,0,0,0,0,6,16,0,0,0,0,0,0,1.6,1.6,1.6
Bilal Powell,RB,NYJ,0,0,0,0,0,5,15,0,1,2,5,0,0,3,2,2.5
Calvin Ridley,WR,ATL,0,0,0,0,0,1,15,0,6,14,85,1,0,22,16,19
Brian Hill,RB,ATL,0,0,0,0,0,9,14,0,3,4,13,0,0,5.7,2.7,4.2
Kalen Ballage,RB,MIA,0,0,0,0,0,7,13,0,1,1,13,0,0,3.6,2.6,3.1
Dare Ogunbowale,RB,TAM,0,0,0,0,0,1,12,0,0,0,0,0,0,1.2,1.2,1.2
Brandon Bolden,RB,NWE,0,0,0,0,0,1,11,0,0,0,0,0,0,1.1,1.1,1.1
Ty Johnson,RB,DET,0,0,0,0,0,4,11,0,2,2,10,0,0,4.1,2.1,3.1
Myles Gaskin,RB,MIA,0,0,0,0,0,4,10,0,1,1,7,0,0,2.7,1.7,2.2
D.J. Moore,WR,CAR,0,0,0,0,0,1,8,0,6,9,126,2,0,31.4,25.4,28.4
Trey Edmunds,RB,PIT,0,0,0,0,0,2,7,0,0,0,0,0,0,0.7,0.7,0.7
Josh Adams,RB,NYJ,0,0,0,0,0,4,6,0,0,0,0,0,0,0.6,0.6,0.6
Jaylen Samuels,RB,PIT,0,0,0,0,0,2,6,0,3,3,26,0,0,6.2,3.2,4.7
James White,RB,NWE,0,0,0,0,0,2,5,0,1,3,-6,0,0,0.9,-0.1,0.4
David Moore,WR,SEA,0,0,0,0,0,1,4,0,1,2,31,0,0,4.5,3.5,4
Jalen Richard,RB,OAK,0,0,0,0,0,2,4,0,6,7,47,0,0,11.1,5.1,8.1
Jonnu Smith,TE,TEN,0,0,0,0,0,1,4,0,0,0,0,0,0,0.4,0.4,0.4
Albert Wilson,WR,MIA,0,0,0,0,0,1,4,0,6,7,33,0,0,9.7,3.7,6.7
Rex Burkhead,RB,NWE,0,0,0,0,0,2,3,0,2,5,14,0,0,3.7,1.7,2.7
J.D. McKissic,RB,DET,0,0,0,0,0,1,3,0,2,2,17,0,0,4,2,3
T.J. Logan,RB,TAM,0,0,0,0,0,1,2,0,0,0,0,0,0,0.2,0.2,0.2
Ty Montgomery,RB,NYJ,0,0,0,0,0,5,2,0,1,2,21,0,0,3.3,2.3,2.8
Brandin Cooks,WR,LAR,0,0,0,0,0,1,1,0,2,4,32,0,0,5.3,3.3,4.3
Wayne Gallman,RB,NYG,0,0,0,0,0,1,1,0,0,0,0,0,0,0.1,0.1,0.1
Alex Armah,FB,CAR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Malcolm Brown,RB,LAR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alec Ingold,FB,OAK,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Richie James,WR,SFO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Giovani Bernard,RB,CIN,0,0,0,0,0,1,-1,0,3,3,31,0,0,6,3,4.5
Garrett Gilbert,QB,CLE,0,0,0,0,0,1,-1,0,0,0,0,0,0,-0.1,-0.1,-0.1
Case Keenum,QB,WAS,0,0,0,0,0,1,-1,0,0,0,0,0,0,-0.1,-0.1,-0.1
Scott Miller,WR,TAM,0,0,0,0,0,1,-2,0,1,1,8,0,0,1.6,0.6,1.1
Isaiah McKenzie,WR,BUF,0,0,0,0,0,1,-5,0,2,3,13,0,0,2.8,0.8,1.8
Kalif Raymond,WR,TEN,0,0,0,0,0,1,-5,0,1,1,14,0,0,1.9,0.9,1.4
Chris Godwin,WR,TAM,0,0,0,0,0,0,0,0,7,8,184,2,0,37.4,30.4,33.9
Jarvis Landry,WR,CLE,0,0,0,0,0,0,0,0,10,13,148,2,0,36.8,26.8,31.8
Will Fuller,WR,HOU,0,0,0,0,0,0,0,0,7,11,140,0,0,21,14,17.5
A.J. Brown,WR,TEN,0,0,0,0,0,0,0,0,4,5,135,1,0,23.5,19.5,21.5
