,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Antwaan Randle El,WAS,WR,48.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,53.0,0.0,nfl_hist,antwaanrandleel
1,Vinny Testaverde,NWE,3QB,29.0,1.0,0.0,3.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,vinnytestaverde
2,A.J. Feeley,PHI,QB,321.0,3.0,0.0,33.0,22.0,1.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,ajfeeley
3,Jake Delhomme,CAR,QB,207.0,2.0,0.0,27.0,23.0,3.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,jakedelhomme
4,Brad Maynard,CHI,P,37.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,bradmaynard
5,Philip Rivers,SDG,QB,231.0,2.0,1.0,24.0,19.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,philiprivers
6,Brad Johnson,MIN,QB,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,bradjohnson
7,Kurt Warne,ARI,QB,356.0,1.0,0.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,kurtwarne
8,Tony Romo,DAL,QB,321.0,2.0,1.0,32.0,23.0,4.0,16.0,0.0,0.0,0.0,0.0,nfl_hist,tonyromo
9,Jon Kitna,DET,QB,306.0,4.0,1.0,42.0,28.0,5.0,25.0,0.0,0.0,0.0,0.0,nfl_hist,jonkitna
10,Damon Huard,KAN,QB,54.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,damonhuard
11,Tom Brady,NWE,QB,225.0,1.0,0.0,24.0,15.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
12,Drew Brees,NOR,QB,46.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
