,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Michael Vick,ATL,QB,291.0,3.0,0.0,27.0,19.0,9.0,55.0,0.0,0.0,0.0,0.0,nfl_hist,michaelvick
1,Rex Grossman,CHI,QB,252.0,3.0,0.0,29.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,rexgrossman
2,Peyton Manning,IND,QB,345.0,3.0,0.0,39.0,32.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
3,Damon Huard,KAN,QB,312.0,1.0,0.0,25.0,17.0,3.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,damonhuard
4,Steve McNai,BAL,QB,159.0,2.0,0.0,23.0,17.0,5.0,23.0,1.0,0.0,0.0,0.0,nfl_hist,stevemcnai
5,Sage Rosenfels,HOU,QB,186.0,3.0,1.0,25.0,18.0,1.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,sagerosenfels
6,Tom Brady,NWE,QB,372.0,4.0,1.0,43.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
7,Marc Bulge,STL,QB,327.0,2.0,0.0,40.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,marcbulge
8,Philip Rivers,SDG,QB,206.0,1.0,0.0,23.0,15.0,4.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,philiprivers
9,Carson Palme,CIN,QB,266.0,2.0,0.0,36.0,24.0,1.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,carsonpalme
10,Jake Plumme,DEN,QB,174.0,1.0,0.0,21.0,13.0,5.0,22.0,1.0,0.0,0.0,0.0,nfl_hist,jakeplumme
11,Brett Favre,GNB,QB,180.0,1.0,0.0,25.0,17.0,4.0,-5.0,1.0,0.0,0.0,0.0,nfl_hist,brettfavre
12,Vince Young,TEN,QB,87.0,1.0,0.0,15.0,7.0,4.0,44.0,1.0,0.0,0.0,0.0,nfl_hist,vinceyoung
13,Tony Romo,DAL,QB,270.0,1.0,1.0,36.0,24.0,4.0,18.0,0.0,0.0,0.0,0.0,nfl_hist,tonyromo
14,Charlie Frye,CLE,QB,141.0,1.0,1.0,22.0,15.0,5.0,19.0,0.0,0.0,0.0,0.0,nfl_hist,charliefrye
15,Seneca Wallace,SEA,QB,198.0,3.0,2.0,30.0,15.0,3.0,21.0,0.0,0.0,0.0,0.0,nfl_hist,senecawallace
16,Eli Manning,NYG,QB,154.0,1.0,0.0,31.0,16.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,elimanning
17,Drew Brees,NOR,QB,383.0,3.0,3.0,45.0,24.0,3.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
18,Brian Griese,CHI,QB,11.0,0.0,0.0,3.0,2.0,2.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,briangriese
19,David Garrard,JAX,QB,87.0,0.0,0.0,17.0,10.0,8.0,36.0,0.0,0.0,0.0,0.0,nfl_hist,davidgarrard
20,Donovan McNabb,PHI,QB,161.0,0.0,0.0,34.0,18.0,5.0,37.0,0.0,0.0,0.0,0.0,nfl_hist,donovanmcnabb
21,David Ca,HOU,QB,113.0,0.0,1.0,21.0,15.0,1.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,davidca
22,Ben Roethlisberge,PIT,QB,301.0,1.0,4.0,37.0,25.0,1.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,benroethlisberge
23,Jake Delhomme,CAR,QB,149.0,0.0,1.0,31.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,jakedelhomme
24,Brooks Bollinge,MIN,QB,76.0,0.0,1.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,brooksbollinge
25,Matt Leinart,ARI,QB,157.0,1.0,1.0,35.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,mattleinart
