,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Dak Prescott,DAL,QB,332.0,3.0,0.0,30.0,20.0,6.0,13.0,0.0,0.0,0.0,0.0,nfl_hist,dakprescott
1,Blake Bortles,JAX,QB,268.0,2.0,0.0,27.0,18.0,7.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,blakebortles
2,Philip Rivers,LAC,QB,319.0,2.0,0.0,31.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,philiprivers
3,Mitchell Trubisky,CHI,QB,271.0,1.0,0.0,32.0,25.0,2.0,5.0,1.0,0.0,0.0,0.0,nfl_hist,mitchelltrubisky
4,Jay Cutle,MIA,QB,263.0,3.0,0.0,38.0,25.0,4.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,jaycutle
5,Brett Hundley,GNB,QB,265.0,3.0,0.0,46.0,35.0,7.0,31.0,0.0,0.0,0.0,0.0,nfl_hist,bretthundley
6,Jared Goff,LAR,QB,199.0,2.0,0.0,26.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,jaredgoff
7,Drew Brees,NOR,QB,271.0,2.0,1.0,35.0,26.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
8,Nathan Peterman,BUF,QB,57.0,1.0,0.0,10.0,5.0,4.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,nathanpeterman
9,Carson Wentz,PHI,QB,291.0,4.0,1.0,41.0,23.0,3.0,16.0,0.0,0.0,0.0,0.0,nfl_hist,carsonwentz
10,T.J. Yates,HOU,QB,175.0,2.0,0.0,26.0,14.0,3.0,31.0,0.0,0.0,0.0,0.0,nfl_hist,tjyates
11,Ben Roethlisberge,PIT,QB,506.0,2.0,0.0,66.0,44.0,1.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,benroethlisberge
12,DeShone Kize,CLE,QB,214.0,3.0,2.0,28.0,20.0,2.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,deshonekize
13,Jimmy Garoppolo,SFO,QB,334.0,1.0,1.0,33.0,20.0,5.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,jimmygaroppolo
14,Matthew Stafford,DET,QB,381.0,1.0,2.0,44.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,matthewstafford
15,Trevor Siemian,DEN,QB,200.0,1.0,0.0,31.0,19.0,3.0,13.0,0.0,0.0,0.0,0.0,nfl_hist,trevorsiemian
16,Joe Flacco,BAL,QB,269.0,2.0,1.0,35.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,joeflacco
17,Jameis Winston,TAM,QB,285.0,2.0,2.0,38.0,26.0,2.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,jameiswinston
18,Blaine Gabbert,ARI,QB,178.0,0.0,0.0,26.0,17.0,4.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,blainegabbert
19,Russell Wilson,SEA,QB,271.0,3.0,3.0,31.0,17.0,5.0,50.0,0.0,0.0,0.0,0.0,nfl_hist,russellwilson
20,Case Keenum,MIN,QB,280.0,2.0,2.0,44.0,27.0,5.0,40.0,0.0,0.0,0.0,0.0,nfl_hist,casekeenum
21,Jacoby Brissett,IND,QB,69.0,1.0,0.0,22.0,11.0,3.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,jacobybrissett
22,Alex Smith,KAN,QB,268.0,0.0,1.0,34.0,20.0,5.0,24.0,0.0,0.0,0.0,0.0,nfl_hist,alexsmith
23,Nick Foles,PHI,QB,42.0,0.0,0.0,10.0,6.0,1.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,nickfoles
24,Kirk Cousins,WAS,QB,151.0,1.0,1.0,27.0,15.0,2.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,kirkcousins
25,A.J. McCarron,CIN,QB,47.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,ajmccarron
26,Eli Manning,NYG,QB,228.0,1.0,2.0,46.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,elimanning
27,Tom Savage,HOU,QB,63.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,tomsavage
28,Cam Newton,CAR,QB,137.0,1.0,1.0,25.0,13.0,11.0,70.0,0.0,0.0,0.0,0.0,nfl_hist,camnewton
29,Derek Ca,OAK,QB,211.0,1.0,2.0,41.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,derekca
30,Andy Dalton,CIN,QB,141.0,1.0,1.0,29.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,andydalton
31,Tom Brady,NWE,QB,233.0,1.0,2.0,43.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
32,Matt Ryan,ATL,QB,221.0,1.0,3.0,27.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,mattryan
33,Marcus Mariota,TEN,QB,159.0,0.0,2.0,31.0,16.0,2.0,11.0,0.0,0.0,0.0,0.0,nfl_hist,marcusmariota
34,Bryce Petty,NYJ,QB,14.0,0.0,0.0,9.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,brycepetty
35,Josh McCown,NYJ,QB,46.0,0.0,1.0,12.0,6.0,2.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,joshmccown
36,Joe Webb,BUF,QB,35.0,0.0,1.0,6.0,2.0,5.0,27.0,0.0,0.0,0.0,0.0,nfl_hist,joewebb
37,Kellen Clemens,LAC,QB,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,kellenclemens
38,LeSean McCoy,BUF,RB,0.0,0.0,0.0,0.0,0.0,32.0,156.0,1.0,0.0,0.0,0.0,nfl_hist,leseanmccoy
39,Jordan Howard,CHI,RB,0.0,0.0,0.0,0.0,0.0,23.0,147.0,2.0,1.0,8.0,0.0,nfl_hist,jordanhoward
40,Frank Gore,IND,RB,0.0,0.0,0.0,0.0,0.0,36.0,130.0,0.0,1.0,10.0,0.0,nfl_hist,frankgore
41,Isaiah Crowell,CLE,RB,0.0,0.0,0.0,0.0,0.0,19.0,121.0,0.0,3.0,10.0,0.0,nfl_hist,isaiahcrowell
42,Alex Collins,BAL,RB,0.0,0.0,0.0,0.0,0.0,18.0,120.0,1.0,2.0,46.0,0.0,nfl_hist,alexcollins
43,Kareem Hunt,KAN,RB,0.0,0.0,0.0,0.0,0.0,25.0,116.0,1.0,3.0,22.0,0.0,nfl_hist,kareemhunt
44,Kenyan Drake,MIA,RB,0.0,0.0,0.0,0.0,0.0,25.0,114.0,0.0,5.0,79.0,0.0,nfl_hist,kenyandrake
45,Jonathan Stewart,CAR,RB,0.0,0.0,0.0,0.0,0.0,16.0,103.0,3.0,0.0,0.0,0.0,nfl_hist,jonathanstewart
46,Leonard Fournette,JAX,RB,0.0,0.0,0.0,0.0,0.0,24.0,101.0,1.0,4.0,18.0,0.0,nfl_hist,leonardfournette
47,Todd Gurley,LAR,HB,0.0,0.0,0.0,0.0,0.0,13.0,96.0,2.0,3.0,39.0,0.0,nfl_hist,toddgurley
48,Devonta Freeman,ATL,RB,0.0,0.0,0.0,0.0,0.0,24.0,91.0,1.0,0.0,0.0,0.0,nfl_hist,devontafreeman
49,Tarik Cohen,CHI,RB,0.0,0.0,0.0,0.0,0.0,12.0,80.0,0.0,2.0,5.0,0.0,nfl_hist,tarikcohen
50,Jay Ajayi,PHI,RB,0.0,0.0,0.0,0.0,0.0,15.0,78.0,0.0,1.0,2.0,0.0,nfl_hist,jayajayi
51,Melvin Gordon,LAC,RB,0.0,0.0,0.0,0.0,0.0,22.0,78.0,1.0,1.0,5.0,0.0,nfl_hist,melvingordon
52,Carlos Hyde,SFO,RB,0.0,0.0,0.0,0.0,0.0,14.0,78.0,1.0,0.0,0.0,0.0,nfl_hist,carloshyde
53,Kerwynn Williams,ARI,RB,0.0,0.0,0.0,0.0,0.0,20.0,73.0,0.0,1.0,15.0,0.0,nfl_hist,kerwynnwilliams
54,Mike Davis,SEA,RB,0.0,0.0,0.0,0.0,0.0,15.0,66.0,0.0,1.0,-1.0,0.0,nfl_hist,mikedavis
55,Giovani Bernard,CIN,HB,0.0,0.0,0.0,0.0,0.0,11.0,62.0,0.0,6.0,68.0,0.0,nfl_hist,giovanibernard
56,Alfred Morris,DAL,RB,0.0,0.0,0.0,0.0,0.0,19.0,62.0,0.0,3.0,23.0,0.0,nfl_hist,alfredmorris
57,Marshawn Lynch,OAK,RB,0.0,0.0,0.0,0.0,0.0,7.0,61.0,1.0,1.0,3.0,0.0,nfl_hist,marshawnlynch
58,Wayne Gallman,NYG,RB,0.0,0.0,0.0,0.0,0.0,12.0,59.0,0.0,7.0,40.0,0.0,nfl_hist,waynegallman
59,Peyton Barbe,TAM,RB,0.0,0.0,0.0,0.0,0.0,12.0,58.0,0.0,1.0,5.0,0.0,nfl_hist,peytonbarbe
60,Lamar Mille,HOU,RB,0.0,0.0,0.0,0.0,0.0,17.0,53.0,0.0,2.0,7.0,0.0,nfl_hist,lamarmille
61,Austin Ekele,LAC,RB,0.0,0.0,0.0,0.0,0.0,4.0,49.0,0.0,0.0,0.0,0.0,nfl_hist,austinekele
62,Mark Ingram,NOR,RB,0.0,0.0,0.0,0.0,0.0,12.0,49.0,0.0,4.0,43.0,0.0,nfl_hist,markingram
63,Jamaal Williams,GNB,RB,0.0,0.0,0.0,0.0,0.0,15.0,49.0,1.0,7.0,69.0,1.0,nfl_hist,jamaalwilliams
64,C.J. Anderson,DEN,RB,0.0,0.0,0.0,0.0,0.0,22.0,48.0,0.0,2.0,25.0,0.0,nfl_hist,cjanderson
65,Le'Veon Bell,PIT,RB,0.0,0.0,0.0,0.0,0.0,13.0,48.0,2.0,9.0,77.0,1.0,nfl_hist,leveonbell
66,Chris Ivory,JAX,RB,0.0,0.0,0.0,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,nfl_hist,chrisivory
67,Rod Smith,DAL,RB,0.0,0.0,0.0,0.0,0.0,6.0,47.0,1.0,5.0,113.0,1.0,nfl_hist,rodsmith
68,Jerick McKinnon,MIN,RB,0.0,0.0,0.0,0.0,0.0,7.0,46.0,0.0,2.0,9.0,0.0,nfl_hist,jerickmckinnon
