,player,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,fumble_lost,position,source,nfl_week,year
0,David Montgomery,0,0,0,0,0,32,146,2,1,16,0,0,RB,football_db,15,2020
1,Tony Pollard,0,0,0,0,0,12,69,2,6,63,0,0,RB,football_db,15,2020
2,Derrick Henry,0,0,0,0,0,24,147,1,2,5,0,0,RB,football_db,15,2020
3,Aaron Jones,0,0,0,0,0,20,145,1,3,13,0,0,RB,football_db,15,2020
4,Dalvin Cook,0,0,0,0,0,24,132,1,5,27,0,0,RB,football_db,15,2020
5,Giovani Bernard,0,0,0,0,0,25,83,1,1,14,1,0,RB,football_db,15,2020
6,Melvin Gordon,0,0,0,0,0,11,61,2,4,20,0,0,RB,football_db,15,2020
7,Salvon Ahmed,0,0,0,0,0,23,122,1,1,5,0,0,RB,football_db,15,2020
8,D'Andre Swift,0,0,0,0,0,15,67,2,4,15,0,1,RB,football_db,15,2020
9,Leonard Fournette,0,0,0,0,0,14,49,2,3,16,0,0,RB,football_db,15,2020
10,Benjamin Snell,0,0,0,0,0,18,84,1,3,23,0,0,RB,football_db,15,2020
11,J.D. McKissic,0,0,0,0,0,13,51,0,9,56,1,0,RB,football_db,15,2020
12,Josh Jacobs,0,0,0,0,0,26,76,1,3,38,0,0,RB,football_db,15,2020
13,Jonathan Taylor,0,0,0,0,0,16,83,1,4,12,0,0,RB,football_db,15,2020
14,Alvin Kamara,0,0,0,0,0,11,54,0,3,40,1,0,RB,football_db,15,2020
15,Devin Singletary,0,0,0,0,0,8,68,1,3,16,0,0,RB,football_db,15,2020
16,J.K. Dobbins,0,0,0,0,0,14,64,1,1,17,0,0,RB,football_db,15,2020
17,Le'Veon Bell,0,0,0,0,0,15,62,1,1,14,0,0,RB,football_db,15,2020
18,Jeffery Wilson,0,0,0,0,0,16,60,1,0,0,0,0,RB,football_db,15,2020
19,David Johnson,0,0,0,0,0,8,27,0,11,106,0,0,RB,football_db,15,2020
20,Nick Chubb,0,0,0,0,0,15,50,1,2,16,0,0,RB,football_db,15,2020
21,Carlos Hyde,0,0,0,0,0,2,55,1,2,8,0,0,RB,football_db,15,2020
22,Frank Gore,0,0,0,0,0,23,59,1,1,6,0,0,RB,football_db,15,2020
23,Darrynton Evans,0,0,0,0,0,8,30,0,2,27,1,0,RB,football_db,15,2020
24,Chase Edmonds,0,0,0,0,0,11,47,0,3,19,1,0,RB,football_db,15,2020
25,James Robinson,0,0,0,0,0,16,35,0,3,18,1,0,RB,football_db,15,2020
26,Ty Johnson,0,0,0,0,0,3,16,0,6,39,1,0,RB,football_db,15,2020
27,Miles Sanders,0,0,0,0,0,17,64,0,1,26,0,0,RB,football_db,15,2020
28,Latavius Murray,0,0,0,0,0,4,3,0,2,26,1,0,RB,football_db,15,2020
29,Zack Moss,0,0,0,0,0,13,81,0,0,0,0,0,RB,football_db,15,2020
30,Matt Breida,0,0,0,0,0,12,86,0,0,0,0,0,RB,football_db,15,2020
31,Sony Michel,0,0,0,0,0,10,74,0,1,8,0,0,RB,football_db,15,2020
32,Austin Ekeler,0,0,0,0,0,13,60,0,4,19,0,0,RB,football_db,15,2020
33,Clyde Edwards-Helaire,0,0,0,0,0,14,79,0,1,4,0,0,RB,football_db,15,2020
34,Gus Edwards,0,0,0,0,0,9,42,0,2,36,0,0,RB,football_db,15,2020
35,Kalen Ballage,0,0,0,0,0,8,11,1,0,0,0,0,RB,football_db,15,2020
36,Raheem Mostert,0,0,0,0,0,14,68,0,0,0,0,0,RB,football_db,15,2020
37,Chris Carson,0,0,0,0,0,15,63,0,2,6,0,0,RB,football_db,15,2020
38,Peyton Barber,0,0,0,0,0,4,5,1,0,0,0,0,RB,football_db,15,2020
39,Cam Akers,0,0,0,0,0,15,63,0,1,-1,0,0,RB,football_db,15,2020
40,James White,0,0,0,0,0,2,3,0,4,52,0,0,RB,football_db,15,2020
41,Nyheim Hines,0,0,0,0,0,5,43,0,2,11,0,0,RB,football_db,15,2020
42,Mike Davis,0,0,0,0,0,14,59,0,2,2,0,0,RB,football_db,15,2020
43,Rodney Smith,0,0,0,0,0,4,23,0,3,24,0,0,RB,football_db,15,2020
44,Keith Smith,0,0,0,0,0,0,0,0,3,32,0,0,RB,football_db,15,2020
45,Alfred Morris,0,0,0,0,0,7,39,0,0,0,0,0,RB,football_db,15,2020
46,LeSean McCoy,0,0,0,0,0,0,0,0,3,32,0,0,RB,football_db,15,2020
47,Phillip Lindsay,0,0,0,0,0,11,38,0,3,7,0,0,RB,football_db,15,2020
48,Patrick Laird,0,0,0,0,0,2,20,0,2,12,0,0,RB,football_db,15,2020
49,Kenyan Drake,0,0,0,0,0,10,26,0,2,14,0,0,RB,football_db,15,2020
50,Ito Smith,0,0,0,0,0,6,24,0,2,9,0,0,RB,football_db,15,2020
51,Adrian Peterson,0,0,0,0,0,6,23,0,0,0,0,0,RB,football_db,15,2020
52,Jerick McKinnon,0,0,0,0,0,0,0,0,2,22,0,0,RB,football_db,15,2020
53,Kyle Juszczyk,0,0,0,0,0,2,4,0,1,25,0,0,RB,football_db,15,2020
54,D'Ernest Johnson,0,0,0,0,0,4,24,0,0,0,0,0,RB,football_db,15,2020
55,Kareem Hunt,0,0,0,0,0,7,21,0,3,7,0,0,RB,football_db,15,2020
56,Greg Howell,0,0,0,0,0,5,22,0,0,0,0,0,RB,football_db,15,2020
57,Wayne Gallman,0,0,0,0,0,9,29,0,0,0,0,0,RB,football_db,15,2020
58,Jamaal Williams,0,0,0,0,0,1,6,0,2,14,0,0,RB,football_db,15,2020
59,Jaylen Samuels,0,0,0,0,0,1,4,0,1,12,0,0,RB,football_db,15,2020
60,Patrick Ricard,0,0,0,0,0,0,0,0,2,10,0,0,RB,football_db,15,2020
61,Samaje Perine,0,0,0,0,0,4,14,0,0,0,0,0,RB,football_db,15,2020
62,Dare Ogunbowale,0,0,0,0,0,2,17,0,1,8,0,0,RB,football_db,15,2020
63,Alexander Mattison,0,0,0,0,0,1,1,0,1,14,0,0,RB,football_db,15,2020
64,Dion Lewis,0,0,0,0,0,1,4,0,2,14,0,0,RB,football_db,15,2020
65,Todd Gurley,0,0,0,0,0,1,-1,0,2,15,0,0,RB,football_db,15,2020
66,Rico Dowdle,0,0,0,0,0,4,11,0,0,0,0,0,RB,football_db,15,2020
67,AJ Dillon,0,0,0,0,0,1,18,0,0,0,0,0,RB,football_db,15,2020
68,Tevin Coleman,0,0,0,0,0,3,11,0,0,0,0,0,RB,football_db,15,2020
69,Devontae Booker,0,0,0,0,0,3,12,0,0,0,0,0,RB,football_db,15,2020
70,Trayveon Williams,0,0,0,0,0,2,8,0,0,0,0,0,RB,football_db,15,2020
71,Darrel Williams,0,0,0,0,0,3,5,0,0,0,0,0,RB,football_db,15,2020
72,Ke'Shawn Vaughn,0,0,0,0,0,2,4,0,0,0,0,0,RB,football_db,15,2020
73,J.J. Taylor,0,0,0,0,0,1,2,0,0,0,0,0,RB,football_db,15,2020
74,Boston Scott,0,0,0,0,0,0,0,0,1,7,0,0,RB,football_db,15,2020
75,Theo Riddick,0,0,0,0,0,1,-5,0,0,0,0,0,RB,football_db,15,2020
76,Jalen Richard,0,0,0,0,0,0,0,0,1,7,0,0,RB,football_db,15,2020
77,Scottie Phillips,0,0,0,0,0,2,9,0,1,7,0,0,RB,football_db,15,2020
78,Malcolm Perry,0,0,0,0,0,1,4,0,0,0,0,0,RB,football_db,15,2020
79,Rashaad Penny,0,0,0,0,0,2,6,0,0,0,0,0,RB,football_db,15,2020
80,Elijhaa Penny,0,0,0,0,0,1,2,0,1,9,0,0,RB,football_db,15,2020
81,Devine Ozigbo,0,0,0,0,0,0,0,0,1,4,0,0,RB,football_db,15,2020
82,Jeremy McNichols,0,0,0,0,0,0,0,0,1,5,0,0,RB,football_db,15,2020
83,Anthony McFarland,0,0,0,0,0,1,5,0,1,9,0,0,RB,football_db,15,2020
84,Joshua Kelley,0,0,0,0,0,2,8,0,0,0,0,0,RB,football_db,15,2020
85,Alec Ingold,0,0,0,0,0,1,2,0,0,0,0,0,RB,football_db,15,2020
86,Justice Hill,0,0,0,0,0,0,0,0,1,8,0,0,RB,football_db,15,2020
87,Brian Hill,0,0,0,0,0,5,-2,0,2,9,0,0,RB,football_db,15,2020
88,Darrell Henderson,0,0,0,0,0,1,-2,0,1,5,0,0,RB,football_db,15,2020
89,Royce Freeman,0,0,0,0,0,1,4,0,0,0,0,0,RB,football_db,15,2020
90,Michael Burton,0,0,0,0,0,0,0,0,1,9,0,0,RB,football_db,15,2020
91,Malcolm Brown,0,0,0,0,0,1,4,0,1,6,0,0,RB,football_db,15,2020
92,Alex Armah,0,0,0,0,0,0,0,0,1,9,0,0,RB,football_db,15,2020
0,Calvin Ridley,0,0,0,0,0,0,0,0,10,163,1,0,WR,football_db,15,2020
1,DeAndre Hopkins,0,0,0,0,0,1,1,0,9,169,1,1,WR,football_db,15,2020
2,Zach Pascal,0,0,0,0,0,0,0,0,5,79,2,0,WR,football_db,15,2020
3,Marvin Jones,0,0,0,0,0,0,0,0,10,112,1,0,WR,football_db,15,2020
4,Corey Davis,0,0,0,0,0,0,0,0,4,110,1,0,WR,football_db,15,2020
5,Robert Woods,0,0,0,0,0,1,40,0,6,56,1,0,WR,football_db,15,2020
6,Antonio Brown,0,0,0,0,0,0,0,0,5,93,1,0,WR,football_db,15,2020
7,Stefon Diggs,0,0,0,0,0,0,0,0,11,147,0,0,WR,football_db,15,2020
8,Kendrick Bourne,0,0,0,0,0,0,0,0,4,86,1,0,WR,football_db,15,2020
9,Greg Ward,0,0,0,0,0,0,0,0,4,15,2,0,WR,football_db,15,2020
10,D.J. Moore,0,0,0,0,0,1,1,0,6,131,0,0,WR,football_db,15,2020
11,Brandon Aiyuk,0,0,0,0,0,0,0,0,9,73,1,0,WR,football_db,15,2020
12,Jarvis Landry,0,0,0,0,0,0,0,0,7,61,1,0,WR,football_db,15,2020
13,Tyron Johnson,0,0,0,0,0,0,0,0,3,61,1,0,WR,football_db,15,2020
14,Russell Gage,0,0,0,0,0,0,0,0,5,68,1,0,WR,football_db,15,2020
15,Darnell Mooney,0,0,0,0,0,1,16,0,4,49,1,0,WR,football_db,15,2020
16,Diontae Johnson,0,0,0,0,0,0,0,0,8,59,1,0,WR,football_db,15,2020
17,Tyreek Hill,0,0,0,0,0,1,1,0,6,53,1,0,WR,football_db,15,2020
18,Chad Hansen,0,0,0,0,0,0,0,0,2,55,1,0,WR,football_db,15,2020
19,Mike Evans,0,0,0,0,0,0,0,0,6,110,0,0,WR,football_db,15,2020
20,Cole Beasley,0,0,0,0,0,0,0,0,8,112,0,0,WR,football_db,15,2020
21,Quez Watkins,0,0,0,0,0,0,0,0,3,40,1,0,WR,football_db,15,2020
22,Jakobi Meyers,0,0,0,0,0,0,0,0,7,111,0,1,WR,football_db,15,2020
23,Justin Jefferson,0,0,0,0,0,0,0,0,8,104,0,0,WR,football_db,15,2020
24,Keke Coutee,0,0,0,0,0,0,0,0,5,53,1,1,WR,football_db,15,2020
25,A.J. Brown,0,0,0,0,0,0,0,0,5,44,1,0,WR,football_db,15,2020
26,Jalen Guyton,0,0,0,0,0,1,4,0,4,91,0,0,WR,football_db,15,2020
27,Chris Godwin,0,0,0,0,0,0,0,0,4,36,1,0,WR,football_db,15,2020
28,Larry Fitzgerald,0,0,0,0,0,0,0,0,3,35,1,0,WR,football_db,15,2020
29,Marquise Brown,0,0,0,0,0,0,0,0,6,98,0,0,WR,football_db,15,2020
30,Allen Robinson,0,0,0,0,0,0,0,0,4,83,0,0,WR,football_db,15,2020
31,CeeDee Lamb,0,0,0,0,0,0,0,0,5,85,0,0,WR,football_db,15,2020
32,Jake Kumerow,0,0,0,0,0,0,0,0,1,22,1,0,WR,football_db,15,2020
33,Lil'Jordan Humphrey,0,0,0,0,0,0,0,0,2,29,1,0,WR,football_db,15,2020
34,Mecole Hardman,0,0,0,0,0,1,-5,0,3,22,1,0,WR,football_db,15,2020
35,Michael Gallup,0,0,0,0,0,0,0,0,3,26,1,0,WR,football_db,15,2020
36,Adam Thielen,0,0,0,0,0,0,0,0,2,11,1,0,WR,football_db,15,2020
37,Darius Slayton,0,0,0,0,0,0,0,0,4,74,0,0,WR,football_db,15,2020
38,Emmanuel Sanders,0,0,0,0,0,0,0,0,4,76,0,0,WR,football_db,15,2020
39,Terry McLaurin,0,0,0,0,0,0,0,0,7,77,0,0,WR,football_db,15,2020
40,T.Y. Hilton,0,0,0,0,0,0,0,0,4,71,0,0,WR,football_db,15,2020
41,Rashard Higgins,0,0,0,0,0,0,0,0,4,76,0,0,WR,football_db,15,2020
42,Chris Conley,0,0,0,0,0,0,0,0,1,13,1,0,WR,football_db,15,2020
43,Dez Bryant,0,0,0,0,0,0,0,0,1,11,1,0,WR,football_db,15,2020
44,Sammy Watkins,0,0,0,0,0,0,0,0,4,60,0,0,WR,football_db,15,2020
45,Alshon Jeffery,0,0,0,0,0,0,0,0,2,63,0,0,WR,football_db,15,2020
46,Jamison Crowder,0,0,0,0,0,0,0,0,6,66,0,0,WR,football_db,15,2020
47,Miles Boykin,0,0,0,0,0,0,0,0,1,4,1,0,WR,football_db,15,2020
48,Sterling Shepard,0,0,0,0,0,1,-3,0,4,51,0,0,WR,football_db,15,2020
49,Donovan Peoples-Jones,0,0,0,0,0,0,0,0,3,55,0,0,WR,football_db,15,2020
50,Allen Lazard,0,0,0,0,0,0,0,0,5,56,0,0,WR,football_db,15,2020
51,Brandin Cooks,0,0,0,0,0,0,0,0,6,59,0,0,WR,football_db,15,2020
52,Chase Claypool,0,0,0,0,0,1,-6,0,3,54,0,0,WR,football_db,15,2020
53,D.J. Chark,0,0,0,0,0,0,0,0,4,53,0,0,WR,football_db,15,2020
54,Laviska Shenault,0,0,0,0,0,2,1,0,5,43,0,0,WR,football_db,15,2020
