,player,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,fumble_lost,position,source,nfl_week,year
0,David Montgomery,0,0,0,0,0,17,72,2,4,39,0,0,RB,football_db,13,2020
1,Aaron Jones,0,0,0,0,0,15,130,1,3,18,0,0,RB,football_db,13,2020
2,Jonathan Taylor,0,0,0,0,0,13,91,0,3,44,1,0,RB,football_db,13,2020
3,Adrian Peterson,0,0,0,0,0,16,57,2,0,0,0,0,RB,football_db,13,2020
4,Ty Johnson,0,0,0,0,0,22,104,1,2,13,0,0,RB,football_db,13,2020
5,Dalvin Cook,0,0,0,0,0,32,120,0,6,59,0,0,RB,football_db,13,2020
6,James Robinson,0,0,0,0,0,18,78,1,6,30,0,0,RB,football_db,13,2020
7,Nick Chubb,0,0,0,0,0,18,80,1,1,26,0,0,RB,football_db,13,2020
8,Chris Carson,0,0,0,0,0,13,65,0,3,45,1,0,RB,football_db,13,2020
9,Alfred Morris,0,0,0,0,0,8,39,1,1,6,1,0,RB,football_db,13,2020
10,Cam Akers,0,0,0,0,0,21,72,1,1,22,0,0,RB,football_db,13,2020
11,Alvin Kamara,0,0,0,0,0,15,88,1,2,9,0,0,RB,football_db,13,2020
12,Melvin Gordon,0,0,0,0,0,15,131,0,1,11,0,0,RB,football_db,13,2020
13,Myles Gaskin,0,0,0,0,0,21,90,0,2,51,0,1,RB,football_db,13,2020
14,Wayne Gallman,0,0,0,0,0,16,135,0,0,0,0,0,RB,football_db,13,2020
15,J.K. Dobbins,0,0,0,0,0,11,71,1,0,0,0,0,RB,football_db,13,2020
16,Darrell Henderson,0,0,0,0,0,3,49,1,2,25,0,0,RB,football_db,13,2020
17,David Johnson,0,0,0,0,0,10,44,1,0,0,0,0,RB,football_db,13,2020
18,Gus Edwards,0,0,0,0,0,7,101,0,0,0,0,0,RB,football_db,13,2020
19,Kenyan Drake,0,0,0,0,0,10,49,1,2,9,0,0,RB,football_db,13,2020
20,Nyheim Hines,0,0,0,0,0,6,10,1,3,22,0,0,RB,football_db,13,2020
21,Damien Harris,0,0,0,0,0,16,80,0,1,15,0,0,RB,football_db,13,2020
22,Devin Singletary,0,0,0,0,0,18,61,0,3,22,0,0,RB,football_db,13,2020
23,Ezekiel Elliott,0,0,0,0,0,18,77,0,4,18,0,0,RB,football_db,13,2020
24,Peyton Barber,0,0,0,0,0,14,23,1,0,0,0,0,RB,football_db,13,2020
25,Jeremy McNichols,0,0,0,0,0,2,2,1,3,15,0,0,RB,football_db,13,2020
26,J.D. McKissic,0,0,0,0,0,5,8,0,10,70,0,0,RB,football_db,13,2020
27,C.J. Ham,0,0,0,0,0,0,0,0,1,12,1,0,RB,football_db,13,2020
28,Josh Adams,0,0,0,0,0,8,74,0,0,0,0,0,RB,football_db,13,2020
29,Kyle Juszczyk,0,0,0,0,0,2,5,0,1,6,1,0,RB,football_db,13,2020
