"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"78","Latavius Murray","NO","rb","6","TB","9.9","0","0","0","0","0","0","0","9.2304","39.0574","0.3429","2.144","1.8195","14.4504","0.0853","0.0504","0.0252","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","Tevin Coleman","SF","rb","11","ARZ","9.8","0","0","0","0","0","0","0","9.1453","41.5752","0.3434","2.155","1.6499","12.6152","0.0924","0.0613","0.0306","0.0034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","Matt Ryan","ATL","qb","10","SEA","19.3","0","24.4663","37.1239","294.024","1.4005","0.5014","2.3758","2.0494","8.7838","0.0614","0","0","0","0","0.6184","0.3092","0.0352","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","Marquise Brown","BLT","wr","8","CLV","12.2","0","0","0","0","0","0","0","0.1404","1.003","0.0068","6.0825","4.2199","54.5984","0.3525","0.0379","0.019","0.0067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","Darrell Henderson","LA","rb","9","DAL","9.6","0","0","0","0","0","0","0","7.132","27.4951","0.1485","3.5481","2.876","21.5307","0.1344","0.1157","0.0579","0.0077","50.5874","0.0148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","Mecole Hardman","KC","wr","10","HST","11.9","0","0","0","0","0","0","0","0.3081","2.0036","0.0134","4.72","3.4656","54.2882","0.3746","0.097","0.0485","0.008","71.7821","0.0343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Evan Engram","NYG","te","11","PIT","10.5","0","0","0","0","0","0","0","0","0","0","5.9683","4.3225","44.9094","0.2483","0.0331","0.0165","0.0096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Kareem Hunt","CLV","rb","9","@BLT","9.5","0","0","0","0","0","0","0","5.4147","23.4137","0.1793","3.7641","3.0867","24.1013","0.0947","0.0672","0.0336","0.0062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Josh Allen","BUF","qb","11","NYJ","19","0","17.6559","30.1779","206.9443","1.1429","0.6556","2.3612","5.3651","38.4481","0.4302","0","0","0","0","0.7054","0.3527","0.0384","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Nyheim Hines","IND","rb","7","@JAX","9.4","0","0","0","0","0","0","0","4.4781","18.2836","0.1816","3.9122","3.226","23.204","0.1309","0.1204","0.0602","0.0035","74.2471","0.0289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","Jared Goff","LA","qb","9","DAL","18.8","0","24.5002","37.4313","263.3934","1.7055","0.7374","2.748","1.5435","5.4325","0.122","0","0","0","0","0.5822","0.2911","0.0471","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Michael Gallup","DAL","wr","10","@LA","11.6","0","0","0","0","0","0","0","0","0","0","6.6719","3.7462","56.7918","0.309","0.0242","0.0121","0.015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","Deshaun Watson","HST","qb","8","@KC","18.6","0","21.4862","33.1134","252.3321","1.1442","0.8628","3.4854","5.2209","30.303","0.1684","0","0","0","0","0.6049","0.3025","0.0483","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","Phillip Lindsay","DEN","rb","8","TEN","9.1","0","0","0","0","0","0","0","8.5195","36.7659","0.2886","2.279","1.8347","12.9588","0.0696","0.0302","0.0151","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","Sony Michel","NE","rb","6","MIA","9.1","0","0","0","0","0","0","0","11.0299","43.3742","0.3655","1.6181","1.2153","9.1929","0.0529","0.0719","0.0359","0.0008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","Mike Williams","LAC","wr","10","@CIN","11.3","0","0","0","0","0","0","0","0","0","0","6.0652","3.2448","58.2072","0.3125","0.023","0.0115","0.0149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Noah Fant","DEN","te","8","TEN","9.8","0","0","0","0","0","0","0","0","0","0","5.1543","3.753","45.1132","0.2228","0.0445","0.0222","0.0105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","Kerryon Johnson","DET","rb","5","CHI","8.8","0","0","0","0","0","0","0","10.4242","43.3356","0.3204","1.4618","1.2122","8.8794","0.0558","0.1021","0.0511","0.0059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Matthew Stafford","DET","qb","5","CHI","18.3","0","22.2006","34.2791","268.6874","1.5872","0.6545","2.3263","1.7872","5.6189","0.047","0","0","0","0","0.4411","0.2206","0.0451","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","Dak Prescott","DAL","qb","10","@LA","18.3","0","20.4505","33.7302","245.4526","1.3942","0.6769","2.6528","2.9073","16.1085","0.2044","0","0","0","0","0.5099","0.255","0.0539","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","Diontae Johnson","PIT","wr","8","@NYG","11.1","0","0","0","0","0","0","0","0.2388","1.6834","0.0079","5.9494","4.0097","48.5357","0.2818","0.0996","0.0498","0.0063","22.1124","0.0199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","Jared Cook","NO","te","6","TB","9.7","0","0","0","0","0","0","0","0","0","0","4.6039","3.2438","45.649","0.2792","0.0219","0.0109","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","T.J. Hockenson","DET","te","5","CHI","9.7","0","0","0","0","0","0","0","0","0","0","5.2265","3.7849","41.2728","0.2658","0.0337","0.0168","0.0122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","John Brown","BUF","wr","11","NYJ","10.8","0","0","0","0","0","0","0","0.1553","0.8121","0.0063","6.4837","3.3915","51.9969","0.3079","0.021","0.0105","0.0032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","Ryan Tannehill","TEN","qb","7","@DEN","17.9","0","18.9906","29.7586","230.8805","1.4741","0.6205","2.7759","3.2099","16.3903","0.1934","0","0","0","0","0.5786","0.2893","0.0611","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","Anthony Miller","CHI","wr","11","@DET","10.6","0","0","0","0","0","0","0","0.0864","0.5348","0.0032","6.1502","3.9426","46.9109","0.2756","0.0307","0.0154","0.0092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","Carson Wentz","PHI","qb","9","@WAS","17.6","0","22.8156","35.5639","260.9064","1.3936","0.5168","2.6654","2.6766","11.508","0.0342","0","0","0","0","0.8162","0.4081","0.0395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","Emmanuel Sanders","NO","wr","6","TB","10.4","0","0","0","0","0","0","0","0","0","0","5.4703","3.7914","49.7334","0.2327","0.0227","0.0113","0.0115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","Jamaal Williams","GB","rb","5","@MIN","8","0","0","0","0","0","0","0","5.6847","22.7745","0.1899","2.8908","2.3667","16.5124","0.0867","0.052","0.026","0.0045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","Dallas Goedert","PHI","te","9","@WAS","8.9","0","0","0","0","0","0","0","0","0","0","4.8438","3.7001","37.1667","0.2319","0.0468","0.0234","0.0066","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","Ke'Shawn Vaughn","TB","rb","13","@NO","7.9","0","0","0","0","0","0","0","9.0256","34.7181","0.1794","2.226","1.7699","12.0699","0.0569","0.096","0.048","0.0078","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Austin Hooper","CLV","te","9","@BLT","8.8","0","0","0","0","0","0","0","0","0","0","4.9759","3.7421","37.9158","0.1871","0.0262","0.0131","0.0279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","Mike Gesicki","MIA","te","11","@NE","8.8","0","0","0","0","0","0","0","0","0","0","4.9848","3.4192","39.261","0.2291","0.0493","0.0247","0.0088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","Aaron Rodgers","GB","qb","5","@MIN","17.3","0","22.4043","36.1261","249.5722","1.2091","0.4111","3.3206","2.3349","15.9263","0.0644","0","0","0","0","0.3134","0.1567","0.0534","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","Sterling Shepard","NYG","wr","11","PIT","10.2","0","0","0","0","0","0","0","0.3802","2.4967","0.0138","5.6849","3.7963","44.7276","0.232","0.0275","0.0137","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","DeSean Jackson","PHI","wr","9","@WAS","10.1","0","0","0","0","0","0","0","0","0","0","4.9332","3.0018","53.0507","0.2561","0.0267","0.0133","0.0047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","Jerry Jeudy","DEN","wr","8","TEN","10.1","0","0","0","0","0","0","0","0","0","0","6.186","3.7713","47.0992","0.234","0.0391","0.0196","0.0089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","Jamison Crowder","NYJ","wr","11","@BUF","10","0","0","0","0","0","0","0","0","0","0","6.0369","4.215","43.5114","0.2105","0.0316","0.0158","0.0056","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","Jack Doyle","IND","te","7","@JAX","8.6","0","0","0","0","0","0","0","0","0","0","4.8134","3.6502","34.0978","0.2452","0.051","0.0255","0.0062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","N'Keal Harry","NE","wr","6","MIA","9.9","0","0","0","0","0","0","0","0.5515","3.9171","0.0262","5.8252","3.4869","41.8547","0.2619","0.0377","0.0188","0.0063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","Sammy Watkins","KC","wr","10","HST","9.8","0","0","0","0","0","0","0","0.1795","1.1497","0.0078","4.7857","3.2801","43.4092","0.3137","0.054","0.027","0.0129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","Henry Ruggs III","OAK","wr","6","@CAR","9.8","0","0","0","0","0","0","0","0","0","0","5.7445","3.6401","44.1726","0.2641","0.0378","0.0189","0.009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","J.K. Dobbins","BLT","rb","8","CLV","7.3","0","0","0","0","0","0","0","6.2735","26.8869","0.2696","1.8112","1.442","10.7325","0.0642","0.0688","0.0344","0.0046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","Golden Tate","NYG","wr","11","PIT","9.7","0","0","0","0","0","0","0","0.142","0.795","0.0051","5.4269","3.7981","43.8121","0.2165","0.0492","0.0246","0.0069","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","Brandin Cooks","HST","wr","8","@KC","9.7","0","0","0","0","0","0","0","0.4084","2.2545","0.0129","5.4637","3.4189","47.0898","0.1858","0.0441","0.022","0.0036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","Dede Westbrook","JAX","wr","7","IND","9.6","0","0","0","0","0","0","0","0.3846","2.6953","0.0161","5.5078","3.8815","38.2141","0.2087","0.0996","0.0498","0.0159","50.7271","0.0294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","Preston Williams","MIA","wr","11","@NE","9.6","0","0","0","0","0","0","0","0","0","0","5.9675","3.399","46.4905","0.2274","0.0602","0.0301","0.0075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"125","Jonnu Smith","TEN","te","7","@DEN","8.2","0","0","0","0","0","0","0","0","0","0","4.0885","3.0514","35.5149","0.2509","0.0346","0.0173","0.0119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","Kirk Cousins","MIN","qb","7","GB","16.6","0","22.5832","33.8802","235.9299","1.577","0.7055","2.6546","1.546","5.7684","0.0549","0","0","0","0","0.4441","0.2221","0.0516","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127","Curtis Samuel","CAR","wr","13","OAK","9.5","0","0","0","0","0","0","0","0.8565","6.3397","0.0377","4.9416","3.0587","39.5673","0.2531","0.028","0.014","0.0048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"128","Irv Smith Jr.","MIN","te","7","GB","8.1","0","0","0","0","0","0","0","0","0","0","4.3114","3.2746","33.1715","0.2372","0.0386","0.0193","0.0086","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","Hayden Hurst","ATL","te","10","SEA","8.1","0","0","0","0","0","0","0","0","0","0","4.3103","3.2088","35.3786","0.2059","0.0286","0.0143","0.0078","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"130","Jordan Howard","MIA","rb","11","@NE","7.1","0","0","0","0","0","0","0","9.932","36.5601","0.2049","1.5031","1.0954","7.1106","0.0466","0.0698","0.0349","0.0026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","Matt Breida","MIA","rb","11","@NE","7.1","0","0","0","0","0","0","0","7.3308","31.5608","0.0568","2.2813","1.8249","13.2689","0.0747","0.1047","0.0524","0.0039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"132","Justin Jackson","LAC","rb","10","@CIN","7.1","0","0","0","0","0","0","0","9.6632","38.3268","0.1719","1.3337","1.0737","8.3685","0.0387","0.081","0.0405","0.0048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"133","Parris Campbell","IND","wr","7","@JAX","9.4","0","0","0","0","0","0","0","0.4831","3.4999","0.0184","5.2159","3.7269","37.8417","0.2198","0.0594","0.0297","0.0058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"134","Duke Johnson Jr.","HST","rb","8","@KC","7","0","0","0","0","0","0","0","4.7299","20.8643","0.0812","2.7377","2.2027","17.0235","0.0797","0.0618","0.0309","0.0129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","Alshon Jeffery","PHI","wr","9","@WAS","9.3","0","0","0","0","0","0","0","0","0","0","5.3198","3.4383","43.0996","0.2295","0.0338","0.0169","0.0041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"136","Will Fuller V","HST","wr","8","@KC","9.3","0","0","0","0","0","0","0","0","0","0","5.2412","3.3669","46.2415","0.1893","0.036","0.018","0.0045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137","Darius Slayton","NYG","wr","11","PIT","9.3","0","0","0","0","0","0","0","0","0","0","5.0886","3.0201","45.8538","0.2552","0.0262","0.0131","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138","Jaylen Samuels","PIT","rb","8","@NYG","6.9","0","0","0","0","0","0","0","3.5819","12.5716","0.0514","3.159","2.5701","19.9926","0.1196","0.049","0.0245","0.0033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"139","Kyle Rudolph","MIN","te","7","GB","7.7","0","0","0","0","0","0","0","0","0","0","3.6551","2.9235","28.3703","0.3042","0.0221","0.011","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140","Robby Anderson","CAR","wr","13","OAK","9.1","0","0","0","0","0","0","0","0.0897","0.5885","0.0039","4.7322","2.9064","43.9625","0.2657","0.0516","0.0258","0.0043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"141","Jimmy Garoppolo","SF","qb","11","ARZ","16.2","0","21.0762","30.6153","225.4158","1.5013","0.6003","2.8924","3.1811","6.5097","0.1001","0","0","0","0","0.4717","0.2358","0.0536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"142","Justin Jefferson","MIN","wr","7","GB","9","0","0","0","0","0","0","0","0","0","0","5.2393","3.338","41.1066","0.2427","0.0346","0.0173","0.0074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"143","Blake Jarwin","DAL","te","10","@LA","7.6","0","0","0","0","0","0","0","0","0","0","3.9616","2.907","32.9426","0.2208","0.0323","0.0162","0.0074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","Zack Moss","BUF","rb","11","NYJ","6.6","0","0","0","0","0","0","0","8.459","33.4374","0.2322","1.1652","0.9016","6.62","0.0313","0.0824","0.0412","0.0049","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"145","Jalen Richard","OAK","rb","6","@CAR","6.5","0","0","0","0","0","0","0","3.4719","12.7541","0.028","2.9439","2.4741","18.0205","0.1233","0.0639","0.032","0.0043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"146","Hunter Renfrow","OAK","wr","6","@CAR","8.8","0","0","0","0","0","0","0","0","0","0","4.7685","3.3599","38.8334","0.2144","0.0597","0.0298","0.0073","19.2553","0.0218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"147","Christian Kirk","ARZ","wr","8","@SF","8.8","0","0","0","0","0","0","0","0.754","5.1862","0.0232","5.3781","3.4031","37.2872","0.1334","0.0498","0.0249","0.0099","13.0309","0.0128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"148","Eric Ebron","PIT","te","8","@NYG","7.4","0","0","0","0","0","0","0","0","0","0","4.0473","2.7205","32.4704","0.2197","0.0185","0.0092","0.0046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"149","Boston Scott","PHI","rb","9","@WAS","6.4","0","0","0","0","0","0","0","6.3574","27.0261","0.2364","1.3042","1.0721","8.4448","0.043","0.083","0.0415","0.0039","35.3804","0.0078","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","Daniel Jones","NYG","qb","11","PIT","15.9","0","20.809","32.2759","225.2687","1.2033","0.9387","3.025","3.839","18.4352","0.1469","0","0","0","0","0.8734","0.4367","0.0348","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"151","Adrian Peterson","WAS","rb","8","PHI","6.3","0","0","0","0","0","0","0","5.7082","24.6638","0.2076","1.5463","1.2325","9.7092","0.0594","0.0616","0.0308","0.0015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"152","Tony Pollard","DAL","rb","10","@LA","6.2","0","0","0","0","0","0","0","6.1927","25.7037","0.084","1.8543","1.4447","11.5233","0.0597","0.1046","0.0523","0.0128","24.4142","0.0205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"153","Rashaad Penny","SEA","rb","6","@ATL","6.2","0","0","0","0","0","0","0","6.7349","28.6721","0.1671","1.3474","1.0895","8.7041","0.0604","0.0646","0.0323","0.0046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"154","Russell Gage","ATL","wr","10","SEA","8.6","0","0","0","0","0","0","0","0.2285","1.4986","0.0084","5.1036","3.5899","37.3389","0.1578","0.0332","0.0166","0.0064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"155","Randall Cobb","HST","wr","8","@KC","8.5","0","0","0","0","0","0","0","0.1629","1.0183","0.0051","4.3607","3.1423","40.0382","0.1866","0.0532","0.0266","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"156","Breshad Perriman","NYJ","wr","11","@BUF","8.5","0","0","0","0","0","0","0","0.1466","0.8329","0.0052","5.2823","2.4563","43.6015","0.2394","0.0219","0.0109","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"157","Corey Davis","TEN","wr","7","@DEN","8.5","0","0","0","0","0","0","0","0","0","0","5.049","3.0985","39.4989","0.2272","0.0306","0.0153","0.0067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
