"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"30","Zach Ertz","PHI","te","9","@WAS","14.5","0","0","0","0","0","0","0","0","0","0","7.9176","5.8459","61.7612","0.3492","0.0404","0.0202","0.0146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Melvin Gordon III","DEN","rb","8","TEN","13.4","0","0","0","0","0","0","0","10.11","38.7582","0.4214","4.2289","3.3628","26.0563","0.1387","0.1174","0.0587","0.0186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Nick Chubb","CLV","rb","9","@BLT","13.3","0","0","0","0","0","0","0","13.3702","64.0302","0.3699","2.824","2.2172","15.8691","0.0737","0.0803","0.0401","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Allen Robinson II","CHI","wr","11","@DET","15.7","0","0","0","0","0","0","0","0.1373","0.82","0.005","9.0326","5.4677","70.2384","0.4236","0.046","0.023","0.0081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Rob Gronkowski","TB","te","13","@NO","14.2","0","0","0","0","0","0","0","0","0","0","6.4594","4.4765","69.1278","0.3828","0.0508","0.0254","0.0108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Darren Waller","OAK","te","6","@CAR","14.2","0","0","0","0","0","0","0","0","0","0","6.7034","5.0556","61.8883","0.4212","0.0549","0.0275","0.0132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","A.J. Brown","TEN","wr","7","@DEN","15.4","0","0","0","0","0","0","0","0.2556","2.0004","0.0068","6.9416","4.4006","73.1747","0.4649","0.0532","0.0266","0.0125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","Mark Ingram II","BLT","rb","8","CLV","13","0","0","0","0","0","0","0","11.5891","54.2755","0.5103","2.5261","2.1082","14.671","0.1051","0.1413","0.0707","0.0283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Kenyan Drake","ARZ","rb","8","@SF","12.9","0","0","0","0","0","0","0","12.1768","48.8582","0.368","3.7983","2.9673","20.8596","0.1031","0.1985","0.0993","0.0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","Josh Jacobs","OAK","rb","6","@CAR","12.8","0","0","0","0","0","0","0","16.6118","61.9424","0.3727","2.4461","1.9382","14.9031","0.0901","0.1347","0.0674","0.0088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Tyler Lockett","SEA","wr","6","@ATL","15.1","0","0","0","0","0","0","0","0.2608","1.6971","0.0087","6.4729","4.6575","69.6532","0.4413","0.0555","0.0278","0.0161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
