,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Aaron Brooks,NOR,QB,249.0,2.0,0.0,22.0,19.0,4.0,26.0,1.0,0.0,0.0,0.0,nfl_hist,aaronbrooks
1,Jake Plumme,ARI,QB,334.0,4.0,1.0,33.0,21.0,1.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,jakeplumme
2,Kent Graham,WAS,QB,123.0,2.0,0.0,18.0,12.0,4.0,-5.0,0.0,0.0,0.0,0.0,nfl_hist,kentgraham
3,Rich Gannon,OAK,QB,311.0,4.0,1.0,38.0,25.0,2.0,15.0,0.0,0.0,0.0,0.0,nfl_hist,richgannon
4,Jim Mille,CHI,QB,228.0,3.0,1.0,25.0,14.0,4.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,jimmille
5,Kurt Warne,STL,QB,401.0,3.0,2.0,42.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,kurtwarne
6,Alex Van Pelt,BUF,QB,316.0,2.0,0.0,42.0,28.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,alexvanpelt
7,Daunte Culpeppe,MIN,QB,277.0,4.0,2.0,38.0,26.0,9.0,26.0,0.0,0.0,0.0,0.0,nfl_hist,daunteculpeppe
8,Matt Hasselbeck,SEA,QB,134.0,1.0,0.0,23.0,16.0,4.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,matthasselbeck
9,Kordell Stewart,PIT,QB,266.0,1.0,0.0,33.0,21.0,5.0,50.0,1.0,0.0,0.0,0.0,nfl_hist,kordellstewart
10,Peyton Manning,IND,QB,262.0,1.0,1.0,28.0,18.0,4.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
11,Mark Royals,TAM,P,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,markroyals
12,Jeff Garcia,SFO,QB,305.0,3.0,2.0,54.0,34.0,1.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,jeffgarcia
13,Chris Weinke,CAR,QB,177.0,2.0,0.0,41.0,22.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,chrisweinke
14,Steve McNai,TEN,QB,172.0,1.0,1.0,25.0,16.0,5.0,68.0,0.0,0.0,0.0,0.0,nfl_hist,stevemcnai
15,Jonathan Quinn,JAX,QB,225.0,0.0,0.0,31.0,17.0,4.0,39.0,0.0,0.0,0.0,0.0,nfl_hist,jonathanquinn
16,Chris Chandle,ATL,QB,352.0,2.0,2.0,50.0,29.0,2.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,chrischandle
17,Brad Johnson,TAM,QB,399.0,0.0,2.0,56.0,40.0,3.0,5.0,1.0,0.0,0.0,0.0,nfl_hist,bradjohnson
18,Charlie Batch,DET,QB,436.0,3.0,3.0,62.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,charliebatch
19,Vinny Testaverde,NYJ,QB,76.0,1.0,0.0,21.0,10.0,5.0,-8.0,0.0,0.0,0.0,0.0,nfl_hist,vinnytestaverde
20,Tom Brady,NWE,QB,185.0,1.0,2.0,27.0,19.0,2.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
21,Brett Favre,GNB,QB,262.0,2.0,3.0,29.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,brettfavre
22,Kerry Collins,NYG,QB,321.0,0.0,2.0,37.0,21.0,3.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,kerrycollins
23,Jon Kitna,CIN,QB,234.0,1.0,2.0,41.0,23.0,1.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,jonkitna
24,Donovan McNabb,PHI,QB,129.0,1.0,1.0,32.0,16.0,4.0,24.0,0.0,0.0,0.0,0.0,nfl_hist,donovanmcnabb
25,Brian Griese,DEN,QB,114.0,1.0,0.0,31.0,11.0,4.0,29.0,0.0,0.0,0.0,0.0,nfl_hist,briangriese
26,Elvis Grbac,BAL,QB,261.0,2.0,4.0,44.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,elvisgrbac
27,Jay Fiedle,MIA,QB,188.0,0.0,3.0,36.0,24.0,4.0,14.0,0.0,0.0,0.0,0.0,nfl_hist,jayfiedle
