,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Jeff Blake,NOR,QB,288.0,3.0,0.0,27.0,21.0,6.0,23.0,0.0,0.0,0.0,0.0,nfl_hist,jeffblake
1,Rich Gannon,OAK,QB,242.0,4.0,0.0,31.0,20.0,5.0,33.0,0.0,0.0,0.0,0.0,nfl_hist,richgannon
2,Kerry Collins,NYG,QB,257.0,3.0,0.0,31.0,19.0,5.0,-5.0,0.0,0.0,0.0,0.0,nfl_hist,kerrycollins
3,Louie Aguia,CHI,P,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,louieaguia
4,Mark Royals,TAM,P,36.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,markroyals
5,Trent Green,STL,QB,431.0,2.0,0.0,42.0,29.0,2.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,trentgreen
6,Trent Dilfe,BAL,QB,244.0,3.0,0.0,34.0,23.0,5.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,trentdilfe
7,Moses Moreno,SDG,QB,47.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,mosesmoreno
8,Brian Griese,DEN,QB,327.0,2.0,1.0,35.0,22.0,5.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,briangriese
9,Elvis Grbac,KAN,QB,504.0,2.0,2.0,53.0,39.0,1.0,3.0,1.0,0.0,0.0,0.0,nfl_hist,elvisgrbac
10,Steve Beuerlein,CAR,QB,214.0,2.0,1.0,25.0,15.0,3.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,stevebeuerlein
11,Peyton Manning,IND,QB,302.0,2.0,1.0,39.0,26.0,3.0,22.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
12,Jim Mille,CHI,QB,214.0,1.0,0.0,35.0,24.0,4.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,jimmille
13,Jay Fiedle,MIA,QB,112.0,0.0,0.0,18.0,13.0,8.0,42.0,0.0,0.0,0.0,0.0,nfl_hist,jayfiedle
14,Jim Harbaugh,SDG,QB,236.0,1.0,1.0,32.0,22.0,6.0,16.0,0.0,0.0,0.0,0.0,nfl_hist,jimharbaugh
15,Brett Favre,GNB,QB,235.0,2.0,0.0,36.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,brettfavre
16,Jon Kitna,SEA,QB,85.0,2.0,1.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,jonkitna
17,Shaun King,TAM,QB,110.0,3.0,1.0,25.0,11.0,3.0,19.0,0.0,0.0,0.0,0.0,nfl_hist,shaunking
