,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Donovan McNabb,PHI,QB,36.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,donovanmcnabb
1,Daunte Culpeppe,MIN,QB,285.0,3.0,0.0,23.0,16.0,3.0,21.0,0.0,0.0,0.0,0.0,nfl_hist,daunteculpeppe
2,Shane Matthews,BUF,QB,44.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,shanematthews
3,Jake Delhomme,CAR,QB,214.0,4.0,0.0,24.0,19.0,1.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,jakedelhomme
4,Ben Roethlisberge,PIT,QB,221.0,2.0,1.0,19.0,14.0,2.0,11.0,0.0,0.0,0.0,0.0,nfl_hist,benroethlisberge
5,Jake Plumme,DEN,QB,303.0,2.0,1.0,26.0,21.0,7.0,28.0,0.0,0.0,0.0,0.0,nfl_hist,jakeplumme
6,Drew Brees,SDG,QB,290.0,3.0,1.0,31.0,21.0,6.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
7,Tom Brady,NWE,QB,264.0,2.0,0.0,32.0,21.0,4.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
8,Marc Bulge,STL,QB,225.0,1.0,0.0,27.0,20.0,3.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,marcbulge
9,Brett Favre,GNB,QB,365.0,3.0,1.0,43.0,30.0,3.0,-4.0,0.0,0.0,0.0,0.0,nfl_hist,brettfavre
10,Trent Green,KAN,QB,358.0,2.0,1.0,45.0,32.0,2.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,trentgreen
11,Brian Griese,TAM,QB,321.0,3.0,2.0,41.0,30.0,2.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,briangriese
12,Peyton Manning,IND,QB,383.0,2.0,1.0,44.0,27.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
13,Josh McCown,ARI,QB,248.0,3.0,2.0,33.0,21.0,2.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,joshmccown
14,Drew Bledsoe,BUF,QB,172.0,1.0,0.0,32.0,21.0,2.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,drewbledsoe
15,Jon Kitna,CIN,QB,186.0,2.0,1.0,32.0,20.0,2.0,14.0,0.0,0.0,0.0,0.0,nfl_hist,jonkitna
16,Tommy Maddox,PIT,QB,0.0,0.0,0.0,1.0,1.0,4.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,tommymaddox
17,A.J. Feeley,MIA,QB,176.0,1.0,0.0,43.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,ajfeeley
18,Vinny Testaverde,DAL,QB,234.0,1.0,1.0,39.0,23.0,3.0,14.0,0.0,0.0,0.0,0.0,nfl_hist,vinnytestaverde
19,Kerry Collins,OAK,QB,217.0,2.0,1.0,37.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,kerrycollins
20,Chad Hutchinson,CHI,QB,114.0,1.0,0.0,35.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,chadhutchinson
21,Luke McCown,CLE,QB,161.0,1.0,2.0,16.0,9.0,2.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,lukemccown
22,Chad Pennington,NYJ,QB,252.0,1.0,2.0,36.0,22.0,3.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,chadpennington
23,David Ca,HOU,QB,131.0,1.0,2.0,19.0,13.0,8.0,27.0,0.0,0.0,0.0,0.0,nfl_hist,davidca
24,Doug Johnson,TEN,QB,26.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,dougjohnson
25,Aaron Brooks,NOR,QB,227.0,1.0,2.0,24.0,12.0,5.0,12.0,1.0,0.0,0.0,0.0,nfl_hist,aaronbrooks
26,David Garrard,JAX,QB,19.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,davidgarrard
27,Patrick Ramsey,WAS,QB,158.0,1.0,2.0,29.0,19.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,patrickramsey
28,Kyle Bolle,BAL,QB,177.0,0.0,1.0,32.0,18.0,4.0,28.0,0.0,0.0,0.0,0.0,nfl_hist,kylebolle
29,Eli Manning,NYG,QB,201.0,0.0,1.0,37.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,elimanning
30,Joey Harrington,DET,QB,166.0,0.0,1.0,30.0,15.0,5.0,26.0,0.0,0.0,0.0,0.0,nfl_hist,joeyharrington
31,Jeff Blake,PHI,QB,41.0,0.0,0.0,14.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,jeffblake
32,Koy Detme,PHI,QB,5.0,0.0,0.0,6.0,1.0,4.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,koydetme
33,Brian Moorman,BUF,P,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,brianmoorman
34,Sage Rosenfels,MIA,QB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,sagerosenfels
35,Jeff Wilkins,STL,K,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,jeffwilkins
36,Trent Dilfe,SEA,QB,128.0,0.0,1.0,26.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,trentdilfe
37,Matt Schaub,ATL,QB,188.0,0.0,2.0,41.0,17.0,4.0,21.0,0.0,0.0,0.0,0.0,nfl_hist,mattschaub
38,Ken Dorsey,SFO,QB,54.0,0.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,kendorsey
39,Byron Leftwich,JAX,QB,35.0,0.0,1.0,14.0,6.0,4.0,19.0,0.0,0.0,0.0,0.0,nfl_hist,byronleftwich
40,Billy Volek,TEN,QB,111.0,0.0,2.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,billyvolek
41,Cody Pickett,SFO,QB,55.0,0.0,2.0,10.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,codypickett
42,Domanick Williams,HOU,RB,0.0,0.0,0.0,0.0,0.0,31.0,158.0,1.0,4.0,31.0,0.0,nfl_hist,domanickwilliams
43,Shaun Alexande,SEA,RB,0.0,0.0,0.0,0.0,0.0,30.0,154.0,3.0,0.0,0.0,0.0,nfl_hist,shaunalexande
44,Steven Jackson,STL,RB,0.0,0.0,0.0,0.0,0.0,24.0,148.0,1.0,0.0,0.0,0.0,nfl_hist,stevenjackson
45,Lee Suggs,CLE,RB,0.0,0.0,0.0,0.0,0.0,38.0,143.0,0.0,1.0,4.0,0.0,nfl_hist,leesuggs
46,Deuce McAlliste,NOR,RB,0.0,0.0,0.0,0.0,0.0,29.0,128.0,0.0,0.0,0.0,0.0,nfl_hist,deucemcalliste
47,Nick Goings,CAR,RB,0.0,0.0,0.0,0.0,0.0,33.0,127.0,0.0,4.0,39.0,0.0,nfl_hist,nickgoings
48,Kevin Jones,DET,HB,0.0,0.0,0.0,0.0,0.0,25.0,123.0,1.0,1.0,8.0,0.0,nfl_hist,kevinjones
49,Jerome Bettis,PIT,RB,0.0,0.0,0.0,0.0,0.0,27.0,117.0,0.0,2.0,13.0,0.0,nfl_hist,jeromebettis
50,Tiki Barbe,NYG,RB,0.0,0.0,0.0,0.0,0.0,22.0,109.0,1.0,2.0,14.0,0.0,nfl_hist,tikibarbe
51,Thomas Jones,CHI,RB,0.0,0.0,0.0,0.0,0.0,22.0,109.0,0.0,4.0,34.0,0.0,nfl_hist,thomasjones
52,Willis McGahee,BUF,HB,0.0,0.0,0.0,0.0,0.0,15.0,102.0,2.0,1.0,14.0,0.0,nfl_hist,willismcgahee
