,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Drew Brees,SDG,QB,339.0,4.0,0.0,33.0,28.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
1,Marc Bulge,STL,QB,224.0,2.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,marcbulge
2,Eli Manning,NYG,QB,218.0,3.0,0.0,26.0,17.0,3.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,elimanning
3,Jamie Martin,STL,QB,161.0,1.0,0.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,jamiemartin
4,Kurt Warne,ARI,QB,285.0,3.0,0.0,39.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,kurtwarne
5,Tom Brady,NWE,QB,222.0,3.0,0.0,29.0,15.0,1.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
6,Trent Green,KAN,QB,220.0,3.0,1.0,29.0,19.0,1.0,11.0,0.0,0.0,0.0,0.0,nfl_hist,trentgreen
7,Byron Leftwich,JAX,QB,258.0,3.0,0.0,38.0,22.0,6.0,9.0,1.0,0.0,0.0,0.0,nfl_hist,byronleftwich
8,Peyton Manning,IND,QB,365.0,3.0,1.0,40.0,24.0,4.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
9,Trent Dilfe,CLE,QB,137.0,1.0,0.0,18.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,trentdilfe
10,Ken Dorsey,SFO,QB,249.0,1.0,0.0,29.0,18.0,3.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,kendorsey
11,Carson Palme,CIN,QB,335.0,2.0,1.0,38.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,carsonpalme
12,Antwaan Randle El,PIT,SE,16.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,50.0,0.0,nfl_hist,antwaanrandleel
13,Michael Vick,ATL,QB,306.0,2.0,0.0,38.0,21.0,4.0,17.0,0.0,0.0,0.0,0.0,nfl_hist,michaelvick
14,Jake Plumme,DEN,QB,225.0,0.0,0.0,26.0,18.0,6.0,20.0,0.0,0.0,0.0,0.0,nfl_hist,jakeplumme
15,Matt Hasselbeck,SEA,QB,233.0,1.0,0.0,31.0,19.0,6.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,matthasselbeck
16,Steve McNai,TEN,QB,208.0,2.0,1.0,30.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,stevemcnai
17,Brooks Bollinge,NYJ,QB,26.0,0.0,0.0,5.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,brooksbollinge
