,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Joey Harrington,DET,QB,77.0,1.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,joeyharrington
1,Kurt Warne,ARI,QB,115.0,1.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,kurtwarne
2,Matt Hasselbeck,SEA,QB,285.0,3.0,0.0,27.0,21.0,5.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,matthasselbeck
3,Kyle Bolle,BAL,QB,253.0,3.0,0.0,27.0,19.0,1.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,kylebolle
4,Mark Brunell,WAS,QB,163.0,4.0,0.0,20.0,12.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,markbrunell
5,Tom Brady,NWE,QB,258.0,3.0,0.0,31.0,20.0,3.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
6,Craig Hentrich,TEN,P/K,26.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,craighentrich
7,Brooks Bollinge,NYJ,QB,327.0,2.0,0.0,42.0,28.0,5.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,brooksbollinge
8,Steve McNai,TEN,QB,310.0,2.0,0.0,38.0,23.0,2.0,13.0,0.0,0.0,0.0,0.0,nfl_hist,stevemcnai
9,Ben Roethlisberge,PIT,QB,149.0,0.0,0.0,15.0,10.0,6.0,7.0,1.0,0.0,0.0,0.0,nfl_hist,benroethlisberge
10,Sage Rosenfels,MIA,QB,99.0,1.0,0.0,13.0,6.0,4.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,sagerosenfels
11,Carson Palme,CIN,QB,274.0,3.0,2.0,39.0,28.0,1.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,carsonpalme
12,Jake Plumme,DEN,QB,259.0,2.0,0.0,37.0,20.0,3.0,19.0,0.0,0.0,0.0,0.0,nfl_hist,jakeplumme
13,Kelly Holcomb,BUF,QB,202.0,1.0,0.0,35.0,22.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,kellyholcomb
14,Jamie Martin,STL,QB,58.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,jamiemartin
15,Jake Delhomme,CAR,QB,176.0,1.0,1.0,21.0,13.0,1.0,2.0,1.0,0.0,0.0,0.0,nfl_hist,jakedelhomme
16,John Navarre,ARI,QB,174.0,1.0,1.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,johnnavarre
17,Drew Brees,SDG,QB,255.0,1.0,2.0,33.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
18,Chris Simms,TAM,QB,155.0,0.0,0.0,34.0,21.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,chrissimms
19,Peyton Manning,IND,QB,336.0,1.0,2.0,45.0,26.0,2.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
20,Jon Kitna,CIN,QB,6.0,0.0,0.0,3.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,nfl_hist,jonkitna
21,Charlie Frye,CLE,QB,198.0,0.0,1.0,32.0,21.0,7.0,11.0,0.0,0.0,0.0,0.0,nfl_hist,charliefrye
22,David Garrard,JAX,QB,216.0,0.0,0.0,40.0,21.0,5.0,27.0,1.0,0.0,0.0,0.0,nfl_hist,davidgarrard
23,Eli Manning,NYG,QB,186.0,1.0,1.0,32.0,17.0,2.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,elimanning
24,David Ca,HOU,QB,150.0,0.0,1.0,33.0,22.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,davidca
25,Gus Frerotte,MIA,QB,76.0,1.0,1.0,16.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,gusfrerotte
26,Trent Green,KAN,QB,176.0,0.0,1.0,28.0,15.0,2.0,21.0,0.0,0.0,0.0,0.0,nfl_hist,trentgreen
27,Jeff Garcia,DET,QB,138.0,1.0,3.0,21.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,jeffgarcia
28,Kerry Collins,OAK,QB,132.0,1.0,1.0,30.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,kerrycollins
29,Rex Grossman,CHI,QB,93.0,0.0,1.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,rexgrossman
