,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Frank Wycheck,TEN,TE,61.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,29.0,0.0,nfl_hist,frankwycheck
1,Matt Hasselbeck,GNB,QB,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,matthasselbeck
2,Steve Beuerlein,CAR,QB,368.0,4.0,0.0,38.0,27.0,2.0,20.0,0.0,0.0,0.0,0.0,nfl_hist,stevebeuerlein
3,Cade McNown,CHI,QB,301.0,4.0,2.0,36.0,27.0,9.0,36.0,0.0,0.0,0.0,0.0,nfl_hist,cademcnown
4,Kurt Warne,STL,QB,319.0,2.0,0.0,32.0,18.0,2.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,kurtwarne
5,Jeff George,MIN,QB,258.0,2.0,0.0,29.0,16.0,1.0,17.0,0.0,0.0,0.0,0.0,nfl_hist,jeffgeorge
6,Elvis Grbac,KAN,QB,149.0,2.0,0.0,22.0,12.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,elvisgrbac
7,Peyton Manning,IND,QB,298.0,2.0,1.0,37.0,23.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
8,Charlie Batch,DET,QB,95.0,0.0,0.0,10.0,6.0,1.0,12.0,1.0,0.0,0.0,0.0,nfl_hist,charliebatch
9,Brad Johnson,WAS,QB,237.0,1.0,0.0,30.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,bradjohnson
10,Jon Kitna,SEA,QB,278.0,2.0,0.0,42.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,jonkitna
11,Ty Detme,CLE,QB,153.0,1.0,0.0,24.0,13.0,2.0,22.0,0.0,0.0,0.0,0.0,nfl_hist,tydetme
12,Steve McNai,TEN,QB,216.0,1.0,0.0,29.0,15.0,9.0,76.0,1.0,0.0,0.0,0.0,nfl_hist,stevemcnai
13,Jeff Garcia,SFO,QB,303.0,2.0,1.0,46.0,29.0,2.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,jeffgarcia
14,Ray Lucas,NYJ,QB,229.0,2.0,1.0,34.0,20.0,5.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,raylucas
15,Mark Brunell,JAX,QB,267.0,1.0,1.0,33.0,21.0,3.0,16.0,1.0,0.0,0.0,0.0,nfl_hist,markbrunell
16,Rich Gannon,OAK,QB,141.0,1.0,0.0,26.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,richgannon
17,Tony Banks,BAL,QB,298.0,3.0,3.0,36.0,24.0,1.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,tonybanks
18,Doug Flutie,BUF,QB,239.0,2.0,2.0,32.0,21.0,7.0,25.0,0.0,0.0,0.0,0.0,nfl_hist,dougflutie
19,Danny Kanell,ATL,QB,237.0,2.0,2.0,29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,dannykanell
20,Dan Marino,MIA,QB,241.0,0.0,0.0,36.0,22.0,2.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,danmarino
21,Terry Kirby,CLE,RB,2.0,0.0,0.0,1.0,1.0,4.0,14.0,1.0,2.0,4.0,0.0,nfl_hist,terrykirby
22,Tim Couch,CLE,QB,86.0,0.0,0.0,16.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,timcouch
23,Kerry Collins,NYG,QB,273.0,1.0,2.0,37.0,21.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,kerrycollins
24,Koy Detme,PHI,QB,181.0,3.0,2.0,29.0,10.0,2.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,koydetme
25,Jim Harbaugh,SDG,QB,178.0,0.0,0.0,40.0,20.0,2.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,jimharbaugh
26,Brian Griese,DEN,QB,180.0,2.0,2.0,39.0,20.0,4.0,52.0,0.0,0.0,0.0,0.0,nfl_hist,briangriese
27,Shaun King,TAM,QB,142.0,0.0,1.0,29.0,17.0,1.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,shaunking
28,Brett Favre,GNB,QB,229.0,0.0,2.0,39.0,22.0,2.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,brettfavre
29,Mike Tomczak,PIT,QB,278.0,2.0,4.0,46.0,23.0,2.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,miketomczak
30,Jake Plumme,ARI,QB,119.0,1.0,1.0,30.0,11.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,jakeplumme
31,Troy Aikman,DAL,QB,158.0,1.0,2.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,troyaikman
32,Billy Joe Hobert,NOR,QB,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,billyjoehobert
33,Bobby Hoying,OAK,QB,0.0,0.0,0.0,2.0,0.0,2.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,bobbyhoying
34,Tom Tupa,NYJ,P,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,tomtupa
35,Billy Joe Tollive,NOR,QB,207.0,1.0,3.0,35.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,billyjoetollive
36,Drew Bledsoe,NWE,QB,331.0,0.0,4.0,49.0,23.0,2.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,drewbledsoe
37,Gus Frerotte,DET,QB,158.0,0.0,3.0,30.0,17.0,1.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,gusfrerotte
38,Tony Graziani,ATL,QB,73.0,0.0,1.0,14.0,6.0,1.0,-9.0,0.0,0.0,0.0,0.0,nfl_hist,tonygraziani
39,Danny Wuerffel,NOR,QB,45.0,0.0,1.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,dannywuerffel
40,Stoney Case,BAL,QB,0.0,0.0,1.0,3.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,stoneycase
41,Olandis Gary,DEN,RB,0.0,0.0,0.0,0.0,0.0,22.0,183.0,0.0,2.0,16.0,0.0,nfl_hist,olandisgary
42,Fred Taylo,JAX,RB,0.0,0.0,0.0,0.0,0.0,26.0,136.0,1.0,2.0,13.0,0.0,nfl_hist,fredtaylo
43,Napoleon Kaufman,OAK,RB,0.0,0.0,0.0,0.0,0.0,8.0,122.0,2.0,1.0,1.0,0.0,nfl_hist,napoleonkaufman
44,Ricky Watters,SEA,RB,0.0,0.0,0.0,0.0,0.0,16.0,115.0,1.0,3.0,20.0,0.0,nfl_hist,rickywatters
45,Curtis Martin,NYJ,RB,0.0,0.0,0.0,0.0,0.0,26.0,113.0,0.0,1.0,6.0,0.0,nfl_hist,curtismartin
46,Tyrone Wheatley,OAK,RB,0.0,0.0,0.0,0.0,0.0,19.0,111.0,2.0,1.0,1.0,0.0,nfl_hist,tyronewheatley
47,Emmitt Smith,DAL,RB,0.0,0.0,0.0,0.0,0.0,19.0,110.0,0.0,3.0,36.0,1.0,nfl_hist,emmittsmith
48,Dorsey Levens,GNB,RB,0.0,0.0,0.0,0.0,0.0,26.0,99.0,1.0,4.0,21.0,0.0,nfl_hist,dorseylevens
49,Duce Staley,PHI,RB,0.0,0.0,0.0,0.0,0.0,29.0,93.0,0.0,0.0,0.0,0.0,nfl_hist,ducestaley
50,Edgerrin James,IND,RB,0.0,0.0,0.0,0.0,0.0,22.0,89.0,1.0,4.0,59.0,1.0,nfl_hist,edgerrinjames
51,Derrick Alexande,KAN,FL,0.0,0.0,0.0,0.0,0.0,1.0,82.0,1.0,2.0,20.0,0.0,nfl_hist,derrickalexande
52,Jonathan Linton,BUF,FB,0.0,0.0,0.0,0.0,0.0,21.0,81.0,1.0,0.0,0.0,0.0,nfl_hist,jonathanlinton
53,Greg Hill,DET,RB,0.0,0.0,0.0,0.0,0.0,13.0,77.0,0.0,1.0,5.0,0.0,nfl_hist,greghill
54,Bam Morris,KAN,RB,0.0,0.0,0.0,0.0,0.0,17.0,71.0,1.0,1.0,4.0,0.0,nfl_hist,bammorris
55,Stephen Davis,WAS,RB,0.0,0.0,0.0,0.0,0.0,14.0,70.0,0.0,0.0,0.0,0.0,nfl_hist,stephendavis
56,Curtis Enis,CHI,RB,0.0,0.0,0.0,0.0,0.0,22.0,69.0,0.0,1.0,6.0,0.0,nfl_hist,curtisenis
