,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Kurt Warne,STL,QB,323.0,5.0,1.0,23.0,20.0,1.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,kurtwarne
1,Peyton Manning,IND,QB,274.0,3.0,1.0,24.0,17.0,2.0,-13.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
2,Billy Joe Hobert,NOR,QB,153.0,1.0,0.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,billyjoehobert
3,Doug Flutie,BUF,QB,261.0,3.0,0.0,32.0,21.0,7.0,39.0,0.0,0.0,0.0,0.0,nfl_hist,dougflutie
4,Dan Marino,MIA,QB,393.0,2.0,0.0,38.0,25.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,danmarino
5,Jake Plumme,ARI,QB,156.0,1.0,0.0,19.0,13.0,3.0,3.0,1.0,0.0,0.0,0.0,nfl_hist,jakeplumme
6,Shane Matthews,CHI,QB,184.0,2.0,0.0,28.0,19.0,1.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,shanematthews
7,Brett Favre,GNB,QB,390.0,2.0,0.0,40.0,22.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,brettfavre
8,Kordell Stewart,PIT,QB,216.0,2.0,1.0,29.0,21.0,3.0,11.0,0.0,0.0,0.0,0.0,nfl_hist,kordellstewart
9,Tony Graziani,ATL,QB,162.0,1.0,0.0,20.0,11.0,2.0,14.0,0.0,0.0,0.0,0.0,nfl_hist,tonygraziani
10,Neil O'Donnell,TEN,QB,216.0,1.0,0.0,35.0,24.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,neilodonnell
11,Akili Smith,CIN,QB,221.0,2.0,0.0,42.0,25.0,3.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,akilismith
12,Cade McNown,CHI,QB,97.0,0.0,0.0,14.0,9.0,2.0,17.0,0.0,0.0,0.0,0.0,nfl_hist,cademcnown
13,Brian Griese,DEN,QB,234.0,1.0,1.0,29.0,17.0,7.0,16.0,0.0,0.0,0.0,0.0,nfl_hist,briangriese
14,Mark Brunell,JAX,QB,215.0,0.0,0.0,35.0,21.0,2.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,markbrunell
15,Elvis Grbac,KAN,QB,198.0,0.0,1.0,26.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,elvisgrbac
16,Rich Gannon,OAK,QB,248.0,1.0,2.0,36.0,25.0,4.0,8.0,0.0,1.0,-3.0,0.0,nfl_hist,richgannon
17,Drew Bledsoe,NWE,QB,334.0,2.0,2.0,45.0,23.0,2.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,drewbledsoe
18,Charlie Batch,DET,QB,230.0,1.0,1.0,38.0,21.0,5.0,20.0,0.0,0.0,0.0,0.0,nfl_hist,charliebatch
19,Kerry Collins,NYG,QB,202.0,0.0,1.0,38.0,24.0,4.0,23.0,0.0,0.0,0.0,0.0,nfl_hist,kerrycollins
