,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Jeff Blake,CIN,QB,334.0,4.0,0.0,30.0,21.0,3.0,18.0,0.0,0.0,0.0,0.0,nfl_hist,jeffblake
1,Tony Banks,BAL,QB,332.0,4.0,0.0,31.0,18.0,1.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,tonybanks
2,Kerry Collins,NYG,QB,341.0,3.0,0.0,29.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,nfl_hist,kerrycollins
3,Rich Gannon,OAK,QB,253.0,2.0,1.0,24.0,19.0,3.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,richgannon
4,Paul Justin,STL,QB,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,pauljustin
5,Kurt Warne,STL,QB,351.0,3.0,2.0,31.0,22.0,2.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,kurtwarne
6,Ray Lucas,NYJ,QB,284.0,4.0,0.0,48.0,31.0,5.0,20.0,0.0,0.0,0.0,0.0,nfl_hist,raylucas
7,Jeff Garcia,SFO,QB,437.0,3.0,1.0,49.0,33.0,1.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,jeffgarcia
8,Dan Marino,MIA,QB,313.0,3.0,1.0,38.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,danmarino
9,Gus Frerotte,DET,QB,280.0,1.0,0.0,32.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,gusfrerotte
10,Mark Brunell,JAX,QB,308.0,1.0,0.0,37.0,25.0,3.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,markbrunell
11,Jim Harbaugh,SDG,QB,161.0,0.0,0.0,23.0,16.0,6.0,15.0,0.0,0.0,0.0,0.0,nfl_hist,jimharbaugh
12,Peyton Manning,IND,QB,260.0,1.0,2.0,29.0,23.0,2.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
13,Shaun King,TAM,QB,93.0,2.0,1.0,19.0,11.0,4.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,shaunking
14,Donovan McNabb,PHI,QB,157.0,2.0,1.0,31.0,19.0,9.0,67.0,0.0,1.0,-6.0,0.0,nfl_hist,donovanmcnabb
15,Troy Aikman,DAL,QB,160.0,0.0,0.0,30.0,20.0,2.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,troyaikman
16,Chris Chandle,ATL,QB,233.0,2.0,3.0,25.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,nfl_hist,chrischandle
17,Neil O'Donnell,TEN,QB,27.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,neilodonnell
18,Steve Beuerlein,CAR,QB,266.0,3.0,2.0,42.0,21.0,1.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,stevebeuerlein
19,Elvis Grbac,KAN,QB,183.0,1.0,1.0,34.0,20.0,2.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,elvisgrbac
20,Jon Kitna,SEA,QB,245.0,2.0,2.0,39.0,22.0,3.0,15.0,0.0,0.0,0.0,0.0,nfl_hist,jonkitna
21,Brett Favre,GNB,QB,155.0,1.0,2.0,24.0,17.0,1.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,brettfavre
22,Brad Johnson,WAS,QB,249.0,1.0,2.0,43.0,26.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,bradjohnson
23,Jake Plumme,ARI,QB,179.0,1.0,1.0,37.0,20.0,7.0,22.0,1.0,0.0,0.0,0.0,nfl_hist,jakeplumme
24,Jeff George,MIN,QB,271.0,1.0,2.0,45.0,26.0,1.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,jeffgeorge
25,Mike Tomczak,PIT,QB,194.0,0.0,0.0,39.0,19.0,1.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,miketomczak
26,Brian Griese,DEN,QB,227.0,0.0,1.0,36.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,briangriese
27,Tim Couch,CLE,QB,184.0,1.0,2.0,29.0,18.0,1.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,timcouch
28,Shane Matthews,CHI,QB,223.0,0.0,1.0,36.0,20.0,3.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,shanematthews
29,Steve McNai,TEN,QB,288.0,0.0,2.0,48.0,28.0,6.0,33.0,0.0,0.0,0.0,0.0,nfl_hist,stevemcnai
30,Drew Bledsoe,NWE,QB,176.0,0.0,2.0,25.0,14.0,7.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,drewbledsoe
31,Cade McNown,CHI,QB,3.0,0.0,0.0,3.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,cademcnown
32,Billy Joe Hobert,NOR,QB,12.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,billyjoehobert
33,Kevin Johnson,CLE,WR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,41.0,1.0,nfl_hist,kevinjohnson
34,Frank Sanders,ARI,WR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,72.0,0.0,nfl_hist,franksanders
35,Danny Wuerffel,NOR,QB,127.0,0.0,2.0,30.0,15.0,1.0,29.0,1.0,0.0,0.0,0.0,nfl_hist,dannywuerffel
36,James Stewart,JAX,RB,0.0,0.0,0.0,0.0,0.0,30.0,145.0,1.0,1.0,-1.0,0.0,nfl_hist,jamesstewart
37,Corey Dillon,CIN,RB,0.0,0.0,0.0,0.0,0.0,25.0,133.0,1.0,5.0,77.0,1.0,nfl_hist,coreydillon
38,Edgerrin James,IND,RB,0.0,0.0,0.0,0.0,0.0,23.0,130.0,2.0,3.0,1.0,0.0,nfl_hist,edgerrinjames
39,Marshall Faulk,STL,RB,0.0,0.0,0.0,0.0,0.0,22.0,118.0,0.0,6.0,79.0,0.0,nfl_hist,marshallfaulk
40,De'Mond Parke,GNB,RB,0.0,0.0,0.0,0.0,0.0,19.0,113.0,2.0,2.0,6.0,0.0,nfl_hist,demondparke
41,Joe Montgomery,NYG,RB,0.0,0.0,0.0,0.0,0.0,38.0,111.0,1.0,0.0,0.0,0.0,nfl_hist,joemontgomery
42,Priest Holmes,BAL,RB,0.0,0.0,0.0,0.0,0.0,9.0,100.0,0.0,1.0,13.0,0.0,nfl_hist,priestholmes
43,Mike Alstott,TAM,FB,0.0,0.0,0.0,0.0,0.0,23.0,95.0,0.0,1.0,2.0,0.0,nfl_hist,mikealstott
44,Wilmont Perry,NOR,RB,0.0,0.0,0.0,0.0,0.0,16.0,93.0,0.0,1.0,6.0,0.0,nfl_hist,wilmontperry
45,Charlie Garne,SFO,RB,0.0,0.0,0.0,0.0,0.0,18.0,91.0,1.0,5.0,52.0,0.0,nfl_hist,charliegarne
46,Ken Oxendine,ATL,RB,0.0,0.0,0.0,0.0,0.0,19.0,85.0,0.0,2.0,15.0,0.0,nfl_hist,kenoxendine
47,Curtis Enis,CHI,RB,0.0,0.0,0.0,0.0,0.0,19.0,80.0,1.0,7.0,48.0,0.0,nfl_hist,curtisenis
48,Tony Richardson,KAN,FB,0.0,0.0,0.0,0.0,0.0,12.0,80.0,0.0,2.0,16.0,0.0,nfl_hist,tonyrichardson
49,Tyrone Wheatley,OAK,RB,0.0,0.0,0.0,0.0,0.0,21.0,80.0,0.0,0.0,0.0,0.0,nfl_hist,tyronewheatley
50,Robert Smith,MIN,RB,0.0,0.0,0.0,0.0,0.0,20.0,77.0,0.0,5.0,68.0,0.0,nfl_hist,robertsmith
51,Napoleon Kaufman,OAK,RB,0.0,0.0,0.0,0.0,0.0,10.0,76.0,0.0,1.0,8.0,0.0,nfl_hist,napoleonkaufman
52,Emmitt Smith,DAL,RB,0.0,0.0,0.0,0.0,0.0,19.0,75.0,0.0,3.0,10.0,0.0,nfl_hist,emmittsmith
53,Duce Staley,PHI,RB,0.0,0.0,0.0,0.0,0.0,25.0,72.0,0.0,5.0,42.0,0.0,nfl_hist,ducestaley
54,Donnell Bennett,KAN,RB,0.0,0.0,0.0,0.0,0.0,13.0,66.0,0.0,0.0,0.0,0.0,nfl_hist,donnellbennett
55,J.J. Johnson,MIA,RB,0.0,0.0,0.0,0.0,0.0,21.0,62.0,0.0,3.0,26.0,0.0,nfl_hist,jjjohnson
56,Olandis Gary,DEN,RB,0.0,0.0,0.0,0.0,0.0,14.0,61.0,1.0,2.0,15.0,0.0,nfl_hist,olandisgary
57,Kenny Bynum,SDG,RB,0.0,0.0,0.0,0.0,0.0,17.0,60.0,1.0,0.0,0.0,0.0,nfl_hist,kennybynum
58,Brian Mitchell,WAS,RB,0.0,0.0,0.0,0.0,0.0,6.0,60.0,0.0,4.0,41.0,0.0,nfl_hist,brianmitchell
59,Terry Allen,NWE,RB,0.0,0.0,0.0,0.0,0.0,18.0,53.0,1.0,0.0,0.0,0.0,nfl_hist,terryallen
60,Stephen Davis,WAS,RB,0.0,0.0,0.0,0.0,0.0,12.0,51.0,0.0,5.0,8.0,0.0,nfl_hist,stephendavis
61,Ricky Watters,SEA,RB,0.0,0.0,0.0,0.0,0.0,14.0,51.0,1.0,5.0,53.0,0.0,nfl_hist,rickywatters
62,Basil Mitchell,GNB,RB,0.0,0.0,0.0,0.0,0.0,11.0,47.0,0.0,1.0,0.0,0.0,nfl_hist,basilmitchell
63,Bob Christian,ATL,FB,0.0,0.0,0.0,0.0,0.0,6.0,44.0,1.0,0.0,0.0,0.0,nfl_hist,bobchristian
64,Tim Biakabutuka,CAR,RB,0.0,0.0,0.0,0.0,0.0,11.0,42.0,0.0,3.0,17.0,0.0,nfl_hist,timbiakabutuka
65,Jermaine Fazande,SDG,FB,0.0,0.0,0.0,0.0,0.0,12.0,42.0,1.0,0.0,0.0,0.0,nfl_hist,jermainefazande
66,Richard Huntley,PIT,RB,0.0,0.0,0.0,0.0,0.0,2.0,37.0,0.0,0.0,0.0,0.0,nfl_hist,richardhuntley
67,Kevin Faulk,NWE,RB,0.0,0.0,0.0,0.0,0.0,9.0,36.0,0.0,3.0,43.0,0.0,nfl_hist,kevinfaulk
68,Eddie George,TEN,RB,0.0,0.0,0.0,0.0,0.0,8.0,32.0,1.0,5.0,44.0,0.0,nfl_hist,eddiegeorge
69,Karim Abdul-Jabba,CLE,RB,0.0,0.0,0.0,0.0,0.0,10.0,29.0,0.0,1.0,21.0,0.0,nfl_hist,karimabduljabba
70,Terrell Fletche,SDG,RB,0.0,0.0,0.0,0.0,0.0,9.0,28.0,0.0,0.0,0.0,0.0,nfl_hist,terrellfletche
71,David Patten,NYG,WR,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,nfl_hist,davidpatten
72,Adrian Murrell,ARI,RB,0.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,5.0,39.0,0.0,nfl_hist,adrianmurrell
73,Jerome Bettis,PIT,RB,0.0,0.0,0.0,0.0,0.0,12.0,23.0,0.0,1.0,14.0,0.0,nfl_hist,jeromebettis
74,Ahman Green,SEA,RB,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,nfl_hist,ahmangreen
75,Terry Kirby,CLE,RB,0.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,5.0,43.0,0.0,nfl_hist,terrykirby
76,Dino Philyaw,NOR,RB,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,nfl_hist,dinophilyaw
77,Howard Griffith,DEN,FB,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,4.0,26.0,0.0,nfl_hist,howardgriffith
78,William Henderson,GNB,FB,0.0,0.0,0.0,0.0,0.0,4.0,18.0,1.0,2.0,13.0,0.0,nfl_hist,williamhenderson
79,Greg Hill,DET,RB,0.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,1.0,8.0,0.0,nfl_hist,greghill
80,Bam Morris,KAN,RB,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,2.0,12.0,0.0,nfl_hist,bammorris
81,Mike Cloud,KAN,RB,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,nfl_hist,mikecloud
82,Stacey Mack,JAX,FB,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,nfl_hist,staceymack
83,Robert Holcombe,STL,FB,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,robertholcombe
84,Cory Schlesinge,DET,FB,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0,5.0,0.0,nfl_hist,coryschlesinge
85,Tiki Barbe,NYG,RB,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,1.0,-7.0,0.0,nfl_hist,tikibarbe
86,Leroy Hoard,MIN,RB,0.0,0.0,0.0,0.0,0.0,3.0,9.0,1.0,6.0,61.0,0.0,nfl_hist,leroyhoard
87,Mario Bates,ARI,RB,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,1.0,1.0,0.0,nfl_hist,mariobates
88,Troy Davis,NOR,RB,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,4.0,20.0,0.0,nfl_hist,troydavis
