player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player,percent_typical_position,percent_typical_overall
Kendrick Bourne,SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,32.2,3.55,395.7,0.4,0.05,2.8,93.65,219.0,96.0,True,0.5177465723131358,0.5177465723131358
Kenny Golladay,DET,WR,0.75,0.0,0.0,0.0,0.0,0.0,71.25,8.45,1202.75,0.65,0.0,3.35,241.06,47.0,9.0,True,1.3327067669172932,1.3327067669172932
Kenny Stills,HOU,WR,0.0,0.0,0.0,0.0,0.0,0.0,32.25,3.55,474.9,0.0,0.0,0.0,101.04,202.0,87.0,True,0.5586023883237506,0.5586023883237506
Kenyan Drake,ARI,RB,1.85,0.0,0.0,0.0,0.0,0.0,57.35,2.6,434.35,187.6,7.7,838.55,242.74,43.0,10.0,True,1.3419946926138877,1.3419946926138877
Kerryon Johnson,DET,RB,1.9,0.0,0.0,0.0,0.0,0.0,28.05,1.0,233.3,138.6,4.65,612.85,142.77,146.0,36.0,True,0.7893078283945157,0.7893078283945157
Kirk Cousins,MIN,QB,4.65,477.95,324.45,10.6,25.45,3728.75,0.0,0.0,0.0,38.7,1.0,92.2,246.27,39.0,23.0,True,1.3615103936311368,1.3615103936311368
Kyle Juszczyk,SF,RB,0.5,0.0,0.0,0.0,0.0,0.0,24.1,1.4,234.3,10.5,0.2,26.1,58.74,275.0,75.0,True,0.32474568774878376,0.32474568774878376
Kyle Rudolph,MIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,41.8,4.05,433.25,0.0,0.0,0.0,109.42,185.0,25.0,True,0.6049314462627157,0.6049314462627157
Kyler Murray,ARI,QB,1.95,562.15,364.85,13.9,24.8,3901.85,0.0,0.0,0.0,86.25,3.1,515.4,307.61,13.0,7.0,True,1.7006302521008405,1.7006302521008405
LV  Henry Ruggs,LV,WR,2.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,874.0,2.0,0.0,11.0,164.5,118.0,51.0,True,0.9094427244582044,0.9094427244582044
Lamar Jackson,BAL,QB,2.7,468.75,301.25,13.05,31.85,3507.5,0.0,0.0,0.0,153.9,4.9,958.45,374.5,2.0,1.0,True,2.070433436532508,2.070433436532508
Larry Fitzgerald,ARI,WR,0.75,0.0,0.0,0.0,0.0,0.0,50.9,3.7,553.4,0.0,0.0,0.0,126.94,171.0,75.0,True,0.7017912428129146,0.7017912428129146
Latavius Murray,NO,RB,1.5,0.0,0.0,0.0,0.0,0.0,23.7,0.25,162.1,144.35,5.3,597.5,129.96,167.0,42.0,True,0.7184873949579833,0.7184873949579833
Laviska Shenault,JAC,WR,1.5,0.0,0.0,0.0,0.0,0.0,42.75,2.6,623.75,18.3,0.3,122.2,131.74,165.0,71.0,True,0.7283281733746131,0.7283281733746131
Le'Veon Bell,NYJ,RB,2.45,0.0,0.0,0.0,0.0,0.0,60.8,1.3,457.15,218.65,4.95,798.55,218.97,65.0,15.0,True,1.2105816010614772,1.2105816010614772
Leonard Fournette,TB,RB,1.5,0.0,0.0,0.0,0.0,0.0,25.05,0.25,203.9,180.65,7.4,633.85,151.73,135.0,33.0,True,0.8388434321096859,0.8388434321096859
Logan Thomas,WAS,TE,0.5,0.0,0.0,0.0,0.0,0.0,37.35,2.15,370.65,0.0,0.0,0.0,86.32,229.0,37.0,True,0.4772224679345422,0.4772224679345422
Malcolm Brown,LAR,RB,0.5,0.0,0.0,0.0,0.0,0.0,9.9,1.1,83.2,98.7,3.1,381.0,80.52,238.0,64.0,True,0.44515701017249004,0.44515701017249004
Mark Andrews,BAL,TE,0.75,0.0,0.0,0.0,0.0,0.0,58.1,8.3,809.75,0.0,0.0,0.0,187.38,95.0,5.0,True,1.0359354268022998,1.0359354268022998
Mark Ingram,BAL,RB,1.8,0.0,0.0,0.0,0.0,0.0,23.2,2.5,203.35,169.35,6.05,853.9,176.62,102.0,23.0,True,0.9764484741264927,0.9764484741264927
Marlon Mack,IND,RB,1.6,0.0,0.0,0.0,0.0,0.0,14.35,0.25,90.25,185.7,6.4,817.4,141.82,147.0,37.0,True,0.7840557275541795,0.7840557275541795
Marquise Brown,BAL,WR,0.75,0.0,0.0,0.0,0.0,0.0,62.85,6.7,863.9,12.65,0.65,120.0,203.84,84.0,32.0,True,1.126934984520124,1.126934984520124
Marvin Jones,DET,WR,0.75,0.0,0.0,0.0,0.0,0.0,64.0,7.2,857.3,1.4,0.0,0.45,191.48,89.0,36.0,True,1.0586023883237505,1.0586023883237505
Matt Breida,MIA,RB,1.75,0.0,0.0,0.0,0.0,0.0,36.8,1.75,276.6,145.6,3.0,628.05,152.27,132.0,31.0,True,0.8418288367978771,0.8418288367978771
Matt Ryan,ATL,QB,4.1,637.55,426.35,15.25,28.05,4747.2,0.0,0.0,0.0,34.55,1.7,130.75,301.91,14.0,8.0,True,1.6691176470588238,1.6691176470588238
Matthew Stafford,DET,QB,4.05,566.95,360.75,14.0,25.65,4213.65,0.0,0.0,0.0,29.75,0.35,94.35,260.58,29.0,19.0,True,1.4406236178682,1.4406236178682
Mecole Hardman,KC,WR,1.5,0.0,0.0,0.0,0.0,0.0,35.9,5.85,603.15,6.05,0.1,25.65,131.48,166.0,72.0,True,0.726890756302521,0.726890756302521
Melvin Gordon,DEN,RB,1.7,0.0,0.0,0.0,0.0,0.0,45.15,1.8,369.3,182.95,7.5,736.55,208.14,80.0,18.0,True,1.1507076514816452,1.1507076514816452
Michael Gallup,DAL,WR,0.75,0.0,0.0,0.0,0.0,0.0,62.4,6.05,1044.5,0.0,0.0,0.0,201.65,85.0,33.0,True,1.114827509951349,1.114827509951349
Michael Pittman,IND,WR,0.75,0.0,0.0,0.0,0.0,0.0,46.5,3.95,670.5,2.0,0.0,8.65,136.62,153.0,67.0,True,0.7553073861123397,0.7553073861123397
Michael Thomas,NO,WR,0.75,0.0,0.0,0.0,0.0,0.0,132.85,9.05,1576.1,0.15,0.0,-1.05,343.16,4.0,1.0,True,1.8971693940734191,1.8971693940734191
Mike Davis,CAR,RB,0.75,0.0,0.0,0.0,0.0,0.0,17.45,0.05,106.6,72.6,2.7,297.7,72.88,252.0,68.0,True,0.4029190623617868,0.4029190623617868
Mike Evans,TB,WR,0.75,0.0,0.0,0.0,0.0,0.0,69.95,7.2,1183.45,0.25,0.0,1.55,230.15,61.0,17.0,True,1.272390535161433,1.272390535161433
Mike Gesicki,MIA,TE,1.5,0.0,0.0,0.0,0.0,0.0,57.75,4.15,639.1,0.0,0.0,0.0,143.56,145.0,14.0,True,0.7936753648827952,0.7936753648827952
Mike Williams,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,42.15,4.7,724.4,4.2,0.75,18.5,149.14,139.0,61.0,True,0.8245245466607695,0.8245245466607695
Miles Boykin,BAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,28.8,4.1,395.75,0.0,0.0,0.0,92.98,222.0,99.0,True,0.5140424590888988,0.5140424590888988
Miles Sanders,PHI,RB,2.55,0.0,0.0,0.0,0.0,0.0,54.9,2.7,528.1,220.9,5.0,993.0,248.11,37.0,9.0,True,1.3716828836797879,1.3716828836797879
Mitchell Trubisky,CHI,QB,0.85,436.9,282.45,10.6,17.2,2782.65,0.0,0.0,0.0,32.15,1.3,146.25,190.23,91.0,30.0,True,1.0516917293233083,1.0516917293233083
N'Keal Harry,NE,WR,0.75,0.0,0.0,0.0,0.0,0.0,46.3,5.25,576.6,8.45,0.05,61.4,140.4,148.0,65.0,True,0.7762052189296772,0.7762052189296772
Nelson Agholo,LV,WR,0.75,0.0,0.0,0.0,0.0,0.0,39.2,2.2,440.6,2.2,0.0,22.15,97.18,210.0,91.0,True,0.5372622733303848,0.5372622733303848
Nick Boyle,BAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,31.4,2.85,320.3,0.0,0.0,0.0,80.53,237.0,38.0,True,0.4452122954444936,0.4452122954444936
Nick Chubb,CLE,RB,2.55,0.0,0.0,0.0,0.0,0.0,20.45,1.05,161.75,268.5,8.95,1294.5,220.98,64.0,14.0,True,1.2216939407341885,1.2216939407341885
Nick Foles,CHI,QB,0.95,114.35,73.5,3.65,5.95,991.95,0.0,0.0,0.0,5.65,0.1,16.75,60.2,272.0,35.0,True,0.3328173374613003,0.3328173374613003
Noah Fant,DEN,TE,0.75,0.0,0.0,0.0,0.0,0.0,51.8,4.75,714.2,0.0,0.0,0.0,150.22,138.0,12.0,True,0.8304953560371517,0.8304953560371517
Nyheim Hines,IND,RB,0.75,0.0,0.0,0.0,0.0,0.0,45.95,1.2,340.6,54.8,1.75,213.05,117.52,178.0,46.0,True,0.6497125165855816,0.6497125165855816
O.J. Howard,TB,TE,0.75,0.0,0.0,0.0,0.0,0.0,34.2,2.85,486.85,0.0,0.0,0.0,98.49,207.0,31.0,True,0.5445046439628483,0.5445046439628483
Odell Beckham,CLE,WR,0.75,0.0,0.0,0.0,0.0,0.0,75.35,6.2,1114.25,3.85,0.0,16.1,224.09,63.0,19.0,True,1.238887660327289,1.238887660327289
Parris Campbell,IND,WR,0.75,0.0,0.0,0.0,0.0,0.0,37.65,2.9,432.05,5.35,0.05,41.2,101.18,201.0,86.0,True,0.5593763821318002,0.5593763821318002
Patrick Mahomes,KC,QB,1.6,566.15,368.7,10.45,34.25,4561.5,0.0,0.0,0.0,59.8,3.4,338.0,360.01,3.0,2.0,True,1.9903250773993808,1.9903250773993808
Peyton Barbe,WAS,RB,0.85,0.0,0.0,0.0,0.0,0.0,8.4,0.1,50.4,71.55,1.9,266.3,50.37,297.0,83.0,True,0.2784719150818222,0.2784719150818222
Philip Rivers,IND,QB,2.35,531.85,329.9,12.75,25.1,3748.1,0.0,0.0,0.0,17.2,0.1,32.05,236.68,51.0,27.0,True,1.3084918177797435,1.3084918177797435
Phillip Lindsay,DEN,RB,1.5,0.0,0.0,0.0,0.0,0.0,38.3,0.9,256.55,150.55,4.65,668.75,161.13,124.0,30.0,True,0.890811587793012,0.890811587793012
Phillip Walke,CAR,QB,0.2,18.0,12.0,1.4,1.6,332.5,0.0,0.0,0.0,1.0,0.4,61.2,26.42,367.0,38.0,True,0.1460636886333481,0.1460636886333481
Preston Williams,MIA,WR,1.5,0.0,0.0,0.0,0.0,0.0,61.8,6.1,851.45,0.85,0.0,3.3,180.88,100.0,42.0,True,1.0,1.0
Raheem Mostert,SF,RB,2.1,0.0,0.0,0.0,0.0,0.0,16.3,1.0,141.4,159.0,7.6,861.05,163.94,119.0,29.0,True,0.9063467492260062,0.9063467492260062
Randall Cobb,HOU,WR,0.75,0.0,0.0,0.0,0.0,0.0,48.65,2.95,621.6,2.65,0.05,13.4,128.65,170.0,74.0,True,0.7112450243255197,0.7112450243255197
Rashaad Penny,SEA,RB,1.0,0.0,0.0,0.0,0.0,0.0,7.25,0.15,65.8,57.85,1.7,275.4,50.47,296.0,82.0,True,0.2790247678018576,0.2790247678018576
Rex Burkhead,NE,RB,0.75,0.0,0.0,0.0,0.0,0.0,20.55,0.35,188.1,58.55,1.9,223.35,73.69,250.0,67.0,True,0.40739716939407344,0.40739716939407344
Rob Gronkowski,TB,TE,0.75,0.0,0.0,0.0,0.0,0.0,48.05,3.8,760.0,0.0,0.0,0.0,145.35,142.0,13.0,True,0.8035714285714286,0.8035714285714286
Robby Anderson,CAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,51.4,4.6,743.6,1.5,0.0,-0.09999999999999998,151.85,134.0,59.0,True,0.8395068553737284,0.8395068553737284
Robert Woods,LAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,89.8,4.55,1132.8,16.95,0.9,100.5,244.33,42.0,8.0,True,1.3507850508624504,1.3507850508624504
Ronald Jones,TB,RB,1.75,0.0,0.0,0.0,0.0,0.0,25.7,0.4,224.55,154.5,5.4,651.1,144.56,143.0,35.0,True,0.7992038920831491,0.7992038920831491
Royce Freeman,DEN,RB,0.8,0.0,0.0,0.0,0.0,0.0,19.95,0.75,124.1,39.95,1.0,152.6,56.52,282.0,77.0,True,0.31247235736399825,0.31247235736399825
Russell Gage,ATL,WR,0.0,0.0,0.0,0.0,0.0,0.0,38.5,2.6,445.3,3.3,0.1,22.4,101.47,199.0,85.0,True,0.5609796550199027,0.5609796550199027
Russell Wilson,SEA,QB,1.8,489.6,325.0,8.7,29.3,3961.05,0.0,0.0,0.0,72.05,2.2,370.35,313.58,10.0,6.0,True,1.7336355594869526,1.7336355594869526
Ryan Fitzpatrick,MIA,QB,0.85,256.85,160.95,8.3,10.3,1735.9,0.0,0.0,0.0,25.5,1.6,120.3,122.27,174.0,33.0,True,0.6759730207872623,0.6759730207872623
Ryan Tannehill,TEN,QB,3.4,429.55,283.4,11.25,24.3,3562.4,0.0,0.0,0.0,61.2,2.75,257.95,263.94,25.0,16.0,True,1.4591994692613888,1.4591994692613888
Ryquell Armstead,JAC,RB,1.0,0.0,0.0,0.0,0.0,0.0,12.45,1.55,121.55,93.2,1.85,323.75,75.38,247.5,66.0,True,0.41674038036267136,0.41674038036267136
Sam Darnold,NYJ,QB,2.6,517.0,326.5,18.8,22.45,3628.1,0.0,0.0,0.0,42.95,1.8,124.75,234.2,54.0,28.0,True,1.294781070322866,1.294781070322866
Sammy Watkins,KC,WR,0.75,0.0,0.0,0.0,0.0,0.0,60.25,4.25,809.8,3.45,0.0,28.75,168.1,115.0,48.0,True,0.9293454223794781,0.9293454223794781
Saquon Barkley,NYG,RB,2.25,0.0,0.0,0.0,0.0,0.0,72.65,2.85,583.7,270.65,9.5,1237.55,324.38,7.0,2.0,True,1.793343653250774,1.793343653250774
Sony Michel,NE,RB,1.7,0.0,0.0,0.0,0.0,0.0,9.6,0.15,69.5,165.6,4.85,667.0,109.85,184.0,49.0,True,0.6073087129588678,0.6073087129588678
Stefon Diggs,BUF,WR,0.75,0.0,0.0,0.0,0.0,0.0,68.65,6.55,990.8,9.3,0.05,79.0,213.73,73.0,24.0,True,1.181612118531623,1.181612118531623
Sterling Shepard,NYG,WR,0.75,0.0,0.0,0.0,0.0,0.0,72.75,4.35,846.6,4.65,0.0,43.25,186.33,97.0,40.0,True,1.0301304732419285,1.0301304732419285
Steven Sims,WAS,WR,0.75,0.0,0.0,0.0,0.0,0.0,50.95,5.2,535.6,10.0,0.75,81.45,146.86,140.0,62.0,True,0.8119195046439629,0.8119195046439629
T.J. Hockenson,DET,TE,0.75,0.0,0.0,0.0,0.0,0.0,53.7,3.2,619.15,0.0,0.0,0.0,133.32,163.0,20.0,True,0.737063246351172,0.737063246351172
T.Y. Hilton,IND,WR,0.75,0.0,0.0,0.0,0.0,0.0,71.2,6.4,1073.75,0.0,0.0,0.0,215.48,68.0,21.0,True,1.1912870411322423,1.1912870411322423
Tarik Cohen,CHI,RB,1.7,0.0,0.0,0.0,0.0,0.0,71.05,3.35,540.35,97.9,2.0,352.4,189.02,93.0,21.0,True,1.0450022114108801,1.0450022114108801
Taysom Hill,NO,QB,0.06666666666666668,11.25,6.25,0.05,0.7,66.5,21.0,2.1,216.8,5.666666666666668,0.6666666666666666,57.2,70.28,258.0,34.0,True,0.38854489164086686,0.38854489164086686
Teddy Bridgewate,CAR,QB,0.25,582.65,370.9,13.8,22.65,4011.65,0.0,0.0,0.0,21.1,0.45,61.0,245.57,40.0,24.0,True,1.357640424590889,1.357640424590889
Tee Higgins,CIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,36.2,2.8,478.2,0.0,0.0,0.0,100.82,204.0,88.0,True,0.5573861123396727,0.5573861123396727
Terry McLaurin,WAS,WR,0.75,0.0,0.0,0.0,0.0,0.0,70.55,6.7,1056.55,0.0,0.0,0.0,214.9,70.0,22.0,True,1.188080495356037,1.188080495356037
Tevin Coleman,SF,RB,1.5,0.0,0.0,0.0,0.0,0.0,13.5,0.95,113.35,157.75,4.85,680.25,124.66,173.0,43.0,True,0.6891862007961079,0.6891862007961079
Todd Gurley,ATL,RB,1.7,0.0,0.0,0.0,0.0,0.0,44.1,2.55,333.15,198.95,7.4,811.2,214.84,71.0,17.0,True,1.187748783724016,1.187748783724016
Tom Brady,TB,QB,0.95,556.25,348.35,11.75,28.8,4408.3,0.0,0.0,0.0,24.15,1.65,37.9,291.57,16.0,9.0,True,1.611952675807165,1.611952675807165
Tony Pollard,DAL,RB,1.75,0.0,0.0,0.0,0.0,0.0,26.65,1.7,192.4,105.15,2.9,495.2,119.51,176.0,44.0,True,0.6607142857142858,0.6607142857142858
Travis Kelce,KC,TE,0.75,0.0,0.0,0.0,0.0,0.0,97.65,7.35,1170.7,0.0,0.0,0.0,257.32,32.0,1.0,True,1.4226006191950464,1.4226006191950464
Tre'Quan Smith,NO,WR,0.0,0.0,0.0,0.0,0.0,0.0,27.2,4.65,380.9,0.65,0.0,2.0,93.39,221.0,98.0,True,0.5163091552410438,0.5163091552410438
Tua Tagovailoa,MIA,QB,2.45,353.65,224.3,11.9,15.15,2564.55,0.0,0.0,0.0,19.75,1.1,97.9,162.77,121.0,32.0,True,0.8998783724015923,0.8998783724015923
Tyler Boyd,CIN,WR,0.75,0.0,0.0,0.0,0.0,0.0,77.6,5.65,973.85,2.35,0.0,10.9,208.48,79.0,30.0,True,1.1525873507297655,1.1525873507297655
Tyler Eifert,JAC,TE,0.0,0.0,0.0,0.0,0.0,0.0,43.9,2.9,478.8,0.0,0.0,0.0,109.18,186.0,26.0,True,0.6036045997346308,0.6036045997346308
Tyler Higbee,LAR,TE,0.75,0.0,0.0,0.0,0.0,0.0,67.1,4.25,771.8,0.0,0.0,0.0,168.28,113.0,8.0,True,0.9303405572755419,0.9303405572755419
Tyler Lockett,SEA,WR,0.75,0.0,0.0,0.0,0.0,0.0,74.6,7.7,1095.7,6.7,0.05,28.35,232.01,59.0,15.0,True,1.2826735957540911,1.2826735957540911
Tyreek Hill,KC,WR,0.75,0.0,0.0,0.0,0.0,0.0,84.1,8.7,1232.0,13.9,0.7,86.1,270.81,22.0,4.0,True,1.4971804511278195,1.4971804511278195
Tyrod Taylo,LAC,QB,1.55,467.5,298.1,13.5,20.0,3366.3,0.0,0.0,0.0,54.35,1.65,251.8,233.13,57.0,29.0,True,1.2888655462184875,1.2888655462184875
Van Jefferson,LAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,34.75,2.0,504.2,1.35,0.0,6.65,96.34,212.0,92.0,True,0.5326183104820876,0.5326183104820876
Vance McDonald,PIT,TE,0.5,0.0,0.0,0.0,0.0,0.0,38.8,2.65,377.05,0.0,0.0,0.0,91.4,224.0,34.0,True,0.5053073861123397,0.5053073861123397
Will Dissly,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.25,316.85,0.0,0.0,0.0,76.18,242.0,40.0,True,0.4211632021229545,0.4211632021229545
Will Fulle,HOU,WR,0.75,0.0,0.0,0.0,0.0,0.0,66.4,5.1,934.05,1.35,0.05,9.0,190.1,92.0,38.0,True,1.0509730207872623,1.0509730207872623
Willie Snead,BAL,WR,0.75,0.0,0.0,0.0,0.0,0.0,37.15,3.3,425.85,1.35,0.0,6.0,98.64,206.0,89.0,True,0.5453339230429014,0.5453339230429014
Zach Ertz,PHI,TE,0.75,0.0,0.0,0.0,0.0,0.0,88.35,6.3,930.0,0.0,0.0,0.0,217.65,66.0,3.0,True,1.2032839451570103,1.2032839451570103
Zack Moss,BUF,RB,2.4,0.0,0.0,0.0,0.0,0.0,18.4,0.85,160.0,169.8,4.55,770.1,139.01,149.0,38.0,True,0.7685205661211852,0.7685205661211852
