player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player
A.J. Brown,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,60.55,6.75,1081.25,4.25,0.7,51.8,217.06,67.0,20.0,True
A.J. Dillon,GB,RB,1.6,0.0,0.0,0.0,0.0,0.0,6.35,0.1,49.1,119.5,4.1,476.5,80.91,235.0,63.0,True
A.J. Green,CIN,WR,1.5,0.0,0.0,0.0,0.0,0.0,67.7,5.95,1004.45,0.0,0.0,1.35,200.98,86.0,34.0,True
Aaron Jones,GB,RB,1.8,0.0,0.0,0.0,0.0,0.0,40.65,2.05,342.75,203.3,10.15,890.9,233.62,55.0,13.0,True
Aaron Rodgers,GB,QB,3.2,563.8,353.4,7.1,26.05,4042.95,0.0,0.0,0.0,48.45,1.1,211.95,280.21,20.0,12.0,True
Adam Humphries,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,43.7,2.8,453.5,1.35,0.0,6.0,104.95,189.0,79.0,True
Adam Thielen,MIN,WR,0.75,0.0,0.0,0.0,0.0,0.0,76.3,7.55,1058.45,5.45,0.7,22.4,232.39,58.0,14.0,True
Adrian Peterson,DET,RB,0.6,0.0,0.0,0.0,0.0,0.0,8.5,0.2,68.5,93.6,2.4,338.3,63.58,267.0,74.0,True
Adrian Peterson,WAS,RB,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,41.0,86.0,2.0,331.0,51.2,293.0,81.0,True
Alex Smith,WAS,QB,0.0,36.75,23.5,1.25,2.0,255.25,0.0,0.0,0.0,6.25,0.0,20.75,19.04,404.0,39.0,True
Alexander Mattison,MIN,RB,1.7,0.0,0.0,0.0,0.0,0.0,8.75,0.2,69.2,141.35,3.1,619.1,93.98,218.0,57.0,True
Allen Lazard,GB,WR,0.75,0.0,0.0,0.0,0.0,0.0,56.0,4.0,769.65,1.5,0.0,20.55,157.52,126.0,55.0,True
Allen Robinson,CHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,85.7,6.25,1083.3,1.15,0.05,6.5,230.98,60.0,16.0,True
Alshon Jeffery,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,35.8,3.1,446.7,0.65,0.65,0.65,103.04,197.0,84.0,True
Alvin Kamara,NO,RB,2.35,0.0,0.0,0.0,0.0,0.0,89.9,2.45,658.8,205.2,7.95,948.85,308.36,12.0,4.0,True
Amari Coope,DAL,WR,0.75,0.0,0.0,0.0,0.0,0.0,75.05,7.65,1082.5,1.35,0.0,9.35,228.64,62.0,18.0,True
Anthony McFarland,PIT,RB,0.85,0.0,0.0,0.0,0.0,0.0,16.05,0.9,131.65,41.55,1.1,172.2,56.74,281.0,76.0,True
Anthony Mille,CHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,57.85,5.4,744.4,2.8,0.05,12.6,164.75,117.0,50.0,True
Antonio Gibson,WAS,RB,2.45,0.0,0.0,0.0,0.0,0.0,47.65,2.0,387.8,155.3,4.2,683.95,187.12,96.0,22.0,True
Austin Ekele,LAC,RB,1.65,0.0,0.0,0.0,0.0,0.0,64.1,4.55,669.75,162.7,4.25,718.75,252.45,34.0,8.0,True
Austin Hoope,CLE,TE,0.75,0.0,0.0,0.0,0.0,0.0,60.55,4.7,683.6,0.0,0.0,0.0,155.61,129.0,10.0,True
Baker Mayfield,CLE,QB,2.45,508.75,313.85,14.4,25.4,3893.1,0.0,0.0,0.0,34.55,1.75,152.2,263.74,26.0,17.0,True
Ben Roethlisberge,PIT,QB,1.65,551.5,357.8,16.2,24.45,3932.4,0.0,0.0,0.0,26.7,1.6,78.0,253.0,33.0,20.0,True
Benny Snell,PIT,RB,1.0,0.0,0.0,0.0,0.0,0.0,5.35,0.15,44.25,113.65,2.85,458.45,71.62,255.0,69.0,True
Bisi Johnson,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,43.0,5.0,459.0,1.0,0.0,7.0,119.6,175.0,76.0,True
Blake Jarwin,DAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,47.25,4.6,548.5,0.0,0.0,0.0,129.7,168.0,22.0,True
Boston Scott,PHI,RB,1.55,0.0,0.0,0.0,0.0,0.0,31.6,0.2,266.75,91.6,4.35,363.8,118.86,177.0,45.0,True
Brandin Cooks,HOU,WR,0.75,0.0,0.0,0.0,0.0,0.0,62.2,4.25,897.0,6.6,0.05,51.85,181.38,99.0,41.0,True
Brandon Aiyuk,SF,WR,0.75,0.0,0.0,0.0,0.0,0.0,44.9,4.05,677.95,2.4,0.05,12.8,137.07,152.0,66.0,True
Breshad Perriman,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,44.3,5.05,748.2,3.0,0.0,8.35,150.26,137.0,60.0,True
Brian Hill,ATL,RB,0.4,0.0,0.0,0.0,0.0,0.0,13.2,0.3,96.3,56.2,1.6,227.4,56.17,283.0,78.0,True
Bryan Edwards,LV,WR,1.5,0.0,0.0,0.0,0.0,0.0,48.85,3.2,679.45,1.55,0.0,8.75,133.87,161.0,69.0,True
Bryce Love,WAS,RB,1.55,0.0,0.0,0.0,0.0,0.0,16.0,0.75,133.7,104.65,2.55,388.7,84.94,231.0,61.0,True
C.J. Uzomah,CIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,43.95,2.9,428.0,0.0,0.0,0.0,104.15,192.0,28.0,True
Calvin Ridley,ATL,WR,0.75,0.0,0.0,0.0,0.0,0.0,79.3,8.25,1035.25,2.85,0.0,27.0,233.52,56.0,13.0,True
Cam Akers,LAR,RB,2.45,0.0,0.0,0.0,0.0,0.0,32.75,1.05,295.95,184.2,6.35,699.35,171.78,108.0,27.0,True
Cam Newton,NE,QB,1.7,512.55,309.65,12.65,21.65,3460.1,0.0,0.0,0.0,117.65,3.9,449.3,277.28,21.0,13.0,True
Carlos Hyde,SEA,RB,0.95,0.0,0.0,0.0,0.0,0.0,5.95,0.1,32.05,84.6,2.05,340.6,54.22,287.0,79.0,True
Carson Wentz,PHI,QB,5.6,585.7,382.15,10.65,27.75,4098.7,0.0,0.0,0.0,55.4,1.35,200.1,281.21,19.0,11.0,True
CeeDee Lamb,DAL,WR,1.5,0.0,0.0,0.0,0.0,0.0,54.85,4.85,863.55,1.35,0.0,8.65,168.17,114.0,47.0,True
Chase Claypool,PIT,WR,0.75,0.0,0.0,0.0,0.0,0.0,34.1,2.6,457.2,1.35,0.0,5.35,94.46,217.0,95.0,True
