player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player,percent_average_position,percent_average_overall,percent_typical_position,percent_typical_overall,percent_median_position,percent_median_overall,positional_value,pos_value_remaining
Mark Andrews,BAL,TE,0.75,0.0,0.0,0.0,0.0,0.0,58.1,8.3,809.75,0.0,0.0,0.0,158.33,94.0,5.0,True,1.4628692860277646,1.0735710036493356,1.039047119044494,1.018854568854569,1.489954359384558,1.1923337600722945,0.03657173215069412,0.7939874806550712
Mark Ingram,BAL,RB,1.8,0.0,0.0,0.0,0.0,0.0,23.2,2.5,203.35,169.35,6.05,853.9,165.02,89.0,21.0,True,1.2052223817458811,1.1189331587331102,1.0829505184407404,1.061904761904762,1.2777390631049168,1.242714059793659,0.01585818923349843,0.5440909938323926
Marlon Mack,IND,RB,1.6,0.0,0.0,0.0,0.0,0.0,14.35,0.25,90.25,185.7,6.4,817.4,134.64,127.0,34.0,True,0.9833422705021537,0.9129387982779417,0.8835805223782648,0.8664092664092663,1.0425087108013935,1.0139317719707808,0.01293871408555465,0.3585563301101864
Marquise Brown,BAL,WR,0.75,0.0,0.0,0.0,0.0,0.0,62.85,6.7,863.9,12.65,0.65,120.0,172.42,83.0,29.0,True,1.2289721524689567,1.1691095335641912,1.1315133219582623,1.1095238095238094,1.2609792664643287,1.2984411476767825,0.012289721524689568,0.5909665343512757
Marvin Jones,DET,WR,0.75,0.0,0.0,0.0,0.0,0.0,64.0,7.2,857.3,1.4,0.0,0.45,159.48,92.0,35.0,True,1.1367386548877694,1.081368683521733,1.0465940412127575,1.0262548262548261,1.1663436574395727,1.2009940507568337,0.011367386548877695,0.5189125000623681
Matt Breida,MIA,RB,1.75,0.0,0.0,0.0,0.0,0.0,36.8,1.75,276.6,145.6,3.0,628.05,133.86,128.0,35.0,True,0.9776455461186744,0.9076499371470982,0.8784617403858775,0.8613899613899615,1.0364692218350755,1.0080578356803975,0.01286375718577203,0.34569257292441435
Matt Ryan,ATL,QB,4.1,637.55,426.35,15.25,28.05,4747.2,0.0,0.0,0.0,34.55,1.7,130.75,301.91,9.0,8.0,True,1.343325253923001,2.0471282871961782,1.9812967581047385,1.9427927927927928,1.1947841228382605,2.27358987875593,0.033583131348075015,0.7062902603246077
Matthew Stafford,DET,QB,4.05,566.95,360.75,14.0,25.65,4213.65,0.0,0.0,0.0,29.75,0.35,94.35,260.58,25.0,19.0,True,1.1594306073573433,1.766886453173396,1.710066937918362,1.6768339768339766,1.0312240294431911,1.9623465622411322,0.028985765183933577,0.37231546852978836
Mecole Hardman,KC,WR,1.5,0.0,0.0,0.0,0.0,0.0,35.9,5.85,603.15,6.05,0.1,25.65,113.53,158.0,67.0,True,0.8092170773100607,0.7698005181854927,0.7450452815330096,0.7305662805662806,0.8302921709876768,0.8549589577528427,0.008092170773100607,0.2091419504890012
Melvin Gordon,DEN,RB,1.7,0.0,0.0,0.0,0.0,0.0,45.15,1.8,369.3,182.95,7.5,736.55,185.56,72.0,20.0,True,1.3552361238441746,1.2582065018453272,1.2177451109069433,1.194079794079794,1.4367789392179635,1.3973943821070862,0.017832054261107556,0.5599491830658909
Michael Gallup,DAL,WR,0.75,0.0,0.0,0.0,0.0,0.0,62.4,6.05,1044.5,0.0,0.0,0.0,170.45,86.0,32.0,True,1.2149304221571375,1.1557517689132142,1.118585116156976,1.0968468468468466,1.2465718360332028,1.2836056931997888,0.012149304221571377,0.5542869687753259
Michael Pittman,IND,WR,0.75,0.0,0.0,0.0,0.0,0.0,46.5,3.95,670.5,2.0,0.0,8.65,113.36,159.0,68.0,True,0.8080053543897514,0.7686478176826165,0.7439296495603098,0.7294723294723294,0.8290488901890517,0.8536787408690412,0.008080053543897514,0.20106189694510368
Michael Thomas,NO,WR,0.75,0.0,0.0,0.0,0.0,0.0,132.85,9.05,1576.1,0.15,0.0,-1.05,276.73,17.0,1.0,True,1.9724710808069505,1.8763930009466343,1.8160519753248459,1.7807593307593308,2.0238417376677513,2.083967166202274,0.019724710808069507,0.9802752891919305
Mike Davis,CAR,RB,0.75,0.0,0.0,0.0,0.0,0.0,17.45,0.05,106.6,72.6,2.7,297.7,64.16,243.0,68.0,True,0.46859209800518553,0.4350427309678605,0.42105263157894735,0.41287001287001285,0.49678668215253574,0.4831689133217862,0.00616568550006823,0.04500585240409816
Mike Evans,TB,WR,0.75,0.0,0.0,0.0,0.0,0.0,69.95,7.2,1183.45,0.25,0.0,1.55,195.18,55.0,11.0,True,1.3912004681527141,1.323435789125733,1.2808767554797218,1.255984555984556,1.4274326251508391,1.4698395963551472,0.013912004681527142,0.8273159410703506
Mike Gesicki,MIA,TE,1.5,0.0,0.0,0.0,0.0,0.0,57.75,4.15,639.1,0.0,0.0,0.0,114.68,155.0,14.0,True,1.0595708313122216,0.7775981980578904,0.7525922037012732,0.737966537966538,1.0791888204018258,0.8636192484373822,0.02648927078280554,0.5261612731850414
Mike Williams,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,42.15,4.7,724.4,4.2,0.75,18.5,128.06,138.0,58.0,True,0.9127837480870816,0.8683225082254399,0.8403990024937656,0.8240669240669241,0.9365561121878084,0.9643798478801113,0.009127837480870817,0.2864798094886457
Miles Boykin,BAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,28.8,4.1,395.75,0.0,0.0,0.0,78.58,218.0,94.0,True,0.5601011004582451,0.5328188559765349,0.5156844730279564,0.5056628056628056,0.5746882656232859,0.5917614278183597,0.005601011004582451,0.03287261727161339
Miles Sanders,PHI,RB,2.55,0.0,0.0,0.0,0.0,0.0,54.9,2.7,528.1,220.9,5.0,993.0,220.66,43.0,10.0,True,1.611588721100752,1.4962052527332934,1.4480903005643786,1.4199485199485198,1.708555942702284,1.6617215151743352,0.02120511475132568,0.752071405095916
Mitchell Trubisky,CHI,QB,0.85,436.9,282.45,10.6,17.2,2782.65,0.0,0.0,0.0,32.15,1.3,146.25,190.23,66.0,30.0,True,0.8464137095616986,1.2898718627184556,1.248392177451109,1.224131274131274,0.7528196604535201,1.4325626929738682,0.02116034273904246,0.08034879025754371
N'Keal Harry,NE,WR,0.75,0.0,0.0,0.0,0.0,0.0,46.3,5.25,576.6,8.45,0.05,61.4,117.25,154.0,65.0,True,0.835732425919181,0.795024317424901,0.7694579341120882,0.7545045045045045,0.8574980802281785,0.88297311544544,0.00835732425919181,0.22540398485773994
Nelson Agholo,LV,WR,0.75,0.0,0.0,0.0,0.0,0.0,39.2,2.2,440.6,2.2,0.0,22.15,77.58,220.0,95.0,True,0.552973318574073,0.5260382647831455,0.5091219320120751,0.4992277992277992,0.5673748491607854,0.5842307402665863,0.00552973318574073,0.02734288408587271
Nick Boyle,BAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,31.4,2.85,320.3,0.0,0.0,0.0,64.83,241.0,38.0,True,0.5989882890998546,0.4395857270674314,0.42544953405958785,0.41718146718146715,0.6100785771420506,0.48821447398147444,0.014974707227496364,0.029085533458064416
Nick Chubb,CLE,RB,2.55,0.0,0.0,0.0,0.0,0.0,20.45,1.05,161.75,268.5,8.95,1294.5,210.75,48.0,14.0,True,1.539211107459365,1.429009594006805,1.3830555190969944,1.356177606177606,1.6318234610917537,1.58709240153626,0.020252777729728486,0.6695698050544013
Nick Foles,CHI,QB,0.95,114.35,73.5,3.65,5.95,991.95,0.0,0.0,0.0,5.65,0.1,16.75,60.2,256.0,34.0,True,0.26785525582512887,0.40819158984203874,0.39506496915605727,0.38738738738738737,0.23823657445882307,0.45334739061676327,0.00669638139562822,0.021563015507350958
Noah Fant,DEN,TE,0.75,0.0,0.0,0.0,0.0,0.0,51.8,4.75,714.2,0.0,0.0,0.0,124.32,144.0,12.0,True,1.1486383480008315,0.8429630971621637,0.8158550990943694,0.7999999999999999,1.1699054251164542,0.9362150764364785,0.02871595870002079,0.5806735499965352
Nyheim Hines,IND,RB,0.75,0.0,0.0,0.0,0.0,0.0,45.95,1.2,340.6,54.8,1.75,213.05,94.54,181.0,48.0,True,0.6904722092489128,0.6410370914230289,0.6204226276414229,0.6083655083655084,0.7320170344560588,0.7119512011446645,0.009085160648012009,0.20038189579453325
