fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,player,position,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,team,source,pname_merge
1.0,,,,,,Mecole Hardman,WR,35.8,4.7,561.3,7.1,0.2,40.3,KC,FantasyPros,mecolehardman
1.0,,,,,,Mike Gesicki,TE,58.5,4.3,638.2,0.0,0.0,0.0,MIA,FantasyPros,mikegesicki
0.0,,,,,,Chris Herndon IV,TE,48.8,4.6,585.1,0.0,0.0,0.0,NYJ,FantasyPros,chrisherndoniv
1.0,,,,,,Jalen Reago,WR,47.8,3.9,634.9,1.8,0.1,10.5,PHI,FantasyPros,jalenreago
0.5,,,,,,Brandon Aiyuk,WR,43.8,4.1,607.9,1.8,0.1,10.6,SF,FantasyPros,brandonaiyuk
1.5,,,,,,Tony Pollard,RB,25.3,1.4,189.8,97.3,2.8,439.4,DAL,FantasyPros,tonypollard
1.1,,,,,,Boston Scott,RB,27.2,0.4,220.5,98.2,3.7,392.6,PHI,FantasyPros,bostonscott
0.5,,,,,,Danny Amendola,WR,60.3,3.1,652.9,0.3,0.0,0.0,DET,FantasyPros,dannyamendola
0.5,,,,,,Jonnu Smith,TE,47.2,4.7,557.4,0.0,0.0,0.0,TEN,FantasyPros,jonnusmith
1.0,,,,,,Bryan Edwards,WR,47.7,3.4,629.9,1.1,0.0,6.5,LV,FantasyPros,bryanedwards
1.4,,,,,,Alexander Mattison,RB,12.5,0.4,95.4,127.7,3.2,542.2,MIN,FantasyPros,alexandermattison
0.5,,,,,,Dallas Goedert,TE,53.6,4.5,552.6,0.0,0.0,0.0,PHI,FantasyPros,dallasgoedert
1.3,,,,,,Darrell Henderson,RB,22.4,0.9,171.4,110.7,2.8,437.8,LAR,FantasyPros,darrellhenderson
0.5,,,,,,Dede Westbrook,WR,54.7,2.9,591.7,3.8,0.1,28.8,JAC,FantasyPros,dedewestbrook
0.5,,,,,,T.J. Hockenson,TE,52.4,3.4,593.3,0.0,0.0,0.0,DET,FantasyPros,tjhockenson
0.0,,,,,,Josh Gordon,WR,34.0,3.0,602.0,1.0,0.0,1.0,SEA,FantasyPros,joshgordon
0.0,,,,,,Blake Jarwin,TE,46.5,4.2,529.0,0.0,0.0,0.0,DAL,FantasyPros,blakejarwin
0.0,,,,,,Eric Ebron,TE,45.6,4.1,514.0,0.0,0.0,0.0,PIT,FantasyPros,ericebron
1.2,,,,,,Jerick McKinnon,RB,21.2,0.6,175.0,95.7,3.0,391.9,SF,FantasyPros,jerickmckinnon
0.5,,,,,,Larry Fitzgerald,WR,50.8,3.4,564.8,0.0,0.0,0.0,ARI,FantasyPros,larryfitzgerald
0.5,,,,,,Randall Cobb,WR,44.3,2.9,562.2,3.3,0.1,19.8,HOU,FantasyPros,randallcobb
0.5,,,,,,Jack Doyle,TE,51.7,4.0,516.4,0.0,0.0,0.0,IND,FantasyPros,jackdoyle
0.5,,,,,,Ian Thomas,TE,52.2,3.8,518.7,0.0,0.0,0.0,CAR,FantasyPros,ianthomas
0.5,,,,,,Chris Thompson,RB,40.7,1.4,330.0,41.1,1.3,252.8,JAC,FantasyPros,christhompson
1.2,,,,,,Devine Ozigbo,RB,19.7,0.6,154.9,110.7,2.4,409.5,JAC,FantasyPros,devineozigbo
0.5,,,,,,Chris Conley,WR,39.7,3.1,541.8,0.0,0.0,0.0,JAC,FantasyPros,chrisconley
1.3,,,,,,Darrynton Evans,RB,22.5,1.0,194.7,80.1,2.3,352.3,TEN,FantasyPros,darryntonevans
0.5,,,,,,Chase Edmonds,RB,18.6,0.8,136.9,94.4,2.8,368.5,ARI,FantasyPros,chaseedmonds
1.0,,,,,,Laviska Shenault,WR,32.5,2.2,435.5,17.6,0.6,113.4,JAC,FantasyPros,laviskashenault
0.0,,,,,,Greg Olsen,TE,40.1,3.6,471.4,0.0,0.0,0.0,SEA,FantasyPros,gregolsen
0.5,,,,,,James Washington,WR,34.3,2.9,506.4,0.0,0.0,0.0,PIT,FantasyPros,jameswashington
2.1,,,,,,Jalen Richard,RB,30.8,0.8,270.1,71.9,1.6,296.7,LV,FantasyPros,jalenrichard
0.0,,,,,,Kyle Rudolph,TE,41.6,4.1,425.5,0.0,0.0,0.0,MIN,FantasyPros,kylerudolph
1.3,,,,,,Darrel Williams,RB,15.1,0.9,122.3,91.1,3.3,321.5,KC,FantasyPros,darrelwilliams
1.1,,,,,,Joshua Kelley,RB,8.3,0.2,63.6,114.6,3.5,401.7,LAC,FantasyPros,joshuakelley
0.5,,,,,,Nyheim Hines,RB,40.9,1.4,308.2,47.6,1.5,191.1,IND,FantasyPros,nyheimhines
0.0,,,,,,Josh Reynolds,WR,34.4,2.8,464.4,3.7,0.1,22.8,LAR,FantasyPros,joshreynolds
0.5,,,,,,John Ross,WR,30.6,3.6,439.5,3.3,0.0,13.6,CIN,FantasyPros,johnross
0.0,,,,,,Alshon Jeffery,WR,35.6,3.2,446.4,0.3,0.3,0.3,PHI,FantasyPros,alshonjeffery
0.5,,,,,,Parris Campbell,WR,38.3,2.8,464.1,3.7,0.1,27.4,IND,FantasyPros,parriscampbell
1.0,,,,,,Benny Snell,RB,8.7,0.3,70.5,96.3,2.7,418.9,PIT,FantasyPros,bennysnell
1.0,,,,,,Damien Harris,RB,8.5,0.1,71.3,123.1,3.3,389.9,NE,FantasyPros,damienharris
0.0,,,,,,Tee Higgins,WR,36.2,2.8,478.2,0.0,0.0,0.0,CIN,FantasyPros,teehiggins
1.2,,,,,,A.J. Dillon,RB,8.7,0.2,62.2,110.0,3.2,404.0,GB,FantasyPros,ajdillon
0.0,,,,,,Dontrelle Inman,WR,34.5,2.7,476.2,0.0,0.0,0.0,WAS,FantasyPros,dontrelleinman
0.5,,,,,,Jakeem Grant,WR,38.5,2.5,438.1,3.6,0.8,18.9,MIA,FantasyPros,jakeemgrant
0.0,,,,,,Russell Gage,WR,38.5,2.6,445.3,3.3,0.1,22.4,ATL,FantasyPros,russellgage
0.0,,,,,,Dawson Knox,TE,34.8,3.0,446.1,0.0,0.0,0.0,BUF,FantasyPros,dawsonknox
0.0,,,,,,Kenny Stills,WR,30.5,3.1,436.8,0.0,0.0,0.0,HOU,FantasyPros,kennystills
0.5,,,,,,Giovani Bernard,RB,28.6,0.7,208.3,76.9,1.8,274.3,CIN,FantasyPros,giovanibernard
0.5,,,,,,Jamaal Williams,RB,26.4,1.3,200.1,66.3,1.5,260.6,GB,FantasyPros,jamaalwilliams
0.0,,,,,,Tyler Eifert,TE,38.8,2.8,444.6,0.0,0.0,0.0,JAC,FantasyPros,tylereifert
0.6,,,,,,Justin Jackson,RB,13.8,0.2,97.4,76.9,2.4,366.2,LAC,FantasyPros,justinjackson
0.0,,,,,,Kendrick Bourne,WR,32.4,3.1,408.4,0.8,0.1,5.6,SF,FantasyPros,kendrickbourne
0.5,,,,,,Adam Humphries,WR,41.4,2.6,441.0,0.7,0.0,3.0,TEN,FantasyPros,adamhumphries
0.6,,,,,,Ito Smith,RB,21.7,0.5,149.8,66.7,2.5,262.5,ATL,FantasyPros,itosmith
0.5,,,,,,O.J. Howard,TE,32.4,2.7,424.7,0.0,0.0,0.0,TB,FantasyPros,ojhoward
0.0,,,,,,Miles Boykin,WR,28.6,3.2,383.5,0.0,0.0,0.0,BAL,FantasyPros,milesboykin
1.0,,,,,,Ryquell Armstead,RB,11.9,1.1,107.1,84.4,1.7,315.5,JAC,FantasyPros,ryquellarmstead
0.5,,,,,,Irv Smith,TE,40.7,2.8,405.2,0.0,0.0,0.0,MIN,FantasyPros,irvsmith
1.1,,,,,,Bryce Love,RB,12.0,0.5,96.4,99.3,2.1,336.4,WAS,FantasyPros,brycelove
1.2,,,,,,James Robinson,RB,14.5,0.5,122.2,86.6,1.7,331.9,JAC,FantasyPros,jamesrobinson
0.5,,,,,,David Njoku,TE,34.3,3.2,381.6,0.0,0.0,0.0,CLE,FantasyPros,davidnjoku
0.0,,,,,,Darren Fells,TE,32.6,3.8,330.4,0.0,0.0,0.0,HOU,FantasyPros,darrenfells
0.5,,,,,,Frank Gore,RB,11.3,0.3,87.3,105.0,1.9,347.1,NYJ,FantasyPros,frankgore
0.0,,,,,,Tre'Quan Smith,WR,25.4,3.3,352.8,0.3,0.0,1.0,NO,FantasyPros,trequansmith
0.5,,,,,,Jimmy Graham,TE,40.6,2.3,427.5,0.0,0.0,0.0,CHI,FantasyPros,jimmygraham
0.6,,,,,,Adrian Peterson,RB,8.5,0.2,68.5,93.6,2.4,338.3,DET,FantasyPros,adrianpeterson
0.5,,,,,,Jace Sternberge,TE,36.9,3.2,364.6,0.0,0.0,0.0,GB,FantasyPros,jacesternberge
0.5,,,,,,Rex Burkhead,RB,20.1,0.7,176.2,53.1,1.8,224.7,NE,FantasyPros,rexburkhead
0.0,,,,,,C.J. Uzomah,TE,38.9,2.8,369.0,0.0,0.0,0.0,CIN,FantasyPros,cjuzomah
0.5,,,,,,Willie Snead,WR,32.3,2.6,376.7,0.7,0.0,3.0,BAL,FantasyPros,williesnead
0.0,,,,,,Malcolm Brown,RB,7.8,0.2,52.4,79.4,2.2,330.0,LAR,FantasyPros,malcolmbrown
0.5,,,,,,Chase Claypool,WR,30.2,2.2,394.4,0.7,0.0,2.7,PIT,FantasyPros,chaseclaypool
0.0,,,,,,Gerald Everett,TE,33.1,2.5,366.0,0.0,0.0,0.0,LAR,FantasyPros,geraldeverett
0.5,,,,,,Denzel Mims,WR,30.5,1.9,402.8,0.7,0.0,2.7,NYJ,FantasyPros,denzelmims
0.5,,,,,,KJ Hamle,WR,27.9,2.1,386.0,0.7,0.0,2.7,DEN,FantasyPros,kjhamle
0.0,,,,,,Phillip Dorsett,WR,26.0,2.3,356.8,0.1,0.0,0.3,SEA,FantasyPros,phillipdorsett
0.0,,,,,,Equanimeous St. Brown,WR,28.4,2.1,363.5,0.3,0.0,2.0,GB,FantasyPros,equanimeousstbrown
0.5,,,,,,Van Jefferson,WR,28.5,2.0,379.4,0.7,0.0,3.3,LAR,FantasyPros,vanjefferson
0.9,,,,,,Carlos Hyde,RB,6.9,0.2,43.1,79.2,2.1,324.2,SEA,FantasyPros,carloshyde
0.0,,,,,,Nick Boyle,TE,30.8,2.7,311.6,0.0,0.0,0.0,BAL,FantasyPros,nickboyle
0.7,,,,,,Peyton Barbe,RB,9.8,0.2,69.8,76.1,1.8,290.6,WAS,FantasyPros,peytonbarbe
0.0,,,,,,Antonio Gandy-Golden,WR,27.1,1.7,360.5,0.0,0.0,0.0,WAS,FantasyPros,antoniogandygolden
0.0,,,,,,Jakobi Meyers,WR,26.2,2.0,339.8,0.0,0.0,0.0,NE,FantasyPros,jakobimeyers
0.0,,,,,,Olabisi Johnson,WR,26.4,2.4,305.0,0.7,0.0,4.5,MIN,FantasyPros,olabisijohnson
0.0,,,,,,Zach Pascal,WR,23.3,2.1,320.9,1.0,0.0,8.0,IND,FantasyPros,zachpascal
0.0,,,,,,Marquez Valdes-Scantling,WR,22.1,1.8,335.2,0.7,0.0,7.0,GB,FantasyPros,marquezvaldesscantling
0.0,,,,,,Vance McDonald,TE,32.6,2.3,312.1,0.0,0.0,0.0,PIT,FantasyPros,vancemcdonald
0.5,,,,,,Devin Asiasi,TE,31.2,2.4,315.9,0.0,0.0,0.0,NE,FantasyPros,devinasiasi
0.5,,,,,,Keelan Cole,WR,22.2,2.0,332.6,0.7,0.0,3.9,JAC,FantasyPros,keelancole
0.4,,,,,,Brian Hill,RB,13.2,0.3,96.3,56.2,1.6,227.4,ATL,FantasyPros,brianhill
0.0,,,,,,Will Dissly,TE,23.0,2.5,271.7,0.0,0.0,0.0,SEA,FantasyPros,willdissly
0.0,,,,,,Damiere Byrd,WR,23.5,2.0,297.3,0.0,0.0,0.0,NE,FantasyPros,damierebyrd
0.0,,,,,,Trey Burton,TE,28.2,2.2,287.1,0.0,0.0,0.0,IND,FantasyPros,treyburton
0.1,,,,,,LeSean McCoy,RB,13.0,0.3,96.3,39.0,1.7,205.3,TB,FantasyPros,leseanmccoy
0.5,,,,,,Devin Duvernay,WR,22.7,1.8,307.3,1.0,0.0,7.0,BAL,FantasyPros,devinduvernay
0.0,,,,,,Andy Isabella,WR,19.6,1.8,288.4,2.3,0.1,15.4,ARI,FantasyPros,andyisabella
0.7,,,,,,Dion Lewis,RB,22.1,0.8,144.8,51.6,0.8,183.3,NYG,FantasyPros,dionlewis
0.7,,,,,,Anthony McFarland,RB,17.1,0.8,133.3,38.1,1.2,176.4,PIT,FantasyPros,anthonymcfarland
0.0,,,,,,David Moore,WR,20.3,2.0,273.8,0.6,0.0,3.9,SEA,FantasyPros,davidmoore
0.0,,,,,,Isaiah Ford,WR,24.5,1.7,293.3,0.0,0.0,0.0,MIA,FantasyPros,isaiahford
0.0,,,,,,Jordan Akins,TE,28.3,1.5,301.9,0.0,0.0,0.0,HOU,FantasyPros,jordanakins
1.0,,,,,,Rashaad Penny,RB,8.5,0.3,69.6,52.7,1.4,240.8,SEA,FantasyPros,rashaadpenny
0.5,,,,,,Cole Kmet,TE,27.2,1.9,283.7,0.0,0.0,0.0,CHI,FantasyPros,colekmet
0.0,,,,,,Chris Hogan,WR,21.7,1.6,287.4,0.0,0.0,0.0,NYJ,FantasyPros,chrishogan
0.0,,,,,,Anthony Firkse,TE,21.8,1.8,268.4,0.0,0.0,0.0,TEN,FantasyPros,anthonyfirkse
0.5,,,,,,Auden Tate,WR,21.8,1.5,296.4,0.0,0.0,0.0,CIN,FantasyPros,audentate
0.5,,,,,,Nelson Agholo,WR,24.4,1.4,278.2,1.4,0.0,13.3,LV,FantasyPros,nelsonagholo
0.0,,,,,,Dan Arnold,TE,21.6,1.8,257.8,0.0,0.0,0.0,ARI,FantasyPros,danarnold
0.6,,,,,,Gus Edwards,RB,3.5,0.1,27.0,47.6,1.5,254.8,BAL,FantasyPros,gusedwards
0.0,,,,,,Ted Ginn,WR,18.4,1.4,250.9,3.3,0.2,21.1,CHI,FantasyPros,tedginn
0.0,,,,,,Ryan Griffin,TE,24.8,1.8,255.2,0.0,0.0,0.0,NYJ,FantasyPros,ryangriffin
0.5,,,,,,Greg Ward,WR,23.8,1.4,276.2,1.4,0.0,7.6,PHI,FantasyPros,gregward
0.0,,,,,,DeAndre Washington,RB,14.0,1.0,104.0,34.0,1.0,135.0,KC,FantasyPros,deandrewashington
0.6,,,,,,Royce Freeman,RB,17.9,0.5,112.2,41.9,1.0,169.2,DEN,FantasyPros,roycefreeman
0.5,,,,,,Kyle Juszczyk,RB,24.1,1.4,234.3,10.5,0.2,26.1,SF,FantasyPros,kylejuszczyk
0.0,,,,,,Taysom Hill,QB,21.0,2.1,216.8,0.0,0.0,0.0,NO,FantasyPros,taysomhill
0.0,,,,,,Cordarrelle Patterson,WR,11.3,0.5,112.4,22.0,1.1,135.8,CHI,FantasyPros,cordarrellepatterson
0.0,,,,,,Scott Mille,WR,21.2,1.2,254.0,1.2,0.1,8.1,TB,FantasyPros,scottmille
0.0,,,,,,Cameron Brate,TE,21.2,2.0,211.4,0.0,0.0,0.0,TB,FantasyPros,cameronbrate
0.5,,,,,,Jordan Reed,TE,21.6,1.6,241.6,0.0,0.0,0.0,SF,FantasyPros,jordanreed
0.5,,,,,,Joe Reed,WR,17.3,1.3,252.0,1.0,0.0,4.3,LAC,FantasyPros,joereed
0.5,,,,,,Mike Davis,RB,10.9,0.1,76.2,48.2,1.4,172.4,CAR,FantasyPros,mikedavis
0.0,,,,,,Jesse James,TE,21.4,1.4,241.5,0.0,0.0,0.0,DET,FantasyPros,jessejames
0.3,,,,,,Lamical Perine,RB,10.8,0.3,77.2,35.8,1.2,165.3,NYJ,FantasyPros,lamicalperine
0.0,,,,,,Demarcus Robinson,WR,16.3,1.6,223.2,0.0,0.0,0.0,KC,FantasyPros,demarcusrobinson
0.0,,,,,,Gunner Olszewski,WR,21.1,1.2,243.7,0.0,0.0,0.0,NE,FantasyPros,gunnerolszewski
