,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Steve Beuerlein,DEN,QB,15.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,stevebeuerlein
1,Kordell Stewart,PIT,QB,124.0,2.0,0.0,17.0,13.0,1.0,11.0,0.0,0.0,0.0,0.0,nfl_hist,kordellstewart
2,Donovan McNabb,PHI,QB,255.0,4.0,1.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,donovanmcnabb
3,Chad Pennington,NYJ,QB,229.0,4.0,1.0,26.0,21.0,5.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,chadpennington
4,Aaron Brooks,NOR,QB,279.0,2.0,1.0,31.0,20.0,5.0,26.0,0.0,0.0,0.0,0.0,nfl_hist,aaronbrooks
5,Marc Bulge,STL,QB,347.0,2.0,1.0,35.0,21.0,1.0,-1.0,0.0,1.0,3.0,0.0,nfl_hist,marcbulge
6,Steve McNai,TEN,QB,257.0,2.0,0.0,33.0,18.0,9.0,24.0,0.0,0.0,0.0,0.0,nfl_hist,stevemcnai
7,Tim Couch,CLE,QB,242.0,3.0,1.0,35.0,22.0,1.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,timcouch
8,Peyton Manning,IND,QB,252.0,2.0,1.0,38.0,29.0,5.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
9,Mark Brunell,JAX,QB,224.0,2.0,1.0,25.0,15.0,3.0,12.0,0.0,0.0,0.0,0.0,nfl_hist,markbrunell
10,Jon Kitna,CIN,QB,258.0,1.0,0.0,30.0,17.0,1.0,3.0,1.0,0.0,0.0,0.0,nfl_hist,jonkitna
11,Ray Lucas,MIA,QB,221.0,0.0,0.0,26.0,18.0,11.0,12.0,1.0,0.0,0.0,0.0,nfl_hist,raylucas
12,Trent Green,KAN,QB,197.0,0.0,0.0,20.0,12.0,4.0,19.0,1.0,0.0,0.0,0.0,nfl_hist,trentgreen
13,David Ca,HOU,QB,228.0,1.0,1.0,30.0,22.0,7.0,33.0,2.0,0.0,0.0,0.0,nfl_hist,davidca
14,Brad Johnson,TAM,QB,253.0,2.0,0.0,40.0,22.0,4.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,bradjohnson
15,Jeff Garcia,SFO,QB,337.0,2.0,1.0,43.0,25.0,4.0,21.0,0.0,0.0,0.0,0.0,nfl_hist,jeffgarcia
16,Drew Brees,SDG,QB,336.0,2.0,1.0,50.0,29.0,2.0,15.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
17,Michael Vick,ATL,QB,160.0,2.0,1.0,23.0,11.0,7.0,55.0,1.0,0.0,0.0,0.0,nfl_hist,michaelvick
18,Drew Bledsoe,BUF,QB,225.0,1.0,1.0,36.0,24.0,2.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,drewbledsoe
19,Rich Gannon,OAK,QB,297.0,0.0,1.0,38.0,26.0,5.0,15.0,1.0,0.0,0.0,0.0,nfl_hist,richgannon
20,Jake Plumme,ARI,QB,163.0,2.0,1.0,35.0,20.0,2.0,18.0,0.0,0.0,0.0,0.0,nfl_hist,jakeplumme
21,Tom Brady,NWE,QB,172.0,0.0,0.0,30.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
22,Joey Harrington,DET,QB,171.0,2.0,1.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,joeyharrington
23,Chris Chandle,CHI,QB,157.0,0.0,0.0,33.0,20.0,1.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,chrischandle
24,Daunte Culpeppe,MIN,QB,217.0,2.0,2.0,26.0,13.0,10.0,48.0,1.0,0.0,0.0,0.0,nfl_hist,daunteculpeppe
25,Kurt Warne,STL,QB,13.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,kurtwarne
26,Brian Griese,DEN,QB,194.0,0.0,1.0,27.0,17.0,2.0,16.0,0.0,0.0,0.0,0.0,nfl_hist,briangriese
27,Chad Hutchinson,DAL,QB,131.0,0.0,0.0,23.0,11.0,1.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,chadhutchinson
28,Brett Favre,GNB,QB,296.0,2.0,3.0,43.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,brettfavre
29,Jeff Blake,BAL,QB,127.0,1.0,1.0,28.0,14.0,2.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,jeffblake
