,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Chad Pennington,NYJ,QB,196.0,4.0,0.0,24.0,17.0,2.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,chadpennington
1,Doug Pederson,GNB,QB,43.0,1.0,0.0,8.0,6.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,dougpederson
2,Steve Beuerlein,DEN,QB,203.0,2.0,0.0,24.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,stevebeuerlein
3,Reche Caldwell,SDG,WR,20.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,4.0,35.0,0.0,nfl_hist,rechecaldwell
4,Vinny Testaverde,NYJ,QB,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,vinnytestaverde
5,Tim Rattay,SFO,QB,138.0,2.0,0.0,21.0,14.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,timrattay
6,Daunte Culpeppe,MIN,QB,312.0,2.0,1.0,29.0,21.0,8.0,34.0,1.0,0.0,0.0,0.0,nfl_hist,daunteculpeppe
7,Jeff Blake,BAL,QB,336.0,2.0,2.0,26.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,jeffblake
8,Drew Bledsoe,BUF,QB,231.0,1.0,0.0,31.0,23.0,3.0,8.0,1.0,0.0,0.0,0.0,nfl_hist,drewbledsoe
9,Peyton Manning,IND,QB,146.0,1.0,0.0,28.0,20.0,2.0,19.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
10,Rich Gannon,OAK,QB,79.0,1.0,0.0,14.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,richgannon
11,Matt Hasselbeck,SEA,QB,449.0,2.0,2.0,53.0,36.0,7.0,42.0,1.0,0.0,0.0,0.0,nfl_hist,matthasselbeck
12,Kerry Collins,NYG,QB,256.0,1.0,1.0,35.0,25.0,6.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,kerrycollins
13,Jamie Martin,STL,QB,245.0,3.0,2.0,35.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,jamiemartin
14,Drew Brees,SDG,QB,332.0,3.0,1.0,49.0,27.0,1.0,10.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
15,Cory Saute,CHI,QB,59.0,0.0,0.0,9.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,corysaute
16,Jeff Garcia,SFO,QB,16.0,0.0,0.0,3.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,nfl_hist,jeffgarcia
17,Tommy Maddox,PIT,QB,194.0,2.0,2.0,30.0,20.0,2.0,20.0,0.0,0.0,0.0,0.0,nfl_hist,tommymaddox
18,Rob Johnson,TAM,QB,134.0,0.0,0.0,25.0,16.0,3.0,29.0,0.0,0.0,0.0,0.0,nfl_hist,robjohnson
19,Chad Hutchinson,DAL,QB,189.0,1.0,1.0,23.0,12.0,2.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,chadhutchinson
20,Jake Plumme,ARI,QB,132.0,1.0,0.0,27.0,13.0,1.0,6.0,0.0,0.0,0.0,0.0,nfl_hist,jakeplumme
21,Jay Fiedle,MIA,QB,110.0,1.0,0.0,25.0,11.0,2.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,jayfiedle
22,Tom Brady,NWE,QB,221.0,1.0,1.0,44.0,25.0,4.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
23,Rodney Peete,CAR,QB,203.0,1.0,2.0,30.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,rodneypeete
24,David Garrard,JAX,QB,135.0,0.0,0.0,26.0,13.0,11.0,44.0,0.0,0.0,0.0,0.0,nfl_hist,davidgarrard
25,Brett Favre,GNB,QB,172.0,1.0,1.0,33.0,16.0,2.0,13.0,0.0,0.0,0.0,0.0,nfl_hist,brettfavre
26,Steve McNai,TEN,QB,148.0,0.0,0.0,22.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,stevemcnai
27,Michael Vick,ATL,QB,240.0,1.0,1.0,40.0,17.0,6.0,38.0,0.0,0.0,0.0,0.0,nfl_hist,michaelvick
28,Mike McMahon,DET,QB,293.0,3.0,3.0,44.0,19.0,3.0,43.0,0.0,0.0,0.0,0.0,nfl_hist,mikemcmahon
29,David Ca,HOU,QB,214.0,0.0,1.0,40.0,21.0,3.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,davidca
30,Chris Weinke,CAR,QB,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,chrisweinke
31,A.J. Feeley,PHI,QB,150.0,0.0,1.0,25.0,13.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,ajfeeley
32,Kelly Holcomb,CLE,QB,86.0,1.0,2.0,14.0,7.0,4.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,kellyholcomb
33,Jon Kitna,CIN,QB,241.0,0.0,2.0,35.0,19.0,1.0,6.0,1.0,0.0,0.0,0.0,nfl_hist,jonkitna
34,Patrick Ramsey,WAS,QB,209.0,0.0,2.0,31.0,17.0,3.0,-5.0,0.0,0.0,0.0,0.0,nfl_hist,patrickramsey
35,Scott Covington,STL,QB,7.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,scottcovington
36,Trent Green,KAN,QB,137.0,0.0,1.0,32.0,15.0,2.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,trentgreen
37,Tim Couch,CLE,QB,68.0,0.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,timcouch
38,James Allen,HOU,RB,0.0,0.0,0.0,1.0,0.0,6.0,20.0,0.0,6.0,46.0,0.0,nfl_hist,jamesallen
39,Marty Booke,CHI,WR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,nfl_hist,martybooke
40,David Patten,NWE,WR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,56.0,0.0,nfl_hist,davidpatten
41,Frank Wycheck,TEN,TE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,frankwycheck
42,Aaron Brooks,NOR,QB,145.0,0.0,2.0,31.0,12.0,2.0,8.0,0.0,0.0,0.0,0.0,nfl_hist,aaronbrooks
43,Josh McCown,ARI,QB,21.0,0.0,1.0,6.0,3.0,1.0,20.0,0.0,0.0,0.0,0.0,nfl_hist,joshmccown
44,Henry Burris,CHI,QB,78.0,0.0,4.0,19.0,7.0,4.0,14.0,0.0,0.0,0.0,0.0,nfl_hist,henryburris
45,Clinton Portis,DEN,RB,0.0,0.0,0.0,0.0,0.0,24.0,228.0,2.0,2.0,18.0,0.0,nfl_hist,clintonportis
46,Tiki Barbe,NYG,RB,0.0,0.0,0.0,0.0,0.0,32.0,203.0,0.0,8.0,73.0,0.0,nfl_hist,tikibarbe
47,Ricky Williams,MIA,HB,0.0,0.0,0.0,0.0,0.0,31.0,185.0,2.0,2.0,7.0,0.0,nfl_hist,rickywilliams
48,William Green,CLE,RB,0.0,0.0,0.0,0.0,0.0,27.0,178.0,2.0,2.0,9.0,0.0,nfl_hist,williamgreen
49,Charlie Garne,OAK,RB,0.0,0.0,0.0,0.0,0.0,29.0,135.0,1.0,0.0,0.0,0.0,nfl_hist,charliegarne
50,Deuce McAlliste,NOR,RB,0.0,0.0,0.0,0.0,0.0,28.0,117.0,0.0,2.0,10.0,0.0,nfl_hist,deucemcalliste
51,Amos Zereoue,PIT,RB,0.0,0.0,0.0,0.0,0.0,26.0,104.0,2.0,3.0,13.0,0.0,nfl_hist,amoszereoue
52,Eddie George,TEN,RB,0.0,0.0,0.0,0.0,0.0,25.0,102.0,1.0,2.0,18.0,0.0,nfl_hist,eddiegeorge
53,Ladell Betts,WAS,RB,0.0,0.0,0.0,0.0,0.0,17.0,98.0,0.0,0.0,0.0,0.0,nfl_hist,ladellbetts
54,Michael Pittman,TAM,RB,0.0,0.0,0.0,0.0,0.0,21.0,90.0,0.0,2.0,28.0,0.0,nfl_hist,michaelpittman
55,Kevan Barlow,SFO,RB,0.0,0.0,0.0,0.0,0.0,10.0,87.0,0.0,0.0,0.0,0.0,nfl_hist,kevanbarlow
56,Edgerrin James,IND,RB,0.0,0.0,0.0,0.0,0.0,15.0,86.0,0.0,4.0,33.0,0.0,nfl_hist,edgerrinjames
57,Jamal Lewis,BAL,RB,0.0,0.0,0.0,0.0,0.0,14.0,86.0,0.0,2.0,23.0,0.0,nfl_hist,jamallewis
58,Curtis Martin,NYJ,RB,0.0,0.0,0.0,0.0,0.0,18.0,83.0,1.0,4.0,42.0,0.0,nfl_hist,curtismartin
59,Michael Bennett,MIN,RB,0.0,0.0,0.0,0.0,0.0,19.0,82.0,1.0,3.0,31.0,0.0,nfl_hist,michaelbennett
60,Travis Henry,BUF,RB,0.0,0.0,0.0,0.0,0.0,30.0,80.0,0.0,2.0,0.0,0.0,nfl_hist,travishenry
61,Fred Taylo,JAX,RB,0.0,0.0,0.0,0.0,0.0,15.0,73.0,1.0,1.0,14.0,0.0,nfl_hist,fredtaylo
62,Zack Crockett,OAK,RB,0.0,0.0,0.0,0.0,0.0,11.0,72.0,1.0,0.0,0.0,0.0,nfl_hist,zackcrockett
63,Nick Goings,CAR,RB,0.0,0.0,0.0,0.0,0.0,18.0,70.0,0.0,3.0,5.0,0.0,nfl_hist,nickgoings
64,Tyrone Wheatley,OAK,RB,0.0,0.0,0.0,0.0,0.0,17.0,69.0,0.0,0.0,0.0,0.0,nfl_hist,tyronewheatley
65,Shaun Alexande,SEA,RB,0.0,0.0,0.0,0.0,0.0,15.0,67.0,1.0,1.0,14.0,0.0,nfl_hist,shaunalexande
66,Warrick Dunn,ATL,RB,0.0,0.0,0.0,0.0,0.0,20.0,67.0,0.0,3.0,14.0,0.0,nfl_hist,warrickdunn
67,Ahman Green,GNB,RB,0.0,0.0,0.0,0.0,0.0,14.0,67.0,0.0,3.0,5.0,0.0,nfl_hist,ahmangreen
68,Garrison Hearst,SFO,RB,0.0,0.0,0.0,0.0,0.0,19.0,67.0,0.0,4.0,16.0,0.0,nfl_hist,garrisonhearst
69,LaDainian Tomlinson,SDG,RB,0.0,0.0,0.0,0.0,0.0,17.0,67.0,0.0,3.0,18.0,0.0,nfl_hist,ladainiantomlinson
70,Chris Chambers,MIA,WR,0.0,0.0,0.0,0.0,0.0,3.0,59.0,0.0,0.0,0.0,0.0,nfl_hist,chrischambers
71,Marcel Shipp,ARI,RB,0.0,0.0,0.0,0.0,0.0,17.0,58.0,0.0,1.0,6.0,0.0,nfl_hist,marcelshipp
72,Kenny Watson,WAS,RB,0.0,0.0,0.0,0.0,0.0,17.0,58.0,1.0,1.0,5.0,0.0,nfl_hist,kennywatson
73,Antowain Smith,NWE,RB,0.0,0.0,0.0,0.0,0.0,19.0,55.0,1.0,1.0,11.0,0.0,nfl_hist,antowainsmith
74,Corey Dillon,CIN,HB,0.0,0.0,0.0,0.0,0.0,13.0,53.0,0.0,2.0,9.0,0.0,nfl_hist,coreydillon
75,Kevin Faulk,NWE,RB,0.0,0.0,0.0,0.0,0.0,8.0,53.0,0.0,9.0,70.0,0.0,nfl_hist,kevinfaulk
76,Chris Fuamatu-Ma'afala,PIT,RB,0.0,0.0,0.0,0.0,0.0,8.0,49.0,0.0,1.0,6.0,0.0,nfl_hist,chrisfuamatumaafala
77,Marshall Faulk,STL,RB,0.0,0.0,0.0,0.0,0.0,11.0,43.0,0.0,6.0,30.0,0.0,nfl_hist,marshallfaulk
78,Mike Alstott,TAM,FB,0.0,0.0,0.0,0.0,0.0,12.0,42.0,0.0,1.0,4.0,0.0,nfl_hist,mikealstott
79,Adrian Peterson,CHI,RB,0.0,0.0,0.0,0.0,0.0,7.0,42.0,0.0,0.0,0.0,0.0,nfl_hist,adrianpeterson
80,Robert Holcombe,TEN,RB,0.0,0.0,0.0,0.0,0.0,7.0,35.0,0.0,2.0,26.0,0.0,nfl_hist,robertholcombe
81,Stacey Mack,JAX,RB,0.0,0.0,0.0,0.0,0.0,6.0,35.0,0.0,2.0,22.0,0.0,nfl_hist,staceymack
82,Moe Williams,MIN,RB,0.0,0.0,0.0,0.0,0.0,6.0,35.0,0.0,0.0,0.0,0.0,nfl_hist,moewilliams
83,Mack Strong,SEA,FB,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0,1.0,2.0,0.0,nfl_hist,mackstrong
84,Mike Anderson,DEN,FB,0.0,0.0,0.0,0.0,0.0,7.0,31.0,0.0,0.0,0.0,0.0,nfl_hist,mikeanderson
85,Duce Staley,PHI,RB,0.0,0.0,0.0,0.0,0.0,17.0,28.0,0.0,3.0,39.0,0.0,nfl_hist,ducestaley
86,William Henderson,GNB,FB,0.0,0.0,0.0,0.0,0.0,6.0,26.0,0.0,2.0,6.0,0.0,nfl_hist,williamhenderson
