,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Fred Jackson,BUF,RB,27.0,1.0,0.0,1.0,1.0,8.0,48.0,0.0,3.0,23.0,0.0,nfl_hist,fredjackson
1,Hunter Smith,WAS,P,35.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,huntersmith
2,Kyle Orton,DEN,QB,193.0,2.0,0.0,18.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,kyleorton
3,Philip Rivers,SDG,QB,231.0,2.0,0.0,25.0,20.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,philiprivers
4,Brett Favre,MIN,QB,344.0,1.0,0.0,29.0,20.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,brettfavre
5,Kurt Warne,ARI,QB,340.0,2.0,0.0,38.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,kurtwarne
6,Seneca Wallace,SEA,QB,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,nfl_hist,senecawallace
7,Jake Delhomme,CAR,QB,195.0,2.0,0.0,24.0,15.0,4.0,11.0,0.0,0.0,0.0,0.0,nfl_hist,jakedelhomme
8,Tom Brady,NWE,QB,375.0,3.0,1.0,42.0,29.0,3.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
9,David Garrard,JAX,QB,221.0,1.0,0.0,26.0,16.0,6.0,11.0,1.0,0.0,0.0,0.0,nfl_hist,davidgarrard
10,Jason Campbell,WAS,QB,193.0,1.0,0.0,26.0,17.0,2.0,15.0,0.0,0.0,0.0,0.0,nfl_hist,jasoncampbell
11,Joe Flacco,BAL,QB,155.0,0.0,0.0,18.0,13.0,1.0,-6.0,0.0,0.0,0.0,0.0,nfl_hist,joeflacco
12,Peyton Manning,IND,QB,327.0,4.0,2.0,44.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
13,Donovan McNabb,PHI,QB,450.0,2.0,1.0,55.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,donovanmcnabb
14,Marc Bulge,STL,QB,298.0,2.0,1.0,40.0,26.0,1.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,marcbulge
15,Aaron Rodgers,GNB,QB,189.0,1.0,0.0,36.0,25.0,5.0,15.0,1.0,0.0,0.0,0.0,nfl_hist,aaronrodgers
16,Vince Young,TEN,QB,210.0,1.0,1.0,25.0,17.0,5.0,29.0,0.0,0.0,0.0,0.0,nfl_hist,vinceyoung
17,Drew Brees,NOR,QB,223.0,2.0,2.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
18,Trent Edwards,BUF,QB,185.0,1.0,1.0,28.0,18.0,3.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,trentedwards
19,Tony Romo,DAL,QB,251.0,1.0,1.0,39.0,24.0,3.0,16.0,0.0,0.0,0.0,0.0,nfl_hist,tonyromo
20,Carson Palme,CIN,QB,178.0,0.0,0.0,30.0,18.0,5.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,carsonpalme
21,Josh Freeman,TAM,QB,196.0,1.0,1.0,28.0,16.0,6.0,35.0,0.0,0.0,0.0,0.0,nfl_hist,joshfreeman
22,Matthew Stafford,DET,QB,224.0,1.0,0.0,51.0,29.0,4.0,28.0,0.0,0.0,0.0,0.0,nfl_hist,matthewstafford
23,Chad Henne,MIA,QB,175.0,1.0,1.0,31.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,chadhenne
24,Alex Smith,SFO,QB,118.0,0.0,1.0,23.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,alexsmith
25,Matt Cassel,KAN,QB,216.0,0.0,1.0,34.0,19.0,4.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,mattcassel
26,Matt Hasselbeck,SEA,QB,315.0,1.0,2.0,52.0,26.0,2.0,7.0,0.0,0.0,0.0,0.0,nfl_hist,matthasselbeck
27,Mark Sanchez,NYJ,QB,212.0,1.0,2.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,marksanchez
28,Matt Ryan,ATL,QB,224.0,1.0,2.0,41.0,22.0,2.0,4.0,0.0,0.0,0.0,0.0,nfl_hist,mattryan
29,Ben Roethlisberge,PIT,QB,174.0,0.0,1.0,40.0,20.0,2.0,16.0,0.0,0.0,0.0,0.0,nfl_hist,benroethlisberge
30,JaMarcus Russell,OAK,QB,64.0,0.0,0.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,jamarcusrussell
31,Braylon Edwards,NYJ,WR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,79.0,0.0,nfl_hist,braylonedwards
32,Tarvaris Jackson,MIN,QB,0.0,0.0,0.0,2.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,nfl_hist,tarvarisjackson
33,Ray Rice,BAL,RB,0.0,0.0,0.0,1.0,0.0,20.0,89.0,1.0,3.0,15.0,0.0,nfl_hist,rayrice
34,Michael Vick,PHI,QB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,michaelvick
35,Pat White,MIA,QB,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,patwhite
36,Jay Cutle,CHI,QB,307.0,0.0,5.0,52.0,29.0,1.0,2.0,0.0,0.0,0.0,0.0,nfl_hist,jaycutle
37,Bruce Gradkowski,OAK,QB,49.0,0.0,2.0,9.0,5.0,1.0,9.0,0.0,0.0,0.0,0.0,nfl_hist,brucegradkowski
38,Brady Quinn,CLE,QB,99.0,0.0,2.0,31.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,bradyquinn
39,Chris Simms,DEN,QB,13.0,0.0,1.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,chrissimms
40,Ryan Fitzpatrick,BUF,QB,6.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,ryanfitzpatrick
41,Adrian Peterson,MIN,HB,0.0,0.0,0.0,0.0,0.0,18.0,133.0,2.0,2.0,10.0,0.0,nfl_hist,adrianpeterson
42,Chris Johnson,TEN,RB,0.0,0.0,0.0,0.0,0.0,26.0,132.0,2.0,9.0,100.0,0.0,nfl_hist,chrisjohnson
43,Steven Jackson,STL,RB,0.0,0.0,0.0,0.0,0.0,26.0,131.0,1.0,9.0,45.0,0.0,nfl_hist,stevenjackson
44,Justin Forsett,SEA,RB,0.0,0.0,0.0,0.0,0.0,17.0,123.0,1.0,5.0,26.0,0.0,nfl_hist,justinforsett
45,Maurice Jones-Drew,JAX,RB,0.0,0.0,0.0,0.0,0.0,24.0,123.0,1.0,2.0,22.0,0.0,nfl_hist,mauricejonesdrew
46,Michael Bush,OAK,RB,0.0,0.0,0.0,0.0,0.0,14.0,119.0,0.0,2.0,10.0,0.0,nfl_hist,michaelbush
47,Ladell Betts,WAS,RB,0.0,0.0,0.0,0.0,0.0,26.0,114.0,1.0,1.0,6.0,0.0,nfl_hist,ladellbetts
