,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Derek Anderson,CLE,QB,245.0,3.0,0.0,25.0,18.0,5.0,13.0,1.0,0.0,0.0,0.0,nfl_hist,derekanderson
1,Tom Brady,NWE,QB,388.0,5.0,0.0,46.0,31.0,3.0,5.0,0.0,0.0,0.0,0.0,nfl_hist,tombrady
2,Sage Rosenfels,HOU,QB,82.0,1.0,0.0,12.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,sagerosenfels
3,Damon Huard,KAN,QB,264.0,2.0,0.0,35.0,25.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,damonhuard
4,Kurt Warne,ARI,QB,21.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,kurtwarne
5,Drew Brees,NOR,QB,246.0,2.0,0.0,36.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,drewbrees
6,Jeff Garcia,TAM,QB,274.0,1.0,0.0,31.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,jeffgarcia
7,David Garrard,JAX,QB,221.0,2.0,0.0,34.0,22.0,5.0,26.0,0.0,0.0,0.0,0.0,nfl_hist,davidgarrard
8,Matt Hasselbeck,SEA,QB,362.0,2.0,1.0,43.0,26.0,2.0,13.0,0.0,0.0,0.0,0.0,nfl_hist,matthasselbeck
9,Tony Romo,DAL,QB,199.0,2.0,1.0,29.0,18.0,1.0,-1.0,0.0,0.0,0.0,0.0,nfl_hist,tonyromo
10,Brian Griese,CHI,QB,381.0,3.0,2.0,45.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,nfl_hist,briangriese
11,Vinny Testaverde,CAR,QB,206.0,1.0,0.0,33.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,vinnytestaverde
12,Eli Manning,NYG,QB,303.0,2.0,2.0,39.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,elimanning
13,Donovan McNabb,PHI,QB,278.0,1.0,1.0,35.0,22.0,2.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,donovanmcnabb
